sample_group,strategy_id,ma_period,threshold,horizon,date_count,mean_daily_return,median_daily_return,positive_date_fraction
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,60m,331,-0.0031622381465445234,-0.002757931430207092,0.19637462235649547
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,1d,331,-0.003124470235425705,-0.0019377540619813644,0.4380664652567976
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,5d,331,-0.0033286893472140324,0.0015937292825994314,0.5196374622356495
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,60m,89,-0.0103972330656709,-0.009409885205503085,0.2696629213483146
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,1d,89,-0.00922676406512602,-0.006315619480473045,0.38202247191011235
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,5d,89,-0.02035635664861652,-0.01968607763986563,0.3707865168539326
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,60m,5,0.0020399987720542967,-0.0018033773253057772,0.4
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,1d,5,0.004924810188051895,0.009657269278503078,0.6
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,5d,5,-0.011417267385716606,-0.012719257767677794,0.4
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,60m,331,-0.0030868941861169684,-0.002583248364438539,0.19939577039274925
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,1d,331,-0.002608194381327915,-0.0007250146490381053,0.4652567975830816
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,5d,331,-0.002936045854238934,0.0010798981495239832,0.5226586102719033
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,60m,131,-0.004284030415938398,-0.003749622965124442,0.3893129770992366
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,1d,130,-0.009301304340452447,-0.01212184715431967,0.35384615384615387
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,5d,131,-0.009967470465791722,-0.018567975593851815,0.3893129770992366
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,60m,8,0.008991871302187258,0.010671061455510333,0.5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,1d,8,0.00012205792040596679,0.01165859138674511,0.625
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,5d,8,-0.04646381227189764,-0.04768081756184722,0.375
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,60m,1,0.018246145632952127,0.018246145632952127,1.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,1d,1,0.06047098989467625,0.06047098989467625,1.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,5d,1,-0.11118798328971374,-0.11118798328971374,0.0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,60m,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,1d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,5d,0,,,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,60m,330,-0.00314297026708985,-0.0030005305973319,0.20606060606060606
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,1d,330,-0.002246475012228307,-0.0011253270129310663,0.4666666666666667
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,5d,330,-0.002748528115533896,9.915699139389669e-05,0.503030303030303
