sample_group,strategy_id,ma_period,threshold,metric,horizon,observed_count,mean,median,win_rate,profit_factor,symbol_count,date_count
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,60m,3,-0.0166328378431415,,0.3333333333333333,0.0699984408917563,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,1d,3,-0.0054613949163157,,0.3333333333333333,0.5135889776301813,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,5d,3,-0.0213122810763836,,0.3333333333333333,0.2712449022460973,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,60m,1,-0.0506379727438344,,0.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,1d,1,-0.0306675741122324,,0.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,5d,1,-0.0245228360717393,,0.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,60m,73331,-0.0023202859013961,,0.3443427745428263,0.6749079265578569,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,1d,73239,-0.0012237205048835,,0.4424964841136553,0.9096304291844588,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,5d,73153,-0.0021497500555279,,0.4591472666876273,0.9174568237093552,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,60m,281,-0.0086176874429628,,0.3167259786476868,0.3940924991288876,,89
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,1d,281,-0.0031001530681447,,0.4626334519572954,0.8631973534066123,,89
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,5d,281,-0.0011230755834374,,0.4697508896797153,0.9732016438896652,,89
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,60m,9,-0.0019232519993177,,0.5555555555555556,0.760577230340952,,5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,1d,9,0.0147328806060294,,0.5555555555555556,2.4417822982396467,,5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,5d,9,-0.0009668896087675,,0.4444444444444444,0.9658922258445074,,5
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge3,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,60m,50888,-0.002371724688158,,0.3459558245558874,0.6709739730537109,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,1d,50813,-0.0010470885696661,,0.4436856709897073,0.9214968465746878,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,all,net,5d,50776,-0.0017849121066129,,0.4609855049629746,0.9299824070601524,,331
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,60m,418,-0.0057375464002172,,0.3803827751196172,0.5602621602549064,,131
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,1d,414,-0.0076395325448836,,0.4009661835748792,0.6758662962357346,,130
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge1,net,5d,413,-0.0034052466522647,,0.4552058111380145,0.9070345223564682,,131
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,60m,15,0.0025935344559983,,0.6,1.1507905549846424,,8
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,1d,15,0.0110720218876062,,0.5333333333333333,1.4265899875552124,,8
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge2,net,5d,15,-0.0387384866577614,,0.2666666666666666,0.4612761503959118,,8
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,60m,2,0.0182461456329521,,1.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,1d,2,0.0604709898946762,,1.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge3,net,5d,2,-0.1111879832897137,,0.0,,,1
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,ge5,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,net,60m,38393,-0.002397029280078,,0.3424582606204256,0.6669516377499282,,330
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,net,1d,38337,-0.000540122079148,,0.4412708349636122,0.9581751169866576,,330
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,all,net,5d,38297,0.0001084170343935,,0.4639005666240176,1.0045854490340709,,330
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,net,60m,456,-0.0060242909487804,,0.3552631578947368,0.5433062506471557,,141
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,net,1d,454,-0.0025751946812521,,0.3986784140969163,0.8882417268747811,,141
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge1,net,5d,454,-0.0094605445336911,,0.3876651982378855,0.7645566855768898,,141
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,net,60m,30,-0.0114619263008927,,0.3666666666666666,0.4942056200891618,,19
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,net,1d,29,0.0204924808196354,,0.4827586206896552,1.6332781050117495,,18
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge2,net,5d,30,0.0066545364448759,,0.5,1.1789476760686453,,19
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,net,60m,2,-0.0478679094830516,,0.0,,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,net,1d,2,-0.1099586825354732,,0.0,,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge3,net,5d,2,-0.1204266965780802,,0.0,,,2
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge4,net,5d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,net,60m,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,net,1d,0,,,,,,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,ge5,net,5d,0,,,,,,0
