sample_group,sample_symbol_date_count,main_count,unresolved_count,non_main_count,label_observed_count,label_unobserved_count
primary_development_2022_2023_partial,980494,980494,0,0,980494.0,0.0
supplemental_2023_09_legacy,60907,60907,0,0,60907.0,0.0
