sample_group,strategy_id,ma_period,threshold,metric,horizon,control_id,target_count,control_count,target_mean,control_mean,mean_difference
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,1d,s0_liquidity_matched,24,6410,-0.09146460175509175,0.007049106435230859,-0.09851370819032261
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,1d,s0_random_matched,24,2100,-0.09146460175509175,0.011590413266292177,-0.10305501502138392
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,5d,s0_liquidity_matched,24,6117,-0.19680779287181882,-0.006247378211894972,-0.19056041465992385
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,ge5,net,5d,s0_random_matched,24,2004,-0.19680779287181882,0.012443174776941006,-0.20925096764875983
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,60m,s0_liquidity_matched,125627,11600337,-0.0026324727317885398,-0.0026787493942810655,4.6276662492525725e-05
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,60m,s0_random_matched,125627,3902737,-0.0026324727317885398,-0.0029924108217109823,0.0003599380899224425
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,1d,s0_liquidity_matched,125408,11583375,-0.001689397725951085,-0.0022511853850229924,0.0005617876590719073
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,1d,s0_random_matched,125408,3897247,-0.001689397725951085,-0.002801843948337644,0.001112446222386559
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,5d,s0_liquidity_matched,125321,11577812,-0.0021740245574982525,-0.0021872603596536887,1.3235802155436155e-05
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,all,net,5d,s0_random_matched,125321,3895119,-0.0021740245574982525,-0.0024417362082862462,0.0002677116507879937
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,60m,s0_liquidity_matched,92,193197,-0.010167170612124219,-0.00336330047239326,-0.0068038701397309595
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,60m,s0_random_matched,92,64956,-0.010167170612124219,-0.0037297624438560506,-0.006437408168268169
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,1d,s0_liquidity_matched,92,192646,-0.002990256067590365,-0.005029024644983385,0.0020387685773930204
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,1d,s0_random_matched,92,64752,-0.002990256067590365,-0.004738780597729298,0.0017485245301389332
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,5d,s0_liquidity_matched,92,192307,-0.0038437084379471147,-0.016890142615346385,0.013046434177399271
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge1,net,5d,s0_random_matched,92,64641,-0.0038437084379471147,-0.014809237225424033,0.01096552878747692
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,60m,s0_liquidity_matched,0,45281,,-0.0033385839030593946,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,60m,s0_random_matched,0,15599,,-0.003676494149350252,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,1d,s0_liquidity_matched,0,45106,,-0.009060133653818088,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,1d,s0_random_matched,0,15527,,-0.006517448987940156,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,5d,s0_liquidity_matched,0,44824,,-0.029020561790673197,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge2,net,5d,s0_random_matched,0,15412,,-0.021497817963279525,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,60m,s0_liquidity_matched,0,18899,,-0.002391939905399333,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,60m,s0_random_matched,0,6901,,-0.002305746646057429,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,1d,s0_liquidity_matched,0,18837,,-0.0038880045552726183,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,1d,s0_random_matched,0,6868,,-0.0009486057557103517,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,5d,s0_liquidity_matched,0,18529,,-0.030004138436534523,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge3,net,5d,s0_random_matched,0,6746,,-0.015201419220366798,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,60m,s0_liquidity_matched,0,8937,,-0.00017249970778930232,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,60m,s0_random_matched,0,3751,,-0.0011660566650383117,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,1d,s0_liquidity_matched,0,8900,,0.00027304069311081256,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,1d,s0_random_matched,0,3733,,0.004628862652361558,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,5d,s0_liquidity_matched,0,8660,,-0.028740904659373984,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge4,net,5d,s0_random_matched,0,3621,,-0.0004301195356681081,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,60m,s0_liquidity_matched,0,4439,,-0.0019083739344901915,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,60m,s0_random_matched,0,2116,,-0.00012621019886931452,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,1d,s0_liquidity_matched,0,4402,,0.0025876686831033846,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,1d,s0_random_matched,0,2101,,0.011359930215208695,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,5d,s0_liquidity_matched,0,4198,,-0.021638218188468464,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,ge5,net,5d,s0_random_matched,0,2005,,0.01260487424192675,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,60m,s0_liquidity_matched,89696,8350299,-0.0024125148097385914,-0.0026425781907282245,0.00023006338098963304
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,60m,s0_random_matched,89696,3900586,-0.0024125148097385914,-0.0029931637631101663,0.0005806489533715748
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,1d,s0_liquidity_matched,89553,8338262,-0.00135536995382417,-0.0022109088018137345,0.0008555388479895645
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,1d,s0_random_matched,89553,3895102,-0.00135536995382417,-0.0028010263311491566,0.0014456563773249866
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,5d,s0_liquidity_matched,89481,8334117,-0.0022023974156108366,-0.0027045586644426412,0.0005021612488318047
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,all,net,5d,s0_random_matched,89481,3892961,-0.0022023974156108366,-0.0024451498937408484,0.00024275247813001187
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,60m,s0_liquidity_matched,183,140091,-0.006025741747398273,-0.003556255632795867,-0.002469486114602406
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,60m,s0_random_matched,183,64305,-0.006025741747398273,-0.0038937452045718257,-0.002131996542826447
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,1d,s0_liquidity_matched,181,139735,-0.001680996171150082,-0.005012007185491592,0.0033310110143415102
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,1d,s0_random_matched,181,64104,-0.001680996171150082,-0.005053288709777016,0.003372292538626934
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,5d,s0_liquidity_matched,180,139410,0.0027419388187873424,-0.017212861381245476,0.01995480020003282
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge1,net,5d,s0_random_matched,180,63988,0.0027419388187873424,-0.016064135905825495,0.018806074724612837
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,60m,s0_liquidity_matched,3,32210,-0.016632837843141512,-0.0032037834337482617,-0.013429054409393251
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,60m,s0_random_matched,3,15026,-0.016632837843141512,-0.004110902256423691,-0.012521935586717822
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,1d,s0_liquidity_matched,3,32100,-0.005461394916315736,-0.007137109015768947,0.0016757140994532113
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,1d,s0_random_matched,3,14957,-0.005461394916315736,-0.007949707997489381,0.0024883130811736457
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,5d,s0_liquidity_matched,3,31854,-0.021312281076383683,-0.02948991421891925,0.008177633142535567
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge2,net,5d,s0_random_matched,3,14837,-0.021312281076383683,-0.027224977369522042,0.005912696293138359
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,60m,s0_liquidity_matched,1,13538,-0.050637972743834414,-0.002607425869496033,-0.04803054687433838
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,60m,s0_random_matched,1,6325,-0.050637972743834414,-0.003232573944895928,-0.047405398798938486
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,1d,s0_liquidity_matched,1,13495,-0.03066757411223242,-0.0018262332013219851,-0.028841340910910437
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,1d,s0_random_matched,1,6295,-0.03066757411223242,-0.003868444917993136,-0.026799129194239286
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,5d,s0_liquidity_matched,1,13290,-0.02452283607173933,-0.029516473373306516,0.004993637301567187
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge3,net,5d,s0_random_matched,1,6167,-0.02452283607173933,-0.02829007608328286,0.0037672400115435316
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,60m,s0_liquidity_matched,0,6321,,0.0009588836763290993,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,60m,s0_random_matched,0,3226,,-0.0017113098432871596,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,1d,s0_liquidity_matched,0,6302,,0.006633659189149008,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,1d,s0_random_matched,0,3211,,0.0006548009900727396,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,5d,s0_liquidity_matched,0,6107,,-0.01758557029914753,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge4,net,5d,s0_random_matched,0,3095,,-0.02187006270424007,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,60m,s0_liquidity_matched,0,3148,,-0.0003195624991636544,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,60m,s0_random_matched,0,1761,,-0.0003819936228773881,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,1d,s0_liquidity_matched,0,3129,,0.0071599877478025495,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,1d,s0_random_matched,0,1746,,0.007745637581509904,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,5d,s0_liquidity_matched,0,2976,,-0.009052913313976738,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,ge5,net,5d,s0_random_matched,0,1650,,-0.013110169770294892,
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,60m,s0_liquidity_matched,73331,7001195,-0.0023202859013961076,-0.002655468056867132,0.00033518215547102435
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,60m,s0_random_matched,73331,3898305,-0.0023202859013961076,-0.0029868668362339258,0.0006665809348378182
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,1d,s0_liquidity_matched,73239,6990948,-0.0012237205048835887,-0.002269045949786976,0.0010453254449033873
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,1d,s0_random_matched,73239,3892830,-0.0012237205048835887,-0.002794838855966554,0.0015711183510829655
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,5d,s0_liquidity_matched,73153,6987183,-0.002149750055527978,-0.00275654364444802,0.0006067935889200421
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,all,net,5d,s0_random_matched,73153,3890698,-0.002149750055527978,-0.0024395453787205293,0.0002897953231925515
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,60m,s0_liquidity_matched,281,116304,-0.008617687442962887,-0.0033960984172383573,-0.005221589025724531
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,60m,s0_random_matched,281,64059,-0.008617687442962887,-0.0038326153913266817,-0.004785072051636205
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,1d,s0_liquidity_matched,281,115962,-0.003100153068144769,-0.004991595098407403,0.0018914420302626337
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,1d,s0_random_matched,281,63864,-0.003100153068144769,-0.005080656616528501,0.0019805035483837323
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,5d,s0_liquidity_matched,281,115720,-0.0011230755834374482,-0.015566989444328959,0.01444391386089151
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge1,net,5d,s0_random_matched,281,63750,-0.0011230755834374482,-0.016306909878556895,0.015183834295119446
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,60m,s0_liquidity_matched,9,27281,-0.001923251999317779,-0.004367200474687177,0.0024439484753693975
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,60m,s0_random_matched,9,14837,-0.001923251999317779,-0.004253661437113044,0.002330409437795265
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,ge2,net,1d,s0_liquidity_matched,9,27147,0.014732880606029484,-0.007830326056542566,0.022563206662572048
