top_k,policy_name,policy_kind,fixed_day,mean_selected_return,median_selected_return,mean_resolved_day,mean_absolute_unit_time_efficiency,mean_relative_unit_time_alpha,median_absolute_unit_time_efficiency,positive_absolute_day_rate,positive_relative_alpha_day_rate,signal_date_count,absolute_rank_all,relative_alpha_rank_all,absolute_rank_within_top_k,relative_alpha_rank_within_top_k
1,rolling_path,rolling,,0.05577827724709778,0.0295458557322618,14.4792817679558,1.1319646617750398,1.215216606375137,0.5537989231663619,0.6313617606602476,0.6492434662998624,727,1,1,1,1
2,rolling_path,rolling,,0.0464348688306416,0.0362205267744023,14.199449793672628,0.8372928229987812,0.9146942198507855,0.7087850914078566,0.6753782668500687,0.6616231086657497,727,2,2,1,1
1,fixed_d7,fixed,7.0,0.028541510182507702,0.0148809171238104,7.0220994475138125,0.7999789060172716,0.8118169486657685,0.5422947633583945,0.5722145804676754,0.547455295735901,727,3,8,2,6
1,fixed_d6,fixed,6.0,0.023924123955999552,0.0123428134824543,6.0220994475138125,0.797289795197034,0.8317780383031346,0.51963188437238,0.5749656121045392,0.5543328748280605,727,4,7,3,5
1,fixed_d8,fixed,8.0,0.03249812979149069,0.0177576245066533,8.022099447513812,0.7885576332881445,0.7835319750791621,0.5772589093367462,0.579092159559835,0.5639614855570839,727,5,9,4,7
1,fixed_d5,fixed,5.0,0.019130913396217624,0.0098786081290422,5.017955801104972,0.7693517171084683,0.837158982558492,0.49857557071846065,0.5680880330123796,0.5529573590096286,727,6,6,5,4
3,rolling_path,rolling,,0.04358398781995666,0.0341494146625425,13.977533241632278,0.7613217898820632,0.8385592813108486,0.6818641526683671,0.6822558459422283,0.6905089408528198,727,7,4,1,1
1,fixed_d9,fixed,9.0,0.035281341833281764,0.0183187394687345,9.027624309392266,0.7462933633850332,0.7280663870679144,0.5098273464907597,0.5749656121045392,0.5584594222833562,727,8,10,6,8
1,fixed_d10,fixed,10.0,0.03850760241350592,0.0201079664098622,10.03867403314917,0.7299478819262548,0.7026057328513526,0.5056610441783791,0.5914718019257221,0.5557083906464925,727,9,12,7,10
1,fixed_d13,fixed,13.0,0.04895891417421675,0.024196474525252,13.05939226519337,0.72729230115407,0.6794238914908389,0.48457027797669777,0.594222833562586,0.5777166437414031,727,10,16,8,12
1,fixed_d11,fixed,11.0,0.041880381660081865,0.0214840596012606,11.029005524861878,0.7263679173175576,0.6905294657459885,0.5068772281418452,0.5818431911966988,0.579092159559835,727,11,13,9,11
