pattern,is_st_label,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
A,ST,293,178,242,290,3,0.005931373660213622,0.0037954080603808116,0.5241379310344828,0.43448275862068964,0.31724137931034485,0.03486414583977973,0.8931034482758621,0.009941168953330587,0.6310344827586207,287,6,0.010349585753035627,0.009615384615384581,0.5365853658536586,0.49825783972125437,0.3554006968641115,0.035439378865140106,0.7317073170731707,0.00939867456743029,0.4843205574912892,287,6,0.013530107024556454,0.0078125,0.5400696864111498,0.4808362369337979,0.3797909407665505,0.03917666716380773,0.6829268292682927,0.013614856225189131,0.5156794425087108,286,7,0.01667491470846212,0.004277368995583286,0.513986013986014,0.46503496503496505,0.38461538461538464,0.04222374970403163,0.6328671328671329,0.015860382107380732,0.5174825174825175,290,84,0.2896551724137931,293,1.0
A,ordinary,3432,1957,1227,3424,8,0.009899148207750215,0.0008293935848305845,0.5040887850467289,0.45882009345794394,0.39135514018691586,0.06483158324158939,0.8624415887850467,0.018170246696564443,0.5987149532710281,3423,9,0.0056199733795838265,-0.010204081632653073,0.4259421560035057,0.38884019865614955,0.3236926672509495,0.05208814663275901,0.6330704060765411,0.004982791730404089,0.4092900964066608,3424,8,-0.00029103446039434387,-0.029309523809523785,0.4053738317757009,0.38113317757009346,0.3151285046728972,0.04166190683101276,0.5330023364485982,-0.0033701201399317076,0.35718457943925236,3423,9,-0.006273390009697904,-0.04113991857724453,0.35962605901256206,0.3327490505404616,0.28454572012854223,0.029147102852959968,0.4636283961437336,-0.009706330283981886,0.34326614081215306,3424,966,0.2821261682242991,3413,0.9944638694638694
B,ST,60,55,57,59,1,-0.005265245418733499,-0.007861635220125951,0.4406779661016949,0.3728813559322034,0.2033898305084746,0.02508706023069667,0.7966101694915254,-0.0008574044540310429,0.3728813559322034,59,1,-0.008429703227501636,-0.009146341463414531,0.3389830508474576,0.288135593220339,0.22033898305084745,0.016712051265794864,0.5932203389830508,-0.008672075654307053,0.3728813559322034,58,2,-0.014510066097667463,-0.016005464205675723,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.015301744740980934,0.5344827586206896,-0.011447253267373617,0.3620689655172414,56,4,-0.007637978958738241,-0.00858078443990079,0.39285714285714285,0.35714285714285715,0.30357142857142855,0.012864443185665392,0.5357142857142857,-0.015173032942139635,0.4642857142857143,0,0,,60,1.0
B,ordinary,439,397,340,439,0,-0.013629480038495978,-0.03190013869625519,0.3826879271070615,0.3530751708428246,0.296127562642369,0.031524486582853985,0.6195899772209568,-0.01861566353680492,0.23690205011389523,439,0,-0.01992479450707736,-0.038374717832957095,0.33712984054669703,0.3052391799544419,0.255125284738041,0.019687827749599422,0.47380410022779046,-0.022272899974483285,0.32801822323462415,439,0,-0.02414146009092909,-0.04571428571428571,0.3416856492027335,0.3120728929384966,0.28018223234624146,0.015423649876733574,0.44646924829157175,-0.027695957742123686,0.3143507972665148,439,0,-0.03750003321975371,-0.06498781478472793,0.3052391799544419,0.28929384965831434,0.255125284738041,-0.003494167285349393,0.3826879271070615,-0.039009819493325715,0.28929384965831434,0,0,,438,0.9977220956719818
A,all,3725,2047,1262,3714,11,0.009589332747657157,0.0012292825295349141,0.505654281098546,0.4569197630586968,0.38556812062466345,0.06249163794096343,0.8648357565966612,0.017527696199650653,0.6012385568120625,3710,15,0.005985849053756513,-0.009910197921706831,0.43450134770889487,0.39730458221024256,0.3261455525606469,0.05080022308847151,0.640700808625337,0.005324397761192909,0.41509433962264153,3711,14,0.0007778600710475536,-0.024216524216524205,0.41579089194287255,0.38884397736459175,0.32012934518997577,0.04146970424828901,0.5445971436270547,-0.0020565420701958727,0.3694421988682296,3709,16,-0.004503852358203224,-0.035573122529644174,0.3715287139390671,0.34294958209760046,0.29226206524669723,0.030155439601249664,0.4766783499595578,-0.007734887915707497,0.3566999191156646,3714,1050,0.2827140549273021,3706,0.9948993288590604
B,all,499,446,382,498,1,-0.012638536579528138,-0.027149877149877155,0.3895582329317269,0.35542168674698793,0.285140562248996,0.030761819605389564,0.6405622489959839,-0.01651177340450842,0.25301204819277107,498,1,-0.018562926263111564,-0.032484905703474176,0.3373493975903614,0.3032128514056225,0.25100401606425704,0.01933527591718081,0.4879518072289157,-0.020661557334141118,0.3333333333333333,497,2,-0.023017474474009224,-0.04424778761061943,0.3380281690140845,0.30784708249496984,0.27364185110663986,0.015409423522863046,0.4567404426559356,-0.02579973066056332,0.3199195171026157,495,4,-0.034121699808406514,-0.055064581917063204,0.3151515151515151,0.296969696969697,0.2606060606060606,-0.0016434962017598416,0.4,-0.036313132529959206,0.3090909090909091,0,0,,498,0.9979959919839679
