变更日期,证券代码,证券简称,变更前全称,变更后全称
1999-07-14,000659,珠海中富,珠海经济特区中富实业股份有限公司,珠海中富实业股份有限公司
1999-07-26,000504,南华生物,海南港澳实业股份有限公司,北京港澳实业股份有限公司
1999-07-28,000046,*ST泛海,深圳南油物业发展股份有限公司,光彩建设股份有限公司
1999-08-09,000008,神州高铁,深圳市锦兴实业股份有限公司,广东亿安科技股份有限公司
1999-09-21,000826,*ST启环,国投原宜磷化股份有限公司,国投原宜实业股份有限公司
1999-09-27,000801,四川九洲,绵阳湖山电子股份有限公司,四川湖山电子股份有限公司
1999-09-28,000023,*ST深天,深圳市天地实业股份有限公司,深圳市天地(集团)股份有限公司
1999-10-08,000537,绿发电力,天津立达国际商场股份有限公司,天津南开戈德股份有限公司
1999-10-11,000055,方大集团,深圳方大实业股份有限公司,方大集团股份有限公司
1999-10-11,200055,方大Ｂ,深圳方大实业股份有限公司,方大集团股份有限公司
1999-10-28,000607,华媒控股,重庆川仪股份有限公司,重庆华立控股股份有限公司
1999-11-04,000926,福星股份,湖北省汉川钢丝绳股份有限公司,湖北福星科技股份有限公司
1999-11-10,000917,电广传媒,湖南电广实业股份有限公司,湖南电广传媒股份有限公司
1999-11-12,000517,荣安地产,宁波中元股份有限公司,宁波成功信息产业股份有限公司
1999-11-18,000732,ST泰禾,福建省三农化学股份有限公司,福建三农集团股份有限公司
1999-12-08,000633,合金投资,沈阳合金股份有限公司,沈阳合金投资股份有限公司
1999-12-08,000048,京基智农,深圳市康达尔(集团)股份有限公司,深圳市中科创业(集团)股份有限公司
1999-12-09,000908,石药景峰,湖南天一泵业股份有限公司,湖南天一科技股份有限公司
1999-12-16,000720,新能泰山,山东电缆电器股份有限公司,山东鲁能泰山电缆股份有限公司
1999-12-24,000514,渝 开 发,重庆市房地产开发股份有限公司,重庆渝开发股份有限公司
1999-12-28,000509,华塑控股,四川天歌集团股份有限公司,四川天歌科技集团股份有限公司
2000-01-04,000543,皖能电力,皖能股份有限公司,安徽省皖能股份有限公司
2000-01-04,000669,ST金鸿,吉林吉诺尔股份有限公司,吉林中讯科技发展股份有限公司
2000-01-07,000069,华侨城Ａ,深圳华侨城实业发展股份有限公司,深圳华侨城控股股份有限公司
2000-01-18,000525,红太阳,南京天龙股份有限公司,南京红太阳股份有限公司
2000-01-25,000545,金浦钛业,吉林制药股份有限公司,吉林恒和制药股份有限公司
2000-02-21,000806,银河退,北海银河股份有限公司,北海银河高科技产业股份有限公司
2000-02-21,000506,招金黄金,四川峨眉集团股份有限公司,四川东泰产业(控股)股份有限公司
2000-02-28,200505,京粮B,海南珠江实业股份有限公司,海南珠江控股股份有限公司
2000-02-28,000505,京粮控股,海南珠江实业股份有限公司,海南珠江控股股份有限公司
2000-03-03,000620,盈新发展,牡丹江石化集团股份有限公司,黑龙江圣方科技股份有限公司
2000-03-23,000551,创元科技,苏州物资集团股份有限公司,创元科技股份有限公司
2000-03-31,000403,派林生物,宜春工程机械股份有限公司,三九宜工生化股份有限公司
2000-04-03,000036,华联控股,深圳市惠中化纤实业股份有限公司,深圳市惠中股份有限公司
2000-04-03,000548,湖南投资,湖南中意投资集团股份有限公司,湖南投资集团股份有限公司
2000-04-20,000895,双汇发展,河南双汇实业股份有限公司,河南双汇投资发展股份有限公司
2000-04-25,000828,东莞控股,广东福地彩色显像管股份有限公司,广东福地科技股份有限公司
2000-05-09,000619,海螺新材,安徽红星宣纸股份有限公司,芜湖海螺型材科技股份有限公司
2000-05-16,000425,徐工机械,徐州工程机械股份有限公司,徐州工程机械科技股份有限公司
2000-05-18,000700,模塑科技,江阴兴澄冶金股份有限公司,江南模塑科技股份有限公司
2000-06-07,000657,中钨高新,海南金海股份有限公司,中钨高新材料股份有限公司
2000-06-16,000931,中 关 村,北京中关村科技发展股份有限公司,北京中关村科技发展(控股)股份有限公司
2000-07-05,000680,山推股份,山东山推工程机械股份有限公司,山推工程机械股份有限公司
2000-07-17,000627,*ST天茂,湖北中天股份有限公司,湖北百科药业股份有限公司
2000-07-17,000554,泰山石油,山东泰山石化股份有限公司,中国石化山东泰山石油股份有限公司
2000-07-18,000688,国城矿业,涪陵建筑陶瓷股份有限公司,重庆朝华科技股份有限公司
2000-07-31,000402,金 融 街,重庆华亚现代纸业股份有限公司,金融街控股股份有限公司
2000-08-03,000707,双环科技,湖北双环碱业股份有限公司,湖北双环科技股份有限公司
2000-08-18,000036,华联控股,深圳市惠中股份有限公司,深圳市华联控股股份有限公司
2000-09-15,000676,智度股份,河南思达电子仪器股份有限公司,河南思达高科技股份有限公司
2000-10-18,000590,古汉医药,湖南古汉集团股份有限公司,清华紫光古汉生物制药股份有限公司
