sample_group,selection_ranker,selection_seed,strategy_id,policy_id,entry_year,trade_row_count,total_pnl,mean_trade_net_return,trade_win_rate,mean_holding_trading_days
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,momentum_trail_4pct_5d,2023,113,2030.8747339901402,0.002219673897204159,0.5398230088495575,3.1327433628318584
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_1d,2022,1210,-51596.64344459452,-0.003037301114098807,0.3925619834710744,1.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_1d,2023,445,-15397.072619003367,-0.0048525508540280295,0.3303370786516854,1.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_2d,2022,605,-39096.67151317034,-0.00401003244327682,0.428099173553719,2.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_2d,2023,225,-5761.368608832014,-0.002562398606855488,0.4,2.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_3d,2022,322,6283.531369583099,0.00158141634055795,0.468944099378882,3.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_3d,2023,90,11439.097224288944,0.005802829494975708,0.4666666666666667,3.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_5d,2022,237,-5632.243814930191,-0.00012271506265714024,0.4388185654008439,5.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,next_open_5d,2023,72,182.82242891292844,0.0002792675346902074,0.4166666666666667,5.0
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,2022,751,-24969.712732215354,-0.001892134403621046,0.4647137150466045,1.6098535286284954
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,2023,220,-3920.074456663755,-0.0011554721833398297,0.4590909090909091,2.036363636363636
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,2022,613,-8445.721273340076,-0.0006257806804851705,0.47797716150081565,1.264274061990212
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,2023,195,-4612.550883231057,-0.0012202786586062368,0.48205128205128206,1.4256410256410257
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2022,269,-9455.916625444575,-0.0014536703602561164,0.48698884758364314,2.907063197026022
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2023,80,-1413.8698928933154,-0.000647582528479652,0.4875,3.5125
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_1d,2022,745,-16877.25903102192,-0.0012385691428617681,0.4442953020134228,1.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_1d,2023,239,131.72500914879856,0.00012338804145345717,0.497907949790795,1.00418410041841
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_2d,2022,375,-20611.375325056506,-0.003117221237426161,0.456,2.002666666666667
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_2d,2023,120,-5720.750732813254,-0.0031666911738264356,0.43333333333333335,2.0
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_3d,2022,310,5133.38407447079,0.0010282650194491662,0.4870967741935484,3.0
