sample_group,selection_ranker,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,flow_quality,805,77,0.09565217391304348,226,0.28074534161490683,-0.283887757021118,-0.2957575154,0.22178952820127049,-0.7800383433,0.6616228093,-0.3951164727012423,-0.3729640515,-0.7914321688,705.3776397515528,567829,73110,1046
primary_development_2022_2023_partial,random_hash,805,81,0.10062111801242236,235,0.2919254658385093,-0.28716936261329196,-0.304595246,0.2235375648683325,-0.8028713706,0.584865094,-0.39652907464894416,-0.3792068132,-0.805672146,709.6695652173913,571284,72068,1002
primary_development_2022_2023_partial,sector_leader,805,105,0.13043478260869565,35,0.043478260869565216,-0.2685790480059627,-0.2807851928,0.2705672597608874,-0.8160095727,0.5808613067,-0.43206850280683234,-0.4210208014,-0.8161601167,660.6770186335403,531845,100560,1880
primary_development_2022_2023_partial,trend_structure,805,47,0.058385093167701865,181,0.2248447204968944,-0.37665647701279503,-0.3916993822,0.21785228579452443,-0.8439315255,0.4638081043,-0.4634702626763975,-0.4496454429,-0.8490321091,671.5975155279503,540636,59351,1271
supplemental_2023_09_legacy,flow_quality,770,157,0.2038961038961039,742,0.9636363636363636,-0.026610923735974023,-0.02832435155,0.03403110965155021,-0.1352230536,0.0824164604,-0.05963068874207793,-0.0567605432,-0.1473068615,47.284415584415584,36409,283,28
supplemental_2023_09_legacy,random_hash,770,153,0.1987012987012987,742,0.9636363636363636,-0.02778263569168831,-0.028204497250000002,0.03447893785951437,-0.1916232644,0.0863933271,-0.059399920800259735,-0.05667080055,-0.2131095135,47.27272727272727,36400,286,28
supplemental_2023_09_legacy,sector_leader,770,180,0.23376623376623376,715,0.9285714285714286,-0.03746053756103896,-0.03470196785,0.0516356523094411,-0.1654246531,0.1188073237,-0.08827746385389611,-0.0857478066,-0.1649658993,54.246753246753244,41770,15,55
supplemental_2023_09_legacy,trend_structure,770,165,0.21428571428571427,733,0.951948051948052,-0.03372093160181818,-0.0377205453,0.042817733067431925,-0.1679849908,0.4403390455,-0.060877215727922075,-0.057216417699999994,-0.1785092734,48.04545454545455,36995,746,37
