sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
primary_development_2022_2023_partial,s1_break_reclaim_stable3,20,644150,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s1_break_reclaim_stable3,40,432563,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s1_break_reclaim_stable3,60,347734,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s1_break_reclaim_stable3,120,226979,331,3045,,,rule_or_control,False
primary_development_2022_2023_partial,s1_break_reclaim_stable3,240,171376,331,3031,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,10,1262374,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,20,867875,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,40,587382,331,3070,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,60,470627,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,120,305639,331,3045,,,rule_or_control,False
primary_development_2022_2023_partial,s1_near_reversal,240,232989,331,3033,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,10,1229846,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,20,832155,331,3072,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,40,559033,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,60,447796,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,120,294388,331,3050,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_immediate,240,223115,331,3034,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,10,1123765,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,20,760523,331,3072,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,40,510072,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,60,409107,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,120,267789,331,3048,,,rule_or_control,False
primary_development_2022_2023_partial,s1_touch_reclaim,240,202958,331,3033,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,6401,330,2692,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,36433,331,3063,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,40,53867,331,3067,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,60,49268,331,3065,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,120,37290,331,3047,,,rule_or_control,False
primary_development_2022_2023_partial,s2_first_touch_reclaim,240,28255,331,3032,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,10,561464,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,20,376683,331,3066,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,40,247414,331,3063,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,60,196379,331,3062,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,120,127187,331,3042,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_acceleration,240,93362,331,3021,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,10,173457,331,3033,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,20,105999,331,3031,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,40,53873,331,3020,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,60,32448,330,2937,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,120,14408,330,2459,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,240,26235,331,2758,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,10,100611,331,3039,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,20,71246,331,3035,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,40,29835,331,2947,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,60,13079,326,2623,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,120,2467,279,1194,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_bull_stack,240,361,116,251,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,10,461774,331,3048,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,20,318855,331,3048,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,40,214241,331,3043,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,60,166421,331,3043,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,120,72271,331,3035,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_daily_trend,240,77085,331,3012,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,10,536283,331,3072,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,20,373443,331,3069,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,40,260789,331,3064,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,60,208487,331,3048,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,120,133850,331,3040,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_positive_slope,240,102833,331,3020,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,10,658158,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,20,442601,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,40,296324,331,3069,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,60,236267,331,3067,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,120,154551,331,3044,,,rule_or_control,False
primary_development_2022_2023_partial,s2_reclaim_recent_high,240,115816,331,3031,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,10,696383,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,20,463273,331,3070,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,40,308491,331,3067,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,60,244714,331,3064,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,120,158021,331,3046,,,rule_or_control,False
primary_development_2022_2023_partial,s4_auction_confirmed_reclaim,240,119526,331,3030,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,10,1093792,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,20,742529,331,3072,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,40,499377,331,3071,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,60,401147,331,3068,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,120,262942,331,3048,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,240,199064,331,3033,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_normal,10,1004259,331,3073,,,rule_or_control,False
primary_development_2022_2023_partial,s4_reclaim_volume_normal,20,677308,331,3071,,,rule_or_control,False
