sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,60,17548,20,2815,,,rule_or_control,False
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,120,12373,20,2164,,,rule_or_control,False
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,240,8036,20,1564,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,10,71739,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,20,53032,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,40,37043,20,3033,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,60,31077,20,2969,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,120,21502,20,2334,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,240,14560,20,1787,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,10,66032,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,20,48531,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,40,33757,20,3024,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,60,28188,20,2935,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,120,19518,20,2277,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_normal,240,13187,20,1735,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,10,54268,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,20,39206,20,3048,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,40,27294,20,3017,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,60,22664,20,2935,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,120,15820,20,2288,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,240,10706,20,1724,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,10,72966,20,3046,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,20,53886,20,3046,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,40,37543,20,3029,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,60,31438,20,2965,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,120,21669,20,2332,,,rule_or_control,False
supplemental_2023_09_legacy,s4_reclaim_vwap_support,240,14648,20,1784,,,rule_or_control,False
