sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,42744.86950216146,99402.87513091702,-0.001661408185544838,0.017996230854600385,-1.4655311728216789,-0.3687173451525514,-0.07076488465766206,0.06181248162774411,4.9035087719298245,1.0,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,51467.84340350627,99402.87513091702,-0.0017143025003231711,0.016798047194371148,-1.6200519150742148,-0.3739846152847962,-0.07864802721342068,0.05115471000432459,4.847953216374269,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_1d,342,2022-01-04,2023-06-02,44890.919417648365,99402.87513091702,-0.0016667976715066465,0.018387267680432584,-1.4390171072652926,-0.3707410050364536,-0.07263026530905192,0.062091931565298575,4.9035087719298245,1.0,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_2d,342,2022-01-04,2023-06-02,68024.764444178,108400.56645596006,-3.422409423572109e-05,0.01880633811902056,-0.02888869963554807,-0.05193764732350381,-0.07731521216248682,0.06849573883136184,4.941520467836257,1.0,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_3d,342,2022-01-04,2023-06-02,73261.01740645303,107260.5860409786,-0.0002081436122591493,0.018801402321061023,-0.17574100876746301,-0.09242602700404845,-0.06707374431944657,0.07611053910769994,4.894736842105263,1.0,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,next_open_5d,342,2022-01-04,2023-06-02,69593.4669765511,99898.47119104175,-0.0003419231785161008,0.018174165961877126,-0.29865811715595536,-0.12018700588027431,-0.097954344929997,0.07519272458911908,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,56066.955873221654,99969.11510283308,-0.0009758605516676131,0.01746512557816451,-0.8869850912101409,-0.2477623778401017,-0.0736041102053907,0.05223998386879347,4.89766081871345,1.0,5
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,60485.5876719253,111627.36127145113,-0.0012617595843463702,0.01115572936337219,-1.7954731416271699,-0.2838567139552829,-0.03786036176117391,0.03767070003170114,3.046783625730994,0.7192982456140351,5
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,75138.38872407535,109211.33690659492,-0.0007306450662690622,0.012706139553060644,-0.9128367277558831,-0.1850089512272155,-0.04901746420468356,0.03894561805361829,3.8157894736842106,0.9181286549707602,5
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_1d,342,2022-01-04,2023-06-02,64718.56808859404,114116.47379127421,-0.001072846701994467,0.011077350775385804,-1.5374536525540283,-0.24873204754235234,-0.03827426825630187,0.03571200882788017,2.909356725146199,0.5818713450292398,5
primary_development_2022_2023_partial,flow_quality,0,fu_r3_core_pullback,next_open_2d,342,2022-01-04,2023-06-02,78439.2598709839,105127.90314162607,-0.00012426116044322023,0.01349133096863833,-0.14621127993433516,-0.052852774762160326,-0.058117505660586266,0.035878889798610425,3.625730994152047,0.7251461988304093,5
