sample_group,strategy_id,ma_period,horizon,event_observed_count,event_mean,event_median,event_win_rate,event_profit_factor,daily_date_count,daily_mean,daily_median,positive_date_fraction,daily_bh_q_value,author_id,hypothesis_id,author_label,is_control
primary_development_2022_2023_partial,s0_distance_only,10,15m,1534647,-0.0028397821512619,-0.0030162529300138,0.2213212549856742,0.300373792703462,331,-0.0028597795889891,-0.0028882393899365,0.0151057401812688,5.899056550540727e-148,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,1d,1532126,-0.0026568786419762,-0.0033891662578393,0.4232386892461847,0.768339593017949,331,-0.0029992811346594,-0.0019480350448515,0.4441087613293051,0.0005174511249746,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,2d,1531889,-0.002642412119814,-0.004308160784418,0.434209658793816,0.8220741407698186,331,-0.0030213637291001,-0.0009997187489207,0.4531722054380664,0.0132471173673964,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,30m,1534586,-0.0028252951268867,-0.0030162529300138,0.2648948967343635,0.3910359550942938,331,-0.0028992294405447,-0.0028266741709291,0.0422960725075528,2.1814827779754377e-93,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,3d,1531753,-0.0026831146250266,-0.0046191206905764,0.4411148533738794,0.8483155348831227,331,-0.0030366660876414,-0.0017999671781711,0.4622356495468278,0.054432947541286,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,5d,1531357,-0.0026379472927306,-0.0049634868110097,0.4515465694805326,0.8819024456057831,331,-0.0027834098921116,0.0006620871696981,0.513595166163142,0.202668959463207,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,5m,1534679,-0.0029014870396319,-0.0030162529300138,0.154739851134993,0.1726756606615355,331,-0.0029031194845076,-0.0029188258639017,0.0,3.6952524046783005e-249,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,10,60m,1534120,-0.002873908527103,-0.0030162529300139,0.3190982452480901,0.5024376609234604,331,-0.0030084256106735,-0.0029009859541122,0.1510574018126888,1.3235418279938205e-45,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,15m,1048509,-0.002774670760673,-0.0030162529300138,0.227229332318559,0.3141013145041267,331,-0.0028000224568515,-0.0028340254429111,0.0030211480362537,1.0415841265270711e-153,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,1d,1046889,-0.0024366107242509,-0.0030162529300139,0.4248607063404047,0.78506430448834,331,-0.002813577840017,-0.0020027864270382,0.4380664652567976,0.0007867675247156,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,2d,1046684,-0.0023276950900117,-0.0036959759748639,0.4406573521712379,0.8419286437591174,331,-0.0028337838866075,-0.000560481763731,0.486404833836858,0.0171456957941806,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,30m,1048462,-0.0027507554878709,-0.0030162529300138,0.269539573203416,0.4044278203481437,331,-0.0028066646503871,-0.0027638228735147,0.0271903323262839,1.9376938965963944e-97,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,3d,1046610,-0.0022511515361602,-0.0038570573081611,0.4501218218820764,0.8716373767669976,331,-0.0028470704581247,-0.0015731003740682,0.4743202416918429,0.067317897076933,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,5d,1046335,-0.0024535894039233,-0.0044304142733755,0.4568527288105626,0.8899684165215875,331,-0.0026122415755907,0.0003130393995408,0.5075528700906344,0.2097150036945636,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,5m,1048521,-0.00286013774708,-0.0030162529300138,0.1594045326703041,0.1827895048611244,331,-0.0028679648048099,-0.0028900500410209,0.0,3.099712284276695e-256,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,20,60m,1048178,-0.0027805739414467,-0.0030162529300139,0.3215150480166536,0.5125710091397334,331,-0.0029034061961772,-0.0029271411282223,0.1419939577039275,7.178422958635642e-49,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,40,15m,705352,-0.0027314236735457,-0.0030162529300138,0.2323946058138347,0.330824605683055,331,-0.0027437955831626,-0.0026964384396575,0.0,1.030931826770603e-155,,,rule_or_control,False
primary_development_2022_2023_partial,s0_distance_only,40,1d,704268,-0.0023010040404759,-0.0030162529300138,0.4305974430188508,0.7963696745283223,331,-0.0026995947247175,-0.0019525783210984,0.4531722054380664,0.001069310975229,,,rule_or_control,False
