sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,next_open_2d,100000.0,55141.9598779977,55141.9598779977,-0.4485804012,-0.4689045613,217604,843,830,216075,13,686,830,0.4204819277,-0.0036176016,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3898405164, 'maximum_drawdown': -0.4313734383}, {'year': 2023, 'net_return': -0.0962697236, 'maximum_drawdown': -0.4689045613}]",0,0,0,830,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,100000.0,71110.2128111208,71110.2128111208,-0.2888978719,-0.3793481927,217604,983,971,215854,12,767,971,0.4634397528,-0.0017252284,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.2672879418, 'maximum_drawdown': -0.3467472074}, {'year': 2023, 'net_return': -0.0294930728, 'maximum_drawdown': -0.3793481927}]",0,357,58,283,273,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,100000.0,86941.7278434289,86941.7278434289,-0.1305827216,-0.2041142482,575329,811,808,573556,3,962,808,0.478960396,-0.0007692548,3,0,0,0.0,"[{'year': 2022, 'net_return': -0.0936131617, 'maximum_drawdown': -0.180769885}, {'year': 2023, 'net_return': -0.0407878383, 'maximum_drawdown': -0.2041142482}]",3,266,61,245,236,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,next_open_1d,100000.0,83254.465978127,83254.465978127,-0.1674553402,-0.2296300701,575329,988,984,573402,4,939,984,0.4573170732,-0.0009077686,240,0,0,0.0,"[{'year': 2022, 'net_return': -0.1721424612, 'maximum_drawdown': -0.2296300701}, {'year': 2023, 'net_return': 0.0056617483, 'maximum_drawdown': -0.2246433976}]",240,0,0,984,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,100000.0,87946.0311575674,87946.0311575674,-0.1205396884,-0.2093305094,575329,612,608,573688,4,1029,608,0.4868421053,-0.0009548175,2,0,0,0.0,"[{'year': 2022, 'net_return': -0.0827590579, 'maximum_drawdown': -0.2093305094}, {'year': 2023, 'net_return': -0.0411894289, 'maximum_drawdown': -0.1564910752}]",2,181,33,236,158,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_3d,100000.0,125015.777096324,125015.777096324,0.250157771,-0.2239735377,1575804,557,555,1572557,2,2690,555,0.445045045,0.0025319525,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.0276254465, 'maximum_drawdown': -0.2239735377}, {'year': 2023, 'net_return': 0.2856751202, 'maximum_drawdown': -0.0554378549}]",0,0,0,555,0,True,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,momentum_trail_4pct_5d,100000.0,62670.4068907284,62670.4068907284,-0.3732959311,-0.4365465611,2426418,573,566,2421345,7,4500,566,0.4575971731,-0.0044393676,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.3657803575, 'maximum_drawdown': -0.3878544026}, {'year': 2023, 'net_return': -0.0118501117, 'maximum_drawdown': -0.4365465611}]",0,211,0,193,162,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_5d,100000.0,83005.7247669192,83005.7247669192,-0.1699427523,-0.3533987247,2426418,336,335,2422128,1,3954,335,0.4776119403,-0.0019364826,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.2522084441, 'maximum_drawdown': -0.3533987247}, {'year': 2023, 'net_return': 0.110011528, 'maximum_drawdown': -0.2581408552}]",1,0,0,335,0,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,100000.0,84961.0505197906,84961.0505197906,-0.1503894948,-0.2779284161,1769178,597,595,1765291,2,3290,595,0.4840336134,-0.0010318524,1,0,0,0.0,"[{'year': 2022, 'net_return': -0.1929483786, 'maximum_drawdown': -0.2557035218}, {'year': 2023, 'net_return': 0.0527337814, 'maximum_drawdown': -0.2779284161}]",1,210,0,178,207,True,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s1_break_reclaim_stable3,next_open_3d,100000.0,79450.8750874638,79450.8750874638,-0.2054912491,-0.2932270194,1769178,558,555,1765745,3,2875,555,0.4414414414,-0.0019765368,0,0,0,0.0,"[{'year': 2022, 'net_return': -0.1829450027, 'maximum_drawdown': -0.2932270194}, {'year': 2023, 'net_return': -0.0275945273, 'maximum_drawdown': -0.2297015959}]",0,0,0,555,0,True,False
