sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count
primary_development_2022_2023_partial,s0_random_matched,240,gross_return,5m,3877600,1.9961061523193252e-05,0.0,0.004125350204803033,0.3706632968846709,1.0171527804850917,3877727,331,3046,1,3877727,3877727
primary_development_2022_2023_partial,s0_random_matched,10,gross_return,5m,3905363,1.6726917066294694e-05,0.0,0.004132931838700543,0.3701353753799583,1.0143230125440772,3905499,331,3074,1,3905499,3905499
primary_development_2022_2023_partial,s0_strong_no_ma,10,gross_return,5m,1702947,1.4079903058984219e-05,0.0,0.006798268668703296,0.358633005020121,1.0074692124313784,1702966,331,3073,1,1702966,1702966
primary_development_2022_2023_partial,s0_strong_no_ma,20,gross_return,5m,1702228,1.36269376528656e-05,0.0,0.006795163334745292,0.3587363149942311,1.0072279839812275,1702247,331,3073,1,1702247,1702247
primary_development_2022_2023_partial,s0_strong_no_ma,40,gross_return,5m,1701236,1.3691299573053157e-05,0.0,0.006787313734083387,0.35882969793726444,1.0072647730753923,1701255,331,3072,1,1701255,1701255
primary_development_2022_2023_partial,s0_strong_no_ma,60,gross_return,5m,1700386,1.326668671132711e-05,0.0,0.006783641159667771,0.3588396987507542,1.0070409755072298,1700405,331,3072,1,1700405,1700405
primary_development_2022_2023_partial,s0_strong_no_ma,120,gross_return,5m,1697922,1.2553965364699256e-05,0.0,0.006775220541680503,0.35880564596017955,1.0066675428735852,1697940,331,3061,1,1697940,1697940
primary_development_2022_2023_partial,s0_strong_no_ma,240,gross_return,5m,1691504,1.2296862292024548e-05,0.0,0.00676602620708485,0.3587812975907831,1.0065387387874485,1691522,331,3046,1,1691522,1691522
primary_development_2022_2023_partial,s1_touch_immediate,20,gross_return,5m,832149,0.00025126364990308984,0.0,0.006021139297880034,0.39960752221056567,1.1577728200188828,832155,331,3072,1,832155,832155
primary_development_2022_2023_partial,s1_touch_immediate,10,gross_return,5m,1229835,0.00020272919612817828,0.0,0.005877257148095434,0.39506925725808745,1.1288168125697713,1229846,331,3073,1,1229846,1229846
primary_development_2022_2023_partial,s1_touch_immediate,40,gross_return,5m,559029,0.0002880468519077555,0.0,0.006271590939363802,0.40328677045376893,1.1756686751951364,559033,331,3071,1,559033,559033
primary_development_2022_2023_partial,s1_touch_immediate,60,gross_return,5m,447791,0.0003095470112500986,0.0,0.00642425386861586,0.40497017581862965,1.1854516808785365,447796,331,3068,1,447796,447796
primary_development_2022_2023_partial,s1_touch_immediate,120,gross_return,5m,294387,0.0002774522077442922,0.0,0.006731039901097286,0.40599958557952626,1.1551308876897222,294388,331,3050,1,294388,294388
primary_development_2022_2023_partial,s1_touch_immediate,240,gross_return,5m,223115,0.00020501950289360515,0.0,0.0066476518546336365,0.3996997064294198,1.1146256540135164,223115,331,3034,1,223115,223115
primary_development_2022_2023_partial,s1_touch_reclaim,10,gross_return,5m,1123754,3.172687213408742e-05,0.0,0.00575497054827352,0.37059445394632634,1.0196966464928865,1123765,331,3073,1,1123765,1123765
primary_development_2022_2023_partial,s1_touch_reclaim,20,gross_return,5m,760517,7.404766911710843e-05,0.0,0.0059051602877622095,0.37420202309744555,1.0453324816589287,760523,331,3072,1,760523,760523
primary_development_2022_2023_partial,s1_touch_reclaim,40,gross_return,5m,510071,0.00014256509155028454,0.0,0.006150076063649142,0.3788747056782291,1.0858358789408347,510072,331,3071,1,510072,510072
primary_development_2022_2023_partial,s1_touch_reclaim,120,gross_return,5m,267788,0.00013703812548706038,0.0,0.0065391421180381396,0.382754268301791,1.0764694745952803,267789,331,3048,1,267789,267789
primary_development_2022_2023_partial,s1_touch_reclaim,60,gross_return,5m,409103,0.00016250872659489515,0.0,0.006274590278747548,0.3806498607930032,1.0964316924072113,409107,331,3068,1,409107,409107
primary_development_2022_2023_partial,s1_touch_reclaim,240,gross_return,5m,202958,5.916793064737644e-05,0.0,0.006440986467539609,0.37604824643522305,1.0330244325656779,202958,331,3033,1,202958,202958
primary_development_2022_2023_partial,s2_first_touch_reclaim,120,gross_return,5m,37290,0.00010119874900381424,0.0,0.008455075150673523,0.40831322070260123,1.0403913080386449,37290,331,3047,1,37290,37290
primary_development_2022_2023_partial,s2_first_touch_reclaim,60,gross_return,5m,49267,0.00022784709971869252,0.0,0.007792978592005497,0.40491606958004345,1.1028881618290551,49268,331,3065,1,49268,49268
primary_development_2022_2023_partial,s2_first_touch_reclaim,240,gross_return,5m,28255,5.830914711456502e-05,0.0,0.009063513189944451,0.40569810652981775,1.0218604173120545,28255,331,3032,1,28255,28255
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,gross_return,5m,36433,4.1729605968466675e-05,0.0,0.0068119930407747765,0.39579502099744734,1.0207811317855093,36433,331,3063,1,36433,36433
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,gross_return,5m,6401,0.00021951552978712917,0.0,0.008789783735276937,0.40274957037962816,1.0957604673652386,6401,330,2692,1,6401,6401
primary_development_2022_2023_partial,s2_first_touch_reclaim,40,gross_return,5m,53867,0.00022844185672851375,0.0,0.0074332468606252864,0.4050160580689476,1.1097332645049949,53867,331,3067,1,53867,53867
primary_development_2022_2023_partial,s2_reclaim_acceleration,10,gross_return,5m,561455,1.9922047539864857e-05,0.0,0.0051231368004710795,0.366540506362932,1.0134731566209867,561464,331,3068,1,561464,561464
primary_development_2022_2023_partial,s2_reclaim_acceleration,20,gross_return,5m,376681,6.058932687433778e-05,0.0,0.005222680504150064,0.36953284078570464,1.0407494197610312,376683,331,3066,1,376683,376683
primary_development_2022_2023_partial,s2_reclaim_acceleration,40,gross_return,5m,247414,0.00013320635567699399,0.0,0.005580754987429823,0.3734348096712393,1.0873366847976789,247414,331,3063,1,247414,247414
primary_development_2022_2023_partial,s2_reclaim_acceleration,120,gross_return,5m,127186,0.00011260617060539064,0.0,0.006759815329795315,0.3774078908055918,1.0607975474929112,127187,331,3042,1,127187,127187
primary_development_2022_2023_partial,s2_reclaim_acceleration,60,gross_return,5m,196377,9.351218166101279e-05,0.0,0.005985662732406215,0.36908599275882614,1.0572600494158375,196379,331,3062,1,196379,196379
primary_development_2022_2023_partial,s2_reclaim_acceleration,240,gross_return,5m,93362,1.1772298661218972e-05,0.0,0.0067031142599131115,0.37443499496583194,1.0062531168931375,93362,331,3021,1,93362,93362
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,10,gross_return,5m,173455,-6.656274324180923e-05,0.0,0.00756664562395911,0.3832290795883659,0.9685410002534666,173457,331,3033,1,173457,173457
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,40,gross_return,5m,53873,0.00012662322195189303,0.0,0.006928277187985275,0.3992909249531305,1.066697165372268,53873,331,3020,1,53873,53873
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,240,gross_return,5m,26235,0.00010602532542756333,0.0,0.007033424296623598,0.389937106918239,1.0554814736894405,26235,331,2758,1,26235,26235
primary_development_2022_2023_partial,s2_reclaim_breakout_recent,20,gross_return,5m,105998,-1.39228272909724e-05,0.0,0.007339906265902359,0.38452612313439877,0.9932098470186788,105999,331,3031,1,105999,105999
primary_development_2022_2023_partial,s2_reclaim_bull_stack,10,gross_return,5m,100611,-8.016791101491114e-05,0.0,0.008213141632130622,0.3898679070876942,0.9655807384946412,100611,331,3039,1,100611,100611
primary_development_2022_2023_partial,s2_reclaim_bull_stack,20,gross_return,5m,71246,-3.6644759143411006e-05,0.0,0.007570511191689813,0.39265362265951775,0.9830102493121785,71246,331,3035,1,71246,71246
primary_development_2022_2023_partial,s2_reclaim_bull_stack,40,gross_return,5m,29835,0.00012650308172887506,0.0,0.007277252993303573,0.4021116138763198,1.0640853217592583,29835,331,2947,1,29835,29835
primary_development_2022_2023_partial,s2_reclaim_bull_stack,60,gross_return,5m,13079,0.0003994583431940715,0.0,0.007392773026702901,0.4266381221805948,1.2129539298539835,13079,326,2623,1,13079,13079
primary_development_2022_2023_partial,s2_reclaim_daily_trend,10,gross_return,5m,461772,-4.326925267727064e-06,0.0,0.006504038876126529,0.3763220810270003,0.9976083395367037,461774,331,3048,1,461774,461774
primary_development_2022_2023_partial,s2_reclaim_daily_trend,40,gross_return,5m,214240,9.328321473440625e-05,0.0,0.006247987091683658,0.38594566840926064,1.0540203951753926,214241,331,3043,1,214241,214241
primary_development_2022_2023_partial,s2_reclaim_daily_trend,20,gross_return,5m,318853,3.8357028486715386e-05,0.0,0.006414869491756384,0.37969534550404105,1.0215313185619046,318855,331,3048,1,318855,318855
primary_development_2022_2023_partial,s2_reclaim_daily_trend,240,gross_return,5m,77085,7.175667850052316e-05,0.0,0.00642097784584766,0.37985340857494976,1.0407659824153714,77085,331,3012,1,77085,77085
primary_development_2022_2023_partial,s2_reclaim_daily_trend,60,gross_return,5m,166419,0.0001691545735350676,0.0,0.005920617435049029,0.39532745660050833,1.1034285427777084,166421,331,3043,1,166421,166421
primary_development_2022_2023_partial,s2_reclaim_daily_trend,120,gross_return,5m,72271,7.741166559798348e-05,0.0,0.005409248950917234,0.39022567834954547,1.049036393028838,72271,331,3035,1,72271,72271
primary_development_2022_2023_partial,s2_reclaim_positive_slope,20,gross_return,5m,373442,3.0802547552578197e-05,0.0,0.005759307506467784,0.3757799069199501,1.0190643097725134,373443,331,3069,1,373443,373443
primary_development_2022_2023_partial,s2_reclaim_positive_slope,40,gross_return,5m,260788,0.00010069740879119333,0.0,0.005927254490675183,0.38275150697117966,1.061932506613649,260789,331,3064,1,260789,260789
primary_development_2022_2023_partial,s2_reclaim_positive_slope,10,gross_return,5m,536278,4.510650227940281e-05,0.0,0.005707976183339016,0.37834854310637395,1.028455767094151,536283,331,3072,1,536283,536283
primary_development_2022_2023_partial,s2_reclaim_positive_slope,120,gross_return,5m,133850,0.00014458076737450335,0.0,0.006329336852205917,0.38989166977960404,1.0820841504021357,133850,331,3040,1,133850,133850
primary_development_2022_2023_partial,s2_reclaim_positive_slope,240,gross_return,5m,102833,4.769174679866302e-05,0.0,0.006140221222731094,0.3786916651269534,1.0270852090395752,102833,331,3020,1,102833,102833
primary_development_2022_2023_partial,s2_reclaim_positive_slope,60,gross_return,5m,208486,0.00016423229328904615,0.0,0.006079896826353277,0.3908367947967729,1.0985406157166597,208487,331,3048,1,208487,208487
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,10,gross_return,5m,1093780,4.6625751192086563e-05,0.0,0.0058152322193111075,0.37235824388816763,1.0287686712811022,1093792,331,3073,1,1093792,1093792
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,20,gross_return,5m,742522,8.91025914390144e-05,0.0,0.005965468008409053,0.3761248824950641,1.054188961269091,742529,331,3072,1,742529,742529
primary_development_2022_2023_partial,s4_reclaim_amount_acceleration,40,gross_return,5m,499376,0.0001577992074151933,0.0,0.006209094240117897,0.380548925058473,1.0944553165471738,499377,331,3071,1,499377,499377
