sample_group,strategy_id,ma_period,event_trigger,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,touch_reclaim,163598,-0.002895560284738628,-0.0030162529300139518,0.2270287782097362,-0.0028555611553294524,-0.003648055051097665,0.2797246825964436,-0.002808785940021224,-0.003975813803036021,0.3103425088790674,-0.002856644898841179,-0.004430414273375316,0.3352162616536757,-0.002185378399363671,-0.0045987668142519755,0.42931776840016417,-0.002610883286049932,-0.0055693483130356825,0.4315276186742301,-0.002632734269149754,-0.006248840295124958,0.43478021170244047,-0.002687084145169842,-0.0065491506871717675,0.44664775199308776
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,touch_reclaim,125647,-0.0028084722241013367,-0.0030162529300139518,0.2270726718505018,-0.002746296184875385,-0.00346973676498169,0.27832253545788826,-0.002697030352754622,-0.003926117222934178,0.3093680356574339,-0.0026324727317885398,-0.004331534918232682,0.33702946022749886,-0.001689397725951085,-0.004235059466774216,0.4342625669813728,-0.0016585091644781395,-0.004781602899664561,0.4398172146770553,-0.001507578953769422,-0.005107242332425543,0.4459740777666999,-0.0021740245574982525,-0.00593995893315169,0.4519912863765849
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,touch_reclaim,89709,-0.0026306870281596127,-0.0030162529300139518,0.23741472332456415,-0.0025026753403180626,-0.0030162529300139518,0.28803772280869944,-0.0024333148469568755,-0.0036989060442434996,0.3180571657897084,-0.0024125148097385914,-0.004176323237133628,0.34450811630396005,-0.00135536995382417,-0.003530124237685728,0.4400745926992954,-0.0015766295356089558,-0.004446645680472927,0.44597719123839735,-0.0014678847092635075,-0.004774158781270743,0.4525147152446584,-0.0022023974156108366,-0.005385510884077349,0.45838781417284113
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,touch_reclaim,73339,-0.002650163312656091,-0.0030162529300139518,0.23618042488205296,-0.0024876977710452356,-0.003317093912243163,0.28678175025225666,-0.002354675627690322,-0.0037536669441187165,0.31851094293311516,-0.0023202859013961076,-0.0041692796228471884,0.34434277454282636,-0.0012237205048835887,-0.003463330843498258,0.4424964841136553,-0.0013342193123627767,-0.003946275082131412,0.4525211404215789,-0.0014246675734617764,-0.004307682654197897,0.4576257292364024,-0.002149750055527978,-0.005221969184593278,0.4591472666876273
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,touch_reclaim,50899,-0.0026542169368635924,-0.0030162529300139518,0.23890449714139766,-0.002491077088680279,-0.003016252930014063,0.28942198121733664,-0.002369997183244801,-0.003738051330748726,0.31851226029550456,-0.002371724688158034,-0.004120944401569238,0.3459558245558874,-0.0010470885696661012,-0.0033685440067169337,0.44368567098970735,-0.0009452081982808631,-0.003721832368846101,0.4534984446981927,-0.0009920869613295532,-0.004527217463701383,0.4542948288763735,-0.00178491210661292,-0.00493007658131267,0.46098550496297463
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,touch_reclaim,38397,-0.0027544978015857993,-0.0030162529300139518,0.23329947652160324,-0.0026495706365655047,-0.0033330574254286094,0.28052401291801227,-0.002482762979660399,-0.0037220843425573857,0.31526721533493074,-0.002397029280078061,-0.004174638383619533,0.3424582606204256,-0.0005401220791480393,-0.0030162529300139518,0.4412708349636122,-0.0002960328999296767,-0.003683801546560339,0.4522317932654659,0.00010199089898367654,-0.003682685916023498,0.45741654268786053,0.00010841703439352739,-0.004368400869078304,0.4639005666240176
primary_development_2022_2023_partial,fu_r3_core_pullback,10,touch_reclaim,57886,-0.0028252392619620144,-0.0030162529300139518,0.24377224199288255,-0.002748878808381494,-0.0034746362620001747,0.29470501857130516,-0.0026640171008435274,-0.003862588878290385,0.3203704023633882,-0.002338431223546624,-0.004056402900874723,0.3521199765022979,0.0003155315997894068,-0.0024355984471543524,0.4659994112452164,0.0016919082844492892,-0.0019158293681265093,0.47711173077922303,0.0027076312699201577,-0.0013683459100634066,0.48491513682022863,0.0024983724899165795,-0.002298998435719013,0.48272218661770566
primary_development_2022_2023_partial,fu_r3_core_pullback,20,touch_reclaim,49238,-0.00279330115312089,-0.0030162529300139518,0.23529053354184862,-0.002723102963358285,-0.0033833990921636192,0.287005443171663,-0.002644484042021147,-0.003879068808049113,0.31589316543109575,-0.0021984120619627946,-0.003995608280770169,0.35026710812293066,0.0007520631769026709,-0.002231380586276699,0.46646453135810506,0.0024687017823564967,-0.0014205683156254256,0.48179208988947014,0.003696061112051951,-0.0004928097421406097,0.4950109961717032,0.00292842111872085,-0.001360133748834369,0.4898187741804113
primary_development_2022_2023_partial,fu_r3_core_pullback,40,touch_reclaim,36871,-0.002628660550646803,-0.0030162529300139518,0.24149060237042663,-0.002466037832918172,-0.0030162529300139518,0.2935911692115755,-0.0022924092397731636,-0.0033423860587637466,0.3258475725522105,-0.0018372146639029367,-0.003355363048064941,0.36078335638918274,0.0015045386241841327,-0.0016060920430690517,0.4746324628386641,0.002896566307063388,-0.0007788549263233469,0.4906763074915733,0.004031028077956016,0.00015885454473152372,0.5016448709931758,0.004164285490029664,0.00021023168833544936,0.5021893442845876
primary_development_2022_2023_partial,fu_r3_core_pullback,60,touch_reclaim,30428,-0.0026652365908874684,-0.0030162529300139518,0.23961482844748258,-0.002486031490599058,-0.003016252930014063,0.2895030892598922,-0.0022480509867140227,-0.0036203091663539744,0.32465654374548086,-0.001760576334042562,-0.003524658848590434,0.35978175124901396,0.0016295376009340824,-0.0014236271359721608,0.4769868966879568,0.0034536739131185703,-0.00038304213644707596,0.49558746048472074,0.0042158276525240705,0.0005829663734879809,0.5065063416241147,0.0047708416400207634,0.000649128493037443,0.5057187118889878
primary_development_2022_2023_partial,fu_r3_core_pullback,120,touch_reclaim,21678,-0.002665239079125833,-0.0030162529300139518,0.24541009318202786,-0.002434194729169142,-0.0030162529300139518,0.29721376510748226,-0.002231799519133532,-0.003451997574712262,0.32772062554781567,-0.0018079696016376696,-0.0034744256078953484,0.36325042683770936,0.0015485208407124502,-0.0014987738629360647,0.4777181952662722,0.0032477087814846532,-0.0005696633642590099,0.49394079555966697,0.004505778794108187,0.00043829920813576173,0.5051579775176944,0.004581703685925855,0.0007866109606452509,0.5065704238386082
