sample_group,signal_year,strategy_id,ma_period,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,10,117155,-0.0028998941083975983,-0.0030162529300139518,0.23744814517643445,-0.0029041650006305505,-0.003846519208386856,0.28632278000187794,-0.0028615677229185212,-0.004139614898543309,0.3158478808314482,-0.0028833668663452608,-0.004543027427823976,0.34186195415546167,-0.0023998358241697766,-0.0049344520213725485,0.43092915811088295,-0.0032864491860279178,-0.006446046234345693,0.42793448122411254,-0.0035810113344003566,-0.007735702620285778,0.4271327977275255,-0.0038248682926373774,-0.00815534440975596,0.44046701932788934
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,20,89871,-0.0027931038678602835,-0.0030162529300139518,0.23815246297470818,-0.0027891607139201393,-0.0037299134504646947,0.28505775265395145,-0.002767671514146561,-0.004130408728564738,0.31468313581483337,-0.0026655930145517382,-0.0044759655904383355,0.3429194675688911,-0.0019398782575645803,-0.0045619641657812515,0.43636181151096787,-0.0024148920872734342,-0.0057991803468177006,0.43577475156422524,-0.002480151256724448,-0.006466023681121036,0.4398960436349035,-0.0034129027464049207,-0.007293101277981551,0.44687594156967336
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,40,64593,-0.0026161988130506708,-0.0030162529300139518,0.24685337420463518,-0.002526133753357124,-0.003483224342562763,0.29373606638593014,-0.0024701978050224974,-0.0039217785858447485,0.3225886360117665,-0.0024217654244895956,-0.0043043456264865165,0.35015406531130483,-0.0015870465813134626,-0.003999148507145223,0.44095795008608524,-0.0022314979903734823,-0.00521710005378867,0.44243421052631576,-0.0022409741594190892,-0.0055961338555207685,0.4488937847146802,-0.0030290352125145565,-0.0060576920607947615,0.45731451725583344
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,60,52961,-0.002650800385888657,-0.0030162529300139518,0.24480277940371217,-0.002516467313313063,-0.003579202533102621,0.2925548988878609,-0.0023797867337572655,-0.003895427310146138,0.3238920674484035,-0.0023341004672812215,-0.004250398326556104,0.34906337336656845,-0.0014283756173350025,-0.004038407646332731,0.44281824370319944,-0.0018210230679758153,-0.004729283423261288,0.4510341956361297,-0.0019166706714387081,-0.004845580906289171,0.45678007796238124,-0.0028201649953297154,-0.005722996134728819,0.45935659780735805
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,120,36782,-0.002682081589715045,-0.0030162529300139518,0.2469686259583492,-0.0025319857482164155,-0.003441405913839124,0.29439112585302196,-0.0024549885934055534,-0.0038869810933936932,0.32203159411620763,-0.0024370825193240553,-0.004229128534721849,0.35034809093875774,-0.0013349689868541955,-0.003919457751034583,0.44333968945791336,-0.0015822015152752837,-0.0046144955511585595,0.4481724767641527,-0.0016585065652080806,-0.005271872267276212,0.4509910843307795,-0.002874618097045327,-0.005948558068454846,0.45640200676191517
primary_development_2022_2023_partial,2022,cs_r3_leader_confirmation,240,27630,-0.002759718972492977,-0.0030162529300139518,0.24212812160694897,-0.002703501378028015,-0.0036664950781148398,0.28606587043069126,-0.002572427520519146,-0.0039488858762298795,0.320376402461093,-0.0024619038960793736,-0.0043093576603250305,0.34784811959315165,-0.0008189969016719182,-0.003764179405190471,0.440572878897752,-0.000934954499313235,-0.004652003193384824,0.4474199869366427,-0.0005879416679892267,-0.004576493170752538,0.454100145137881,-0.0010209826373356308,-0.0054491598808762975,0.45785231975604446
primary_development_2022_2023_partial,2022,fu_r3_core_pullback,10,42833,-0.002845174688732247,-0.0030162529300139518,0.25267900917516867,-0.002841615645404996,-0.0038168826097790265,0.29865521105715354,-0.00278540205683472,-0.004101700989361079,0.32150361895867385,-0.0023599945261878015,-0.00415047789823908,0.35667585111847944,7.163383220427767e-05,-0.0030162529300137297,0.4655741542783565,0.0012230148238132163,-0.0030162529300137297,0.4730384696434007,0.0022699469885396613,-0.0017331250630654993,0.4833528447670335,0.002482998150168569,-0.0018011595512208989,0.4873308041777903
primary_development_2022_2023_partial,2022,fu_r3_core_pullback,20,36312,-0.002769511390451324,-0.0030162529300139518,0.24714273911486878,-0.002778528405849723,-0.003737398591840968,0.2928118975488846,-0.0027114964457098214,-0.004038800362905937,0.3209947946790052,-0.002168422197402305,-0.0040132366770838646,0.35678281228480924,0.0005332721214443389,-0.0023116704247077013,0.4680945020975933,0.0018554594234684695,-0.0020704947363086035,0.47681095406360424,0.003100943151151912,-0.0007982690655646829,0.4925554542692191,0.0024435769719229764,-0.001080362159004089,0.49244579477972655
primary_development_2022_2023_partial,2022,fu_r3_core_pullback,40,27324,-0.002637821793593768,-0.0030162529300139518,0.25010979358805446,-0.002538764369718935,-0.0034887575000673854,0.29827258088127656,-0.0023582478240770774,-0.0036528964466613356,0.32811184716173186,-0.0017863984484757262,-0.00331342504496418,0.3662884333821376,0.0013471495279884034,-0.001728160233540943,0.4744911058133138,0.002260918427932043,-0.0012133654293853824,0.4866471019809244,0.003545881880526375,3.122910290653813e-05,0.500275178866263,0.004056447278192615,0.0009492115311108273,0.5080017618558215
primary_development_2022_2023_partial,2022,fu_r3_core_pullback,60,22695,-0.002680900125234032,-0.0030162529300139518,0.24697069839171623,-0.0025161319449052825,-0.003467748245689961,0.2952632738488654,-0.0022641188486045745,-0.0037248412363891648,0.3293526638170361,-0.0016897381826299145,-0.0033371618370935385,0.3661363536203781,0.001380571267789422,-0.0017668998635100852,0.47273851044104015,0.0029218552803524263,-0.0007606335927513586,0.49180762266484124,0.0038051339339621186,0.0005444033095218792,0.5057217337516017,0.004699749306243152,0.0012598961574283862,0.5104756011315418
