strategy_id,selection_ranker,policy_id,shared_account_count,same_return_sign_fraction,primary_mean_return,supplemental_mean_return,primary_median_return,supplemental_median_return
fu_r3_core_pullback,sector_leader,next_open_3d,5,0.0,0.3899542759,-0.1392660365,0.3899542759,-0.1392660365
fu_r3_core_pullback,sector_leader,next_open_5d,5,0.0,0.1397532544,-0.0835851002,0.1397532544,-0.0835851002
fu_r3_core_pullback,sector_leader,protect_3pct_target6pct_3d,5,1.0,0.2002119724,0.0016432969,0.2002119724,0.0016432969
fu_r3_core_pullback,trend_structure,fast_failure_2pct_target4pct_2d,5,1.0,-0.21731178972,-0.039075179,-0.2607710084,-0.0228072587
fu_r3_core_pullback,trend_structure,momentum_trail_4pct_5d,5,1.0,-0.17092207564,-0.05019587446,-0.1407858517,-0.056852576
fu_r3_core_pullback,trend_structure,next_open_1d,5,0.8,-0.261776459,-0.028991729580000004,-0.3400819653,-0.0405805457
fu_r3_core_pullback,trend_structure,next_open_2d,5,1.0,-0.27781788972,-0.030400113779999998,-0.2743947914,-0.038038428
fu_r3_core_pullback,trend_structure,next_open_3d,5,0.6,-0.15677980354,-0.047802836700000004,-0.2426790015,-0.0528368351
fu_r3_core_pullback,trend_structure,next_open_5d,5,1.0,-0.14993105232,-0.06341154898,-0.0819565647,-0.0627331041
fu_r3_core_pullback,trend_structure,protect_3pct_target6pct_3d,5,0.8,-0.17864636796,-0.014522050860000002,-0.1850762685,-0.008569074
ht_r3_core_pullback,flow_quality,fast_failure_2pct_target4pct_2d,5,1.0,-0.55105019,-0.03925301772,-0.5580057814,-0.0345303927
ht_r3_core_pullback,flow_quality,momentum_trail_4pct_5d,5,0.8,-0.34944114173999996,-0.03402009372,-0.3341298935,-0.0312684307
ht_r3_core_pullback,flow_quality,next_open_1d,5,0.8,-0.5216233186,-0.04097355566,-0.5254733553,-0.0433879681
ht_r3_core_pullback,flow_quality,next_open_2d,5,1.0,-0.33197094693999996,-0.035940346639999995,-0.2855418935,-0.0385790034
ht_r3_core_pullback,flow_quality,next_open_3d,5,0.4,-0.11910417188,-0.02158548072,-0.2208929702,-0.0362456186
ht_r3_core_pullback,flow_quality,next_open_5d,5,0.2,-0.08531448829999999,-0.010475828780000002,-0.0734886621,0.0010421407
ht_r3_core_pullback,flow_quality,protect_3pct_target6pct_3d,5,0.8,-0.5427659836600001,-0.04324030632,-0.5745439945,-0.0527637252
ht_r3_core_pullback,random_hash,fast_failure_2pct_target4pct_2d,5,0.8,-0.63871169368,-0.0338792704,-0.6622676654,-0.0428337987
ht_r3_core_pullback,random_hash,momentum_trail_4pct_5d,5,0.6,-0.38040807542,-0.01195837722,-0.34224464,-0.0145898776
ht_r3_core_pullback,random_hash,next_open_1d,5,1.0,-0.58477562042,-0.06156698052,-0.5788847646,-0.065522561
ht_r3_core_pullback,random_hash,next_open_2d,5,1.0,-0.38986874418,-0.04381678856,-0.3944675094,-0.0393226215
ht_r3_core_pullback,random_hash,next_open_3d,5,1.0,-0.25079621616,-0.03652997116,-0.2604275328,-0.042573997
ht_r3_core_pullback,random_hash,next_open_5d,5,0.6,-0.22040062367999996,-0.0065788376800000005,-0.3256374338,0.0008022706
ht_r3_core_pullback,random_hash,protect_3pct_target6pct_3d,5,0.8,-0.58549979372,-0.01852722224,-0.5866367162,-0.0095981106
ht_r3_core_pullback,sector_leader,fast_failure_2pct_target4pct_2d,5,1.0,-0.5789901841,-0.0639440573,-0.5789901841,-0.0639440573
ht_r3_core_pullback,sector_leader,momentum_trail_4pct_5d,5,1.0,-0.4513508546000001,-0.0811954425,-0.4513508546,-0.0811954425
