sample_group,signal_month,strategy_id,ma_period,signal_count,net_return_5m_mean,net_return_5m_median,net_return_5m_win_rate,net_return_15m_mean,net_return_15m_median,net_return_15m_win_rate,net_return_30m_mean,net_return_30m_median,net_return_30m_win_rate,net_return_60m_mean,net_return_60m_median,net_return_60m_win_rate,net_return_1d_mean,net_return_1d_median,net_return_1d_win_rate,net_return_2d_mean,net_return_2d_median,net_return_2d_win_rate,net_return_3d_mean,net_return_3d_median,net_return_3d_win_rate,net_return_5d_mean,net_return_5d_median,net_return_5d_win_rate
primary_development_2022_2023_partial,2022-01,fu_r3_core_pullback,240,660,-0.0027564882970833667,-0.0030162529300138408,0.27575757575757576,-0.0024142459702746464,-0.003598314070375752,0.32272727272727275,-0.002479366419811393,-0.0037015104279188304,0.35,-0.0012869959454734263,-0.0030162529300138408,0.4,-0.010328853242257014,-0.011275289887989759,0.3353566009104704,-0.003968597891077331,-0.008984420885578936,0.4253048780487805,-0.000309625540532969,-0.007882225665170828,0.4474885844748858,0.002636333726738364,-0.0070727365122795205,0.4634146341463415
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,10,6788,-0.002968243105451216,-0.0030162529300139518,0.20138479670005893,-0.0029938863674418108,-0.0030162529300139518,0.26060695344725987,-0.0027334354046554417,-0.0032308240571910507,0.31113730111962284,-0.0034692402959454146,-0.004547717979276444,0.32076027700014736,-0.0124477905255553,-0.014920536477118107,0.30814727192074526,-0.010810143678135282,-0.014814877155694184,0.34854095689527476,-0.013364525440204934,-0.018397488859565048,0.34920869693832274,-0.020356073574995914,-0.02672749548111253,0.33604376108811357
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,20,4801,-0.003160863865115205,-0.0030162529300139518,0.18267027702561967,-0.0030436299991607853,-0.0032594196975920253,0.2520308269110602,-0.002788156935881,-0.003687622456660433,0.3053530514476151,-0.003401169516661843,-0.004673748768866504,0.3074359508435743,-0.011124097838387685,-0.01277015495955669,0.3201589293182769,-0.009304209279825988,-0.013305836319380426,0.36577181208053694,-0.013576668300281883,-0.019260830111098692,0.35403596821413635,-0.02308549900429425,-0.02950360008915276,0.3108927451390341
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,40,3334,-0.003100683231017328,-0.0030162529300139518,0.20455908818236354,-0.0030705052405437337,-0.003264485671916395,0.2519496100779844,-0.0029852057880213937,-0.0036381768125899883,0.2990401919616077,-0.003771387888996681,-0.004680666531132305,0.31233123312331235,-0.012737607917741148,-0.013036190086495925,0.32108433734939756,-0.012099938430334215,-0.014774295046764252,0.3541289933694997,-0.017422724260530088,-0.02090359116828544,0.3419548872180451,-0.02722375495954651,-0.03339525907342067,0.30177336940186356
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,60,2568,-0.003032785889966289,-0.0030162529300139518,0.20366043613707166,-0.0028739638577298613,-0.0030162529300140073,0.2620716510903427,-0.002899407901886504,-0.003674980862850563,0.30334890965732086,-0.003811930119029208,-0.004621271151925732,0.3076323987538941,-0.013230596863101261,-0.013268013825335156,0.3205778992581023,-0.01339905584169079,-0.015527937998923935,0.3445443879546343,-0.02022563242204812,-0.025242005253230282,0.3205778992581023,-0.028016550978614576,-0.035543080001945115,0.3014820592823713
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,120,1550,-0.002984246119046447,-0.0030162529300139518,0.19548387096774195,-0.0028254957772012317,-0.003393127823792863,0.2645161290322581,-0.0028883610374505707,-0.0037118132817442473,0.29935483870967744,-0.0033135653109649713,-0.004546461377932853,0.3296774193548387,-0.013420359063863728,-0.015002674424236029,0.2971576227390181,-0.01295739124098113,-0.01873741582730659,0.3283775048480931,-0.015090081388070671,-0.021502799339677248,0.3460790667530784,-0.022806325222545,-0.03126928613502522,0.3255663430420712
primary_development_2022_2023_partial,2022-01,ht_r3_core_pullback,240,1007,-0.003007640851127354,-0.0030162529300139518,0.1916583912611718,-0.002515628492318038,-0.0030162529300138408,0.28599801390268126,-0.002456647340885503,-0.0030162529300138408,0.3455809334657398,-0.0025622431003158763,-0.0030162529300139518,0.35650446871896724,-0.012323944436469315,-0.012724266336390622,0.3250497017892644,-0.008557660308789341,-0.012321434569333767,0.38783649052841473,-0.007504002972711541,-0.013681346090942847,0.40239043824701193,-0.01143135861977153,-0.018588467525169128,0.3834661354581673
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,10,20478,-0.0030800814303162533,-0.0030162529300138408,0.16988963765992773,-0.0032095210520972214,-0.0030162529300139518,0.2281584216437955,-0.0031983169408127342,-0.0030162529300139518,0.27638583638583636,-0.0026558324652747795,-0.0030162529300138408,0.3433163963259723,-0.007237079346331346,-0.007434201587635525,0.3727294981640147,-0.0035106752889678674,-0.006807065656515676,0.4102224835832598,-0.0026203737299772016,-0.007830486174583373,0.4216377705945734,-0.007623103970404903,-0.011485775053181269,0.40402605671744135
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,20,12278,-0.002950197743411797,-0.0030162529300138408,0.18423195960254113,-0.0032354577318860524,-0.0030162529300139518,0.23385191822106377,-0.0031649261490385625,-0.0030162529300139518,0.27798598663842267,-0.0026662514890305276,-0.0030162529300138408,0.33689185885420914,-0.007508145981578598,-0.007607122064641536,0.36056867391126723,-0.004921111023069058,-0.00811777795157087,0.39659825006132965,-0.0058337696386001146,-0.010974512753981924,0.39438000326743994,-0.011202186216209341,-0.016786746674074537,0.36368838387966973
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,40,7743,-0.002913550500095076,-0.0030162529300138408,0.19682293684618365,-0.00307300504350492,-0.0030162529300139518,0.2438331396099703,-0.0029507675437801125,-0.0030162529300138408,0.2891644065607646,-0.0027127234230689304,-0.0030162529300139518,0.3371672266735591,-0.009229941735033158,-0.00893388125934802,0.34267185473411155,-0.006526162276638914,-0.008829569239459656,0.3905662822340288,-0.009154453291602123,-0.012719257767677905,0.3818841518724893,-0.013734939883163303,-0.01818474700715056,0.37226182760855475
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,60,6252,-0.0028664905920739946,-0.0030162529300138408,0.20361484325015994,-0.0030567555086440483,-0.0030162529300138408,0.254638515674984,-0.0028328049123852173,-0.0030162529300138408,0.29398592450415867,-0.0026906551762124614,-0.0030162529300138408,0.33674775928297057,-0.00964621152404047,-0.008795868855057343,0.34536992457069493,-0.007947206592405585,-0.008874787989067878,0.3923076923076923,-0.011338749182023133,-0.013520040626921692,0.3730311796849887,-0.015751581721682468,-0.019415324411615198,0.35879332477535303
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,120,4029,-0.002876540146509507,-0.0030162529300138408,0.20228344502357906,-0.0028355180210527446,-0.0030162529300139518,0.2593695706130553,-0.0026627233417880294,-0.0030162529300138408,0.3041211519364449,-0.002297751007358331,-0.0030162529300138408,0.34600099354197716,-0.0097537764988136,-0.009597003735756338,0.3158156911581569,-0.006148206251008252,-0.009151537527367748,0.37689818272342546,-0.007855285674444424,-0.012680094762715477,0.3728813559322034,-0.011234522296958916,-0.018594123977982435,0.3756851021425012
primary_development_2022_2023_partial,2022-01,ng_r1_auction_reclaim,240,2859,-0.0031920273822348103,-0.0030162529300138408,0.17873382301504023,-0.0031015359316147904,-0.003368046771605404,0.24064358167191324,-0.002906536398965999,-0.0030162529300138408,0.29835606855543895,-0.0021225357739738434,-0.0030162529300138408,0.3571178733823015,-0.008503105405348644,-0.008684695502633066,0.36169467787114845,-0.003185790598308511,-0.0055040476825278795,0.4281195079086116,-0.0006464543459439113,-0.004311037017117658,0.4507190459487899,-0.0009649943982112398,-0.004944654761870559,0.45875745875745877
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,10,42093,-0.0029863630815094126,-0.0030162529300138408,0.14373619063457746,-0.003078844340169922,-0.0030162529300139518,0.2106351129802552,-0.0031953745260442285,-0.0032066448002390224,0.25729562737642586,-0.0038722185101946367,-0.004275070792475577,0.29899897757804883,-0.009531944231209111,-0.00944840613691722,0.3394278903456496,-0.010102749486168652,-0.01230698278098774,0.3498068945787441,-0.012403163092926354,-0.014930020545426359,0.3549148662183431,-0.019379050854438064,-0.02185041058102788,0.3405112796298946
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,20,25851,-0.003035813218527226,-0.0030162529300138408,0.1441448411930829,-0.003095015210953374,-0.0030162529300139518,0.2137883008356546,-0.00316745658756401,-0.003491007095285492,0.2569758891597972,-0.003759203894673068,-0.00433997560656707,0.2970419699550875,-0.009028248275741361,-0.008941862125080413,0.341605499242689,-0.010946231988461059,-0.012988786408683117,0.3421583850931677,-0.014189486152861017,-0.016748811429600274,0.34375,-0.022948297578562777,-0.025723431000641894,0.3100660707345511
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,40,17325,-0.0029834638247420373,-0.0030162529300138408,0.15411255411255412,-0.0029799174072403845,-0.0030162529300139518,0.22466655118655812,-0.003065739450766779,-0.0033937579474840884,0.26663201663201663,-0.0035965481349099103,-0.004304345626486739,0.3111098272574961,-0.009025088838332898,-0.008827958348816,0.34907300115874856,-0.011965687346770343,-0.013468501891231388,0.33925985984826545,-0.016417589753162598,-0.017820974875850604,0.3369212962962963,-0.025345293692084665,-0.028006610706174606,0.31491680677140704
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,60,14317,-0.002917251810565823,-0.0030162529300138408,0.15716680637049454,-0.002925781645265802,-0.0030162529300139518,0.22485331098072087,-0.0028661760082309674,-0.0030162529300139518,0.2696472231924555,-0.003284659327939598,-0.004028247965308318,0.31425576519916143,-0.008890879061909758,-0.00841264668952646,0.36056042031523644,-0.012905971365179557,-0.013755443728363514,0.3444024099761805,-0.017749630522041784,-0.01913329658012347,0.3315568022440393,-0.026837390375292397,-0.031097546444490587,0.3050645342312009
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,120,10005,-0.002979952330168141,-0.0030162529300138408,0.15452273863068466,-0.0029945415711464577,-0.0030162529300139518,0.2264094362255098,-0.003119751594349113,-0.003016252930014063,0.2708916433426629,-0.0035532518794683977,-0.004400952578722084,0.3078923677103131,-0.009695291486146385,-0.009811301156134544,0.3330326718781319,-0.01390272545527554,-0.017113718575334946,0.3076383319967923,-0.018485803670921216,-0.02252245667703534,0.30981533520674426,-0.025338789020569442,-0.03178742756315012,0.3096981245612276
primary_development_2022_2023_partial,2022-01,ng_r3_volume_quality,240,7474,-0.0030640186166508657,-0.0030162529300138408,0.15333154937115334,-0.003147804857829939,-0.0030162529300139518,0.22785656944072785,-0.0032013774055047123,-0.0031690766505838575,0.2740532583968955,-0.0038642854811960993,-0.004121561853141942,0.30843373493975906,-0.01006048252447332,-0.010079444931896553,0.33065164923572005,-0.013621171011916806,-0.016295599547949235,0.329484425349087,-0.013690026140872079,-0.01768608073189809,0.3487903225806452,-0.01449278456389815,-0.021827267025673946,0.37205862578996907
primary_development_2022_2023_partial,2022-01,s0_distance_only,10,80592,-0.002847727389290995,-0.0030162529300138408,0.17846684534445106,-0.0031043350875365203,-0.0030162529300138408,0.23134958058271704,-0.0034590492898552423,-0.003578408975725589,0.2603186815914224,-0.004261427549321937,-0.00444870084247051,0.2971217840468859,-0.009550397582628246,-0.009630740998632592,0.33680214103441836,-0.010613775231330096,-0.012635638729396104,0.34574481332968043,-0.012904286891715718,-0.015254187632182337,0.35344236973554727,-0.019837338755529094,-0.022189017296744384,0.3387826303657093
primary_development_2022_2023_partial,2022-01,s0_distance_only,20,50119,-0.0027725831786346205,-0.0030162529300138408,0.18493984317324766,-0.002952304143376829,-0.0030162529300138408,0.23991380342391955,-0.0032051204614344953,-0.003268845721265512,0.2658697691125701,-0.003862674793895174,-0.004338951247422174,0.30305873896897334,-0.00898836264668575,-0.008925555410530306,0.3387506754998699,-0.011130808589910455,-0.012986090400713746,0.3392610393511565,-0.014547528720561701,-0.016855856466489905,0.33811898039686833,-0.02342153378770461,-0.025908569521592706,0.30835053405743373
primary_development_2022_2023_partial,2022-01,s0_distance_only,40,33679,-0.002721767910215515,-0.0030162529300138408,0.19495828260934114,-0.0028755025410591916,-0.0030162529300138408,0.24815892623827057,-0.0030712830046196065,-0.0030162529300139518,0.2818578683218009,-0.003856799252275223,-0.004264042350627162,0.31201901649086317,-0.009236289842648692,-0.009022179117182283,0.34527852249031876,-0.012611804012953505,-0.013789728763643205,0.33350217507895835,-0.017035586980927688,-0.018681541885097963,0.32987879329342745,-0.026386646920135017,-0.029252667326592485,0.3066463905537168
primary_development_2022_2023_partial,2022-01,s0_distance_only,60,27619,-0.002723230931618771,-0.0030162529300138408,0.19196929649878708,-0.002884947671514916,-0.0030162529300138408,0.2478907919035377,-0.0028709001088024736,-0.0030162529300139518,0.28623673824093854,-0.0035112540257191704,-0.003954723082925993,0.3189755107955369,-0.009049780884363227,-0.008374780564321893,0.36100217864923745,-0.013438345778067157,-0.0142183175038339,0.3378849506101104,-0.018192273799126038,-0.019253773240599847,0.3267308740686898,-0.02801053957189758,-0.031314918239860545,0.2952166327420762
primary_development_2022_2023_partial,2022-01,s0_distance_only,120,19446,-0.0028218282021282987,-0.0030162529300138408,0.19356165792450888,-0.0031342724870874325,-0.0030162529300138408,0.24565463334361823,-0.003330193396039829,-0.0030162529300139518,0.27775777834919,-0.0040018223354069404,-0.00426717356623707,0.3111076812265267,-0.010271379320765469,-0.010214691537017373,0.3284020618556701,-0.014962100185357374,-0.017327024419056425,0.3050471722431304,-0.019596689019893334,-0.02252178664692428,0.3035760359151659,-0.026682600810562028,-0.03207778279863255,0.2998141647739005
primary_development_2022_2023_partial,2022-01,s0_distance_only,240,14604,-0.0029243752463553657,-0.0030162529300138408,0.18097781429745274,-0.003334611980352151,-0.0030162529300139518,0.23137496576280472,-0.003587714260433029,-0.0032979663369283596,0.27398479764431966,-0.0044586376426597124,-0.0044606337744240165,0.30004110152075625,-0.010855379624965652,-0.010840847413231436,0.31901166781056967,-0.014605223105928955,-0.016970924350899863,0.317785257951501,-0.015289308476533122,-0.019058303687397582,0.34034798156935564,-0.016387963527942,-0.02240653650349811,0.3603082851637765
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,10,864087,-0.002872244794424705,-0.0030162529300138408,0.17439097641679213,-0.003079438002118285,-0.0030162529300138408,0.23620389531626876,-0.00330615247268893,-0.0030162529300139518,0.27395898202830377,-0.0038645145702602144,-0.004122783170934952,0.3114016345126051,-0.009236938367187603,-0.009564586244102502,0.340144521018706,-0.010156576474126343,-0.01280431215790967,0.3492717479559111,-0.012368767795003807,-0.015309517382171567,0.3585235379688887,-0.018353702987556418,-0.02114323014946784,0.3493436941407821
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,20,574638,-0.0028204405210483416,-0.0030162529300138408,0.1781089627016708,-0.0030277239885592245,-0.0030162529300138408,0.23641280702792444,-0.003188432295876054,-0.0030162529300139518,0.2749356028961292,-0.003627192046767357,-0.003988920000326024,0.314354621043925,-0.009262611245471909,-0.009490173365533261,0.3382696777145092,-0.010887671659073733,-0.013329877899703302,0.3403013291259778,-0.014125418236952795,-0.016673564533711993,0.34105621150794485,-0.021595666174407287,-0.024060764741517637,0.32313480960561475
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,40,414628,-0.002841639042704793,-0.0030162529300138408,0.1814373264965016,-0.0030227000936971617,-0.0030162529300138408,0.24002016469441806,-0.003133635232460385,-0.0030162529300139518,0.27953471991045625,-0.003706598363536865,-0.0041215564190050236,0.31371309289670235,-0.009813767692430458,-0.010206039567537739,0.3303731951827986,-0.01235795974679326,-0.014609087198269366,0.32731546938854567,-0.016729971331379694,-0.019772282292534582,0.3210124693956133,-0.025029524354720042,-0.02816720517698612,0.30374310566588913
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,60,353638,-0.002829700502346511,-0.0030162529300138408,0.18402694318686322,-0.0030370197107340673,-0.0030162529300138408,0.2393268499325549,-0.003128803269352634,-0.0030162529300139518,0.28046459407407826,-0.0036651373010703745,-0.0040591229583298305,0.3167447571837617,-0.009789416800047633,-0.010156110493665937,0.33439990015119153,-0.01301758328130465,-0.015154405910389968,0.32315865349142114,-0.017342245220680914,-0.01994160352699803,0.3188406620083418,-0.025358018554398513,-0.028430602297703222,0.30484801486190527
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,120,267355,-0.002852569038332644,-0.0030162529300138408,0.1818120612074673,-0.003143449475119436,-0.0030162529300138408,0.238158647749928,-0.0032886354204916353,-0.0030162529300139518,0.2767663089221653,-0.0038869283338713646,-0.00420881722076738,0.3137251966676896,-0.010617054068303045,-0.010949810599005794,0.3218200170354555,-0.013886172748296684,-0.015897179894742264,0.31996682142495225,-0.017559333231328,-0.020373967786509684,0.32271672088288544,-0.024053453980032374,-0.02680791053054765,0.3193880772005772
primary_development_2022_2023_partial,2022-01,s0_liquidity_matched,240,218676,-0.002868527472490417,-0.0030162529300138408,0.18347197387856642,-0.0032092542473759126,-0.0030162529300139518,0.23729053856285673,-0.003399348544318454,-0.003016252930014063,0.28054553187986225,-0.003992258130946086,-0.0042017270644608695,0.3125480505216914,-0.010537883546450313,-0.010956392279500737,0.3243580623694899,-0.013013605193959827,-0.015230448912494476,0.33052520429712606,-0.014987626620878476,-0.017624073399903795,0.3480740682865849,-0.01833744732295029,-0.020507195861066085,0.36598937656227026
primary_development_2022_2023_partial,2022-01,s0_random_matched,10,219591,-0.0030713538735766205,-0.0030162529300138408,0.1317278001949229,-0.0032712547063100715,-0.0030162529300139518,0.2040101483536255,-0.003513220827368335,-0.003673243938452586,0.25318924041405455,-0.0039894295916052,-0.004359896793989515,0.2972019525712957,-0.009632286980166887,-0.00981269059902895,0.33041630489421014,-0.012227791763519841,-0.014519911550052167,0.32879135546271493,-0.014447805794805783,-0.017292956314088392,0.343033888695843,-0.018836740500031392,-0.021879770222987094,0.35170906163963817
primary_development_2022_2023_partial,2022-01,s0_random_matched,20,219483,-0.003093823497718153,-0.0030162529300138408,0.1313276287851864,-0.0032555135725800778,-0.0030162529300139518,0.20533024650567158,-0.003513680465129966,-0.0036312953402980463,0.25431771253538266,-0.004021213509021054,-0.004379494152078722,0.2956063749743496,-0.009649755733408257,-0.00978466453767618,0.3300263340770272,-0.012243860956582753,-0.01447583622966897,0.3287571626522278,-0.01447083448742361,-0.017321759234549983,0.34309644484291807,-0.018872423562337908,-0.021886607764146082,0.3518171959862915
primary_development_2022_2023_partial,2022-01,s0_random_matched,40,219359,-0.0030990670070036846,-0.0030162529300138408,0.13002803802229365,-0.0032664100449587797,-0.0030162529300139518,0.20512773747589105,-0.003539429129974825,-0.0036644868357810223,0.25395066289044865,-0.004045305273247187,-0.004385736099066118,0.29540726005146645,-0.009664455071978417,-0.009806153591103484,0.3308890799970724,-0.012258323942503082,-0.014528767330360126,0.32869817476332325,-0.014498559863499867,-0.017360099525057793,0.3425984832188348,-0.018923160963254162,-0.02193435059737603,0.3519681722871819
primary_development_2022_2023_partial,2022-01,s0_random_matched,60,219246,-0.0030887602713209673,-0.0030162529300138408,0.13119494961935127,-0.003261338856053916,-0.0030162529300139518,0.20601545606335708,-0.0035188621571047647,-0.0036034047245191436,0.25392993871805286,-0.004033563106038139,-0.004388563662388378,0.29615495227356764,-0.009679550764809124,-0.009807695348746703,0.3303615152610791,-0.012283733110014657,-0.01452544481538176,0.3281571176780278,-0.014520842500620334,-0.017361342815912728,0.34259102377997686,-0.018948769011439746,-0.02190163677506385,0.35103751545966744
primary_development_2022_2023_partial,2022-01,s0_random_matched,120,218882,-0.003100296056697874,-0.0030162529300138408,0.1301618341816454,-0.003257702595824416,-0.0030162529300139518,0.2048182860903063,-0.0035339473583513013,-0.003670012764158015,0.2528258077490893,-0.0040140151115607295,-0.004394412718470964,0.2955746790064747,-0.00963352101474564,-0.00979845529103407,0.33019456109144923,-0.012232379454999042,-0.014494054997550021,0.3290885579074801,-0.014472685323549065,-0.01726423427211965,0.3423663509391556,-0.018895079040732808,-0.021892020946829238,0.3515379815368804
primary_development_2022_2023_partial,2022-01,s0_random_matched,240,217853,-0.0030864813783431826,-0.0030162529300138408,0.13069624175430705,-0.0032752733562283042,-0.0030162529300139518,0.20445613648467487,-0.0035316838927812832,-0.0036370398210908705,0.25368864315792855,-0.004018072083836797,-0.004372693402217798,0.295464255688631,-0.009618545496838068,-0.00979845529103418,0.3302197042973608,-0.012214120934543734,-0.014475836229668804,0.32907006745051787,-0.014448560331997698,-0.01725887788815661,0.34289927875198745,-0.01885094576696864,-0.021827267025674058,0.35182666820329606
primary_development_2022_2023_partial,2022-01,s0_strong_no_ma,10,85781,-0.002960116364973574,-0.0030162529300138408,0.1986500192354772,-0.003366214663609462,-0.0030162529300139518,0.2375051005537744,-0.0037391535774033294,-0.003856171840771916,0.2622656468613003,-0.004511190923353477,-0.004774085136588446,0.2960421917296742,-0.01051512070093835,-0.011453350930606176,0.3191760781789455,-0.011196425618997953,-0.013672619856944346,0.3405697032113098,-0.013874699804615238,-0.01684207995498116,0.348200074899354,-0.01893999597687857,-0.02152175171553561,0.3475837519466985
