sample_group,strategy_id,ma_period,metric,horizon,observed_count,mean,median,std,win_rate,profit_factor,signal_count,date_count,symbol_count,event_trigger_count,entry_observed_count,entry_executable_count,missing_count,missing_fraction,observed_fraction
primary_development_2022_2023_partial,ng_r3_volume_quality,40,gross_return,15m,356756,4.333607045011949e-05,0.0,0.0066381949247806,0.3955868997297873,1.0216333851358093,356776,331,3071,1,356776,356776,20,5.605758234858847e-05,0.9999439424176514
primary_development_2022_2023_partial,ng_r3_volume_quality,60,gross_return,15m,285688,5.773027302193901e-05,0.0,0.0067021356478703,0.3962014505334491,1.0286412893949386,285699,331,3067,1,285699,285699,11,3.850205986020252e-05,0.9999614979401398
primary_development_2022_2023_partial,ng_r3_volume_quality,120,gross_return,15m,186982,4.5686067790638855e-05,0.0,0.0069603033405715,0.3985035992769357,1.021597328533104,186990,331,3045,1,186990,186990,8,4.2783036526017434e-05,0.999957216963474
primary_development_2022_2023_partial,ng_r3_volume_quality,240,gross_return,15m,141102,2.214997850945003e-05,0.0,0.0069721288186142,0.3937789684058341,1.0105807220355565,141107,331,3030,1,141107,141107,5,3.5434103198282154e-05,0.9999645658968017
primary_development_2022_2023_partial,s0_distance_only,10,gross_return,15m,1534647,0.0001770046696114,0.0,0.0071331794048766,0.4090243554380909,1.086840362737296,1534685,331,3073,1,1534685,1534685,38,2.476078152845698e-05,0.9999752392184715
primary_development_2022_2023_partial,s0_distance_only,20,gross_return,15m,1048509,0.0002423130467795,0.0,0.0072062584316214,0.413543422135623,1.118701957823578,1048526,331,3072,1,1048526,1048526,17,1.621323648626739e-05,0.9999837867635137
primary_development_2022_2023_partial,s0_distance_only,40,gross_return,15m,705352,0.0002856909726949,0.0,0.0074952180202935,0.4161780217536776,1.136716522120948,705367,331,3071,1,705367,705367,15,2.1265525605819384e-05,0.9999787344743942
primary_development_2022_2023_partial,s0_distance_only,60,gross_return,15m,562773,0.0003164573711894,0.0,0.0076051955400098,0.4167257491031019,1.1501307483506849,562790,331,3068,1,562790,562790,17,3.0206649016507046e-05,0.9999697933509835
primary_development_2022_2023_partial,s0_distance_only,120,gross_return,15m,365876,0.0002599182437383,0.0,0.007944794205741,0.4167094862740382,1.115594670742942,365879,331,3049,1,365879,365879,3,8.199432052673151e-06,0.9999918005679473
primary_development_2022_2023_partial,s0_distance_only,240,gross_return,15m,279820,0.000203325533073,0.0,0.0077592437553364,0.411636051747552,1.0915930649769146,279823,331,3033,1,279823,279823,3,1.0721062957655375e-05,0.9999892789370424
primary_development_2022_2023_partial,s0_liquidity_matched,10,gross_return,15m,16238271,0.0002126341252784,0.0,0.0076496560535651,0.4135325737573908,1.099320515797463,16239010,331,3071,1,16239010,16239010,739,4.5507700284684844e-05,0.9999544922997153
primary_development_2022_2023_partial,s0_liquidity_matched,20,gross_return,15m,11603835,0.0002190248254235,0.0,0.0076359050708788,0.4144078229309534,1.1021281124972562,11604391,331,3071,1,11604391,11604391,556,4.79128977987729e-05,0.9999520871022012
primary_development_2022_2023_partial,s0_liquidity_matched,40,gross_return,15m,8352808,0.0002252158912469,0.0,0.0076940595049909,0.415736839635246,1.1041279968701816,8353238,331,3071,1,8353238,8353238,430,5.147704399180294e-05,0.9999485229560082
primary_development_2022_2023_partial,s0_liquidity_matched,60,gross_return,15m,7003303,0.0002091878814048,0.0,0.0077435463101988,0.4158477792550172,1.0955547519964843,7003515,331,3071,1,7003515,7003515,212,3.027051416324517e-05,0.9999697294858367
primary_development_2022_2023_partial,s0_liquidity_matched,120,gross_return,15m,5117723,0.0002117813599346,0.0,0.0078233201349369,0.4154249849005114,1.0958014015428108,5117908,331,3061,1,5117908,5117908,185,3.614758217615479e-05,0.9999638524178238
primary_development_2022_2023_partial,s0_liquidity_matched,240,gross_return,15m,4317800,0.0002331894215227,0.0,0.0078208754114147,0.4160831905136875,1.106228742108169,4317956,331,3046,1,4317956,4317956,156,3.61282051044522e-05,0.9999638717948955
primary_development_2022_2023_partial,s0_random_matched,10,gross_return,15m,3905048,1.504558832921016e-05,0.0,0.0069823165550676,0.4006565348236436,1.0074992527055904,3905499,331,3074,1,3905499,3905499,451,0.00011547820137708395,0.9998845217986229
primary_development_2022_2023_partial,s0_random_matched,20,gross_return,15m,3904101,1.9578871298287088e-05,0.0,0.0069701280437903,0.4007468044499873,1.0097792831349173,3904539,331,3073,1,3904539,3904539,438,0.00011217713538013067,0.9998878228646199
primary_development_2022_2023_partial,s0_random_matched,40,gross_return,15m,3901970,2.1075009483828643e-05,0.0,0.0069674845046348,0.4010387060894881,1.0105307150951044,3902386,331,3072,1,3902386,3902386,416,0.00010660144844718078,0.9998933985515528
primary_development_2022_2023_partial,s0_random_matched,60,gross_return,15m,3899703,2.6029352594904924e-05,0.0,0.006963171972429,0.4013939010227189,1.0130205813505142,3900109,331,3072,1,3900109,3900109,406,0.00010409965465067771,0.9998959003453494
primary_development_2022_2023_partial,s0_random_matched,120,gross_return,15m,3893417,2.191828243919533e-05,0.0,0.0069532857835241,0.4011581600429648,1.0109715159952066,3893840,331,3061,1,3893840,3893840,423,0.00010863312308672159,0.9998913668769133
primary_development_2022_2023_partial,s0_random_matched,240,gross_return,15m,3877329,1.823783454301506e-05,0.0,0.0069534036140627,0.4005783362722121,1.0091209086085915,3877727,331,3046,1,3877727,3877727,398,0.00010263744714364885,0.9998973625528563
primary_development_2022_2023_partial,s0_strong_no_ma,10,gross_return,15m,1702879,6.124789748818553e-05,0.0,0.0096001767013516,0.3804010737110505,1.022264188977412,1702966,331,3073,1,1702966,1702966,87,5.1087338208748734e-05,0.9999489126617912
primary_development_2022_2023_partial,s0_strong_no_ma,20,gross_return,15m,1702160,6.0817138875187626e-05,0.0,0.0095978920272297,0.3805165201861165,1.0221038084275034,1702247,331,3073,1,1702247,1702247,87,5.110891662608305e-05,0.9999488910833739
primary_development_2022_2023_partial,s0_strong_no_ma,40,gross_return,15m,1701168,6.155088713514328e-05,0.0,0.009589947002671,0.3806214318632845,1.0223782051838477,1701255,331,3072,1,1701255,1701255,87,5.1138718181577716e-05,0.9999488612818184
primary_development_2022_2023_partial,s0_strong_no_ma,60,gross_return,15m,1700318,6.09751226627287e-05,0.0,0.0095856846216137,0.3806405625300679,1.0221732940013224,1700405,331,3072,1,1700405,1700405,87,5.116428145059559e-05,0.9999488357185494
primary_development_2022_2023_partial,s0_strong_no_ma,120,gross_return,15m,1697854,6.024486692527749e-05,0.0,0.0095767201480128,0.3806363798065086,1.021922009202257,1697940,331,3061,1,1697940,1697940,86,5.064961070473633e-05,0.9999493503892952
primary_development_2022_2023_partial,s0_strong_no_ma,240,gross_return,15m,1691437,6.006831149544264e-05,0.0,0.0095643566733046,0.3806497079110839,1.021882559242904,1691522,331,3046,1,1691522,1691522,85,5.0250602711640757e-05,0.9999497493972883
primary_development_2022_2023_partial,s1_break_reclaim_stable3,10,gross_return,15m,952461,0.0001334157824755,0.0,0.0080814288106427,0.403263755681335,1.0579587640300752,952519,331,3073,1,952519,952519,58,6.089117382435416e-05,0.9999391088261756
primary_development_2022_2023_partial,s1_break_reclaim_stable3,20,gross_return,15m,644106,0.00016190106297,0.0,0.0080996697888251,0.4052112540482467,1.0697129762405633,644150,331,3071,1,644150,644150,44,6.830707133431654e-05,0.9999316929286657
primary_development_2022_2023_partial,s1_break_reclaim_stable3,40,gross_return,15m,432544,0.0002393963931786,0.0,0.0083886055856699,0.4096184434415921,1.101478633262559,432563,331,3071,1,432563,432563,19,4.392423762550195e-05,0.9999560757623746
primary_development_2022_2023_partial,s1_break_reclaim_stable3,60,gross_return,15m,347721,0.0002707020949,0.0,0.0085004948066763,0.4087644979739503,1.1137365581906975,347734,331,3068,1,347734,347734,13,3.738489765165328e-05,0.9999626151023483
primary_development_2022_2023_partial,s1_break_reclaim_stable3,120,gross_return,15m,226968,0.0002255452911518,0.0,0.0087769575301812,0.4089695463677699,1.0896103504186148,226979,331,3045,1,226979,226979,11,4.846263310702752e-05,0.999951537366893
primary_development_2022_2023_partial,s1_break_reclaim_stable3,240,gross_return,15m,171370,0.0001707365561588,0.0,0.0086635098463864,0.4038571511933244,1.068462163976455,171376,331,3031,1,171376,171376,6,3.501073662589861e-05,0.9999649892633741
primary_development_2022_2023_partial,s1_near_reversal,10,gross_return,15m,1262320,1.8507313583884826e-05,0.0,0.0072546765477595,0.3942288801571709,1.0086013235696565,1262374,331,3073,1,1262374,1262374,54,4.27765464117607e-05,0.9999572234535883
primary_development_2022_2023_partial,s1_near_reversal,20,gross_return,15m,867848,3.895903529094093e-05,0.0,0.0072869172744139,0.3954229312045427,1.0180037755203712,867875,331,3071,1,867875,867875,27,3.1110470977963415e-05,0.9999688895290221
primary_development_2022_2023_partial,s1_near_reversal,40,gross_return,15m,587363,0.0001099034898905,0.0,0.0075018852901192,0.4005870305075396,1.0502383293753008,587382,331,3070,1,587382,587382,19,3.234692244569973e-05,0.9999676530775543
primary_development_2022_2023_partial,s1_near_reversal,60,gross_return,15m,470611,0.000129484204963,0.0,0.0076004284475975,0.3996272930296997,1.0586891972256187,470627,331,3068,1,470627,470627,16,3.399719948069278e-05,0.9999660028005193
primary_development_2022_2023_partial,s1_near_reversal,120,gross_return,15m,305632,8.102346864025658e-05,0.0,0.0078710804148981,0.401126190974767,1.0346648358588268,305639,331,3045,1,305639,305639,7,2.2902836352690593e-05,0.9999770971636474
primary_development_2022_2023_partial,s1_near_reversal,240,gross_return,15m,232985,6.0953190882466745e-05,0.0,0.0077070100325023,0.3965362576989935,1.0266662909340984,232989,331,3033,1,232989,232989,4,1.7168192489774197e-05,0.9999828318075102
primary_development_2022_2023_partial,s1_touch_immediate,10,gross_return,15m,1229794,0.0002722691678295,0.0,0.0085543179283845,0.4163079344995991,1.1148020248163102,1229846,331,3073,1,1229846,1229846,52,4.228171657264405e-05,0.9999577182834274
primary_development_2022_2023_partial,s1_touch_immediate,20,gross_return,15m,832121,0.0003437580390777,0.0,0.0086547904727415,0.4205974852215002,1.1438554511860808,832155,331,3072,1,832155,832155,34,4.0857772890867685e-05,0.9999591422271091
primary_development_2022_2023_partial,s1_touch_immediate,40,gross_return,15m,559012,0.0003931274100102,0.0,0.0090492570540329,0.4246492025215916,1.1590574757862528,559033,331,3071,1,559033,559033,21,3.7564866474787714e-05,0.9999624351335252
primary_development_2022_2023_partial,s1_touch_immediate,60,gross_return,15m,447779,0.0004249520940347,0.0,0.0092309736528294,0.4251114947328928,1.1690902613398326,447796,331,3068,1,447796,447796,17,3.796371562050577e-05,0.9999620362843795
primary_development_2022_2023_partial,s1_touch_immediate,120,gross_return,15m,294378,0.0003617172648897,0.0,0.0095982774680287,0.4236933466495458,1.135092934507089,294388,331,3050,1,294388,294388,10,3.396877590119162e-05,0.9999660312240988
primary_development_2022_2023_partial,s1_touch_immediate,240,gross_return,15m,223111,0.0002826404106995,0.0,0.0094438538217038,0.4184509056030406,1.1062415860820656,223115,331,3034,1,223115,223115,4,1.792797436299666e-05,0.999982072025637
primary_development_2022_2023_partial,s1_touch_reclaim,10,gross_return,15m,1123715,0.000100474619129,0.0,0.008432505805742,0.3985903899120329,1.0417697831007018,1123765,331,3073,1,1123765,1123765,50,4.4493288187476916e-05,0.9999555067118125
primary_development_2022_2023_partial,s1_touch_reclaim,20,gross_return,15m,760487,0.0001562481121329,0.0,0.0085288921975755,0.4017241583353824,1.0642442011713684,760523,331,3072,1,760523,760523,36,4.733584651614744e-05,0.9999526641534838
primary_development_2022_2023_partial,s1_touch_reclaim,40,gross_return,15m,510052,0.0002449736979164,0.0,0.0088966538912996,0.4068643981397975,1.0985684246724912,510072,331,3071,1,510072,510072,20,3.9210150723819384e-05,0.9999607898492762
primary_development_2022_2023_partial,s1_touch_reclaim,60,gross_return,15m,409094,0.0002820497499092,0.0,0.0090398874410012,0.4074662546994089,1.1122962684141642,409107,331,3068,1,409107,409107,13,3.177652790101367e-05,0.999968223472099
primary_development_2022_2023_partial,s1_touch_reclaim,120,gross_return,15m,267781,0.0002194648666497,0.0,0.0094088194103419,0.4070751845724678,1.0820116334022212,267789,331,3048,1,267789,267789,8,2.9874266680110085e-05,0.9999701257333199
primary_development_2022_2023_partial,s1_touch_reclaim,240,gross_return,15m,202953,0.0001415191222404,0.0,0.0092475326702776,0.401427916808325,1.0533184923770549,202958,331,3033,1,202958,202958,5,2.463563890065925e-05,0.9999753643610994
primary_development_2022_2023_partial,s2_first_touch_reclaim,10,gross_return,15m,6401,0.0007040530700981,0.0,0.0122838204817017,0.4407123886892673,1.2221523729581782,6401,330,2692,1,6401,6401,0,0.0,1.0
primary_development_2022_2023_partial,s2_first_touch_reclaim,20,gross_return,15m,36432,0.0001777399711468,0.0,0.0096917348176614,0.4236385595081247,1.061384553013836,36433,331,3063,1,36433,36433,1,2.744764361979524e-05,0.9999725523563802
primary_development_2022_2023_partial,s2_first_touch_reclaim,40,gross_return,15m,53862,0.0004388101941446,0.0,0.0103416189812039,0.434406446103004,1.147655292425762,53867,331,3067,1,53867,53867,5,9.282120778955576e-05,0.9999071787922105
primary_development_2022_2023_partial,s2_first_touch_reclaim,60,gross_return,15m,49267,0.0005037012286361,0.0,0.010928519884018,0.4323786713215742,1.1583937150057004,49268,331,3065,1,49268,49268,1,2.0297150280100673e-05,0.9999797028497199
primary_development_2022_2023_partial,s2_first_touch_reclaim,120,gross_return,15m,37289,0.000158916180906,0.0,0.011712638784632,0.426265118399528,1.043663122881278,37290,331,3047,1,37290,37290,1,2.6816840976133013e-05,0.9999731831590238
primary_development_2022_2023_partial,s2_first_touch_reclaim,240,gross_return,15m,28254,5.674114253988373e-07,0.0,0.0122069291680653,0.4215332342323211,1.0001469940807624,28255,331,3032,1,28255,28255,1,3.5391966023712616e-05,0.9999646080339762
primary_development_2022_2023_partial,s2_reclaim_acceleration,10,gross_return,15m,561438,0.0001224840670952,0.0,0.007582122145469,0.3980261400190226,1.0557475515210617,561464,331,3068,1,561464,561464,26,4.630751036575809e-05,0.9999536924896343
