sample_group,selection_ranker,selection_seed,strategy_id,policy_id,exit_reason,exit_count,total_pnl,mean_trade_net_return
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,take_profit,58,53055.90591641305,0.06151601994833371
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,time_stop,283,3602.021886419773,0.0010054812129524102
primary_development_2022_2023_partial,flow_quality,0,ht_r3_core_pullback,protect_3pct_target6pct_3d,trailing_stop,273,98270.48200531428,0.022966156517863687
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,stop_loss,266,-104438.58539025513,-0.02098331486591515
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,take_profit,61,39901.02548903283,0.035471591808525924
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,time_stop,245,-1873.6085844966929,-0.0003157726939611827
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,trailing_stop,236,53352.896329147756,0.012176275713848352
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,stop_loss,115,-90872.02040487861,-0.04237296818061338
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,time_stop,126,7233.290109635049,0.0032363368308981604
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,trailing_stop,108,72768.94377690578,0.0372432312119454
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_1d,time_stop,984,-16745.53402187312,-0.0009077685665900821
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_2d,time_stop,495,-26332.126057869762,-0.003129213949280771
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_3d,time_stop,402,4305.559473265219,0.0007582696356802948
primary_development_2022_2023_partial,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,time_stop,299,-18887.06776777257,-0.0030525454194508484
