sample_group,sample_variant,source_signal_root,selection_ranker,selection_seed,strategy_id,policy_id,starting_cash,ending_cash,ending_equity,net_return,maximum_drawdown,selection_count,accepted_signal_count,filled_entry_count,skipped_slot_count,skipped_cash_count,skipped_duplicate_count,closed_trade_count,positive_trade_fraction,mean_trade_net_return,delayed_exit_count,unresolved_position_count,unresolved_exit_count,unresolved_position_value,annual,exit_reason_delayed_one_price_down_count,exit_reason_stop_loss_count,exit_reason_take_profit_count,exit_reason_time_stop_count,exit_reason_trailing_stop_count,fully_resolved,positive_return
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r1_auction_reclaim,next_open_5d,100000.0,65707.0052244976,81979.0052244976,-0.1802099478,-0.2831235785,575329,302,300,574073,2,954,299,0.4481605351,-0.0030525454,0,1,0,16272.0,"[{'year': 2022, 'net_return': -0.1983679089, 'maximum_drawdown': -0.258202509}, {'year': 2023, 'net_return': 0.0226512404, 'maximum_drawdown': -0.2831235785}]",0,0,0,299,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,100000.0,24168.9566066352,52747.2745017978,-0.472527255,-0.5253209611,1575804,1026,1013,1572078,13,2700,1011,0.4075173096,-0.0031163721,4,2,0,28578.3178951627,"[{'year': 2022, 'net_return': -0.3629709216, 'maximum_drawdown': -0.4227883742}, {'year': 2023, 'net_return': -0.1719801138, 'maximum_drawdown': -0.5253209611}]",4,382,65,307,257,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,momentum_trail_4pct_5d,100000.0,73841.1124741179,101183.1124741179,0.0118311247,-0.2606572922,1575804,481,478,1572358,3,2965,477,0.463312369,-0.0008942435,1,1,0,27342.0,"[{'year': 2022, 'net_return': -0.0738152629, 'maximum_drawdown': -0.2606572922}, {'year': 2023, 'net_return': 0.0924722512, 'maximum_drawdown': -0.1385760995}]",1,166,0,161,150,False,True
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_1d,100000.0,11494.1491978738,52830.513580977,-0.4716948642,-0.5345481205,1575804,861,852,1572449,9,2494,849,0.347467609,-0.0040618157,0,3,0,41336.3643831033,"[{'year': 2022, 'net_return': -0.4200423843, 'maximum_drawdown': -0.4840133553}, {'year': 2023, 'net_return': -0.0890625082, 'maximum_drawdown': -0.5345481205}]",0,0,0,849,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_2d,100000.0,41084.2451999029,69900.930419967,-0.3009906958,-0.3532470195,1575804,595,590,1572511,5,2698,588,0.4149659864,-0.0026721659,0,2,0,28816.6852200641,"[{'year': 2022, 'net_return': -0.3074122116, 'maximum_drawdown': -0.3532470195}, {'year': 2023, 'net_return': 0.0092717716, 'maximum_drawdown': -0.3195839275}]",0,0,0,588,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,next_open_5d,100000.0,59162.2092832613,85374.1989254503,-0.1462580107,-0.3365475829,1575804,242,241,1572897,1,2665,239,0.4644351464,-0.0009293132,0,2,0,26211.9896421889,"[{'year': 2022, 'net_return': -0.2182622759, 'maximum_drawdown': -0.3365475829}, {'year': 2023, 'net_return': 0.0921079577, 'maximum_drawdown': -0.2716849669}]",0,0,0,239,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,100000.0,38353.9590205457,53683.9096284484,-0.4631609037,-0.5094969382,1575804,695,689,1572236,6,2873,688,0.4273255814,-0.0042992345,4,1,0,15329.9506079027,"[{'year': 2022, 'net_return': -0.3812035612, 'maximum_drawdown': -0.4335011942}, {'year': 2023, 'net_return': -0.1324463708, 'maximum_drawdown': -0.5094969382}]",4,237,34,260,157,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,fast_failure_2pct_target4pct_2d,100000.0,26239.6884026853,54679.2477377295,-0.4532075226,-0.4669705836,2426418,995,987,2421402,8,4021,985,0.4345177665,-0.0034437285,0,2,0,28439.5593350442,"[{'year': 2022, 'net_return': -0.4138479694, 'maximum_drawdown': -0.4322238624}, {'year': 2023, 'net_return': -0.0671490521, 'maximum_drawdown': -0.4669705836}]",0,376,74,266,269,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_1d,100000.0,32332.897816095,57025.4892947883,-0.4297451071,-0.4450662958,2426418,1264,1252,2421529,12,3625,1250,0.4152,-0.0024959081,1,2,0,24692.5914786933,"[{'year': 2022, 'net_return': -0.4038502253, 'maximum_drawdown': -0.418837209}, {'year': 2023, 'net_return': -0.0434368725, 'maximum_drawdown': -0.4450662958}]",1,0,0,1250,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_2d,100000.0,58306.1868230973,78219.2906130403,-0.2178070939,-0.2804398123,2426418,702,697,2421714,5,4002,696,0.4353448276,-0.0018561179,2,1,0,19913.103789943,"[{'year': 2022, 'net_return': -0.2382669212, 'maximum_drawdown': -0.2633442614}, {'year': 2023, 'net_return': 0.0268595758, 'maximum_drawdown': -0.2804398123}]",2,0,0,696,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,next_open_3d,100000.0,39439.9970101056,79126.8867922564,-0.2087311321,-0.2884786847,2426418,411,408,2421953,3,4054,406,0.4482758621,-0.0030180838,0,2,0,39686.8897821508,"[{'year': 2022, 'net_return': -0.1864765644, 'maximum_drawdown': -0.275690641}, {'year': 2023, 'net_return': -0.0273557794, 'maximum_drawdown': -0.2884786847}]",0,0,0,406,0,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,100000.0,40014.7543317888,79332.4215670477,-0.2066757843,-0.3658222177,2426418,783,776,2421316,7,4319,775,0.4477419355,-0.0037878546,0,1,0,39317.6672352589,"[{'year': 2022, 'net_return': -0.2835995247, 'maximum_drawdown': -0.3658222177}, {'year': 2023, 'net_return': 0.1073753341, 'maximum_drawdown': -0.3396355112}]",0,276,43,268,188,False,False
primary_development_2022_2023_partial,current_contract,runs/minute_ma_development_2022_2024,flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,100000.0,33030.9504431436,49999.0334470962,-0.5000096655,-0.5080281836,1702966,1157,1146,1699476,11,2333,1145,0.4227074236,-0.0034425809,17,1,0,16968.0830039526,"[{'year': 2022, 'net_return': -0.448633092, 'maximum_drawdown': -0.4678185311}, {'year': 2023, 'net_return': -0.0931803718, 'maximum_drawdown': -0.5080281836}]",17,456,94,234,361,False,False
