sample_group,strategy_id,account_count,positive_count,positive_fraction,fully_resolved_count,fully_resolved_fraction,mean_net_return,median_net_return,std_net_return,minimum_net_return,maximum_net_return,mean_maximum_drawdown,median_maximum_drawdown,worst_maximum_drawdown,mean_closed_trade_count,total_closed_trade_count,total_delayed_exit_count,total_unresolved_position_count
primary_development_2022_2023_partial,s4_reclaim_volume_proxy,24,0,0.0,24,1.0,-0.3547051124125,-0.36988299935,0.1554521832134624,-0.6440471129,-0.0361651042,-0.4297237211416666,-0.43270883065,-0.6652338355,729.0416666666666,17497,1260,0
primary_development_2022_2023_partial,s4_reclaim_vwap_support,28,1,0.03571428571428571,28,1.0,-0.3395079151464286,-0.30986318605,0.15352118148666838,-0.5805930396,0.052058017,-0.415743326225,-0.38756244269999995,-0.6170007652,652.1428571428571,18260,2197,0
supplemental_2023_09_legacy,cs_r3_leader_confirmation,140,30,0.21428571428571427,140,1.0,-0.03148378848357143,-0.0348259648,0.03659060039078406,-0.1001686914,0.0655139498,-0.07021859662142857,-0.06599492600000001,-0.1274761991,51.17142857142857,7164,4,0
supplemental_2023_09_legacy,fu_r3_core_pullback,140,31,0.22142857142857142,140,1.0,-0.027753392567857145,-0.02118808745,0.039086043107775414,-0.1392660365,0.0429443489,-0.06403423640428571,-0.05845259665,-0.1529166798,34.50714285714286,4831,3,0
supplemental_2023_09_legacy,ht_r3_core_pullback,136,26,0.19117647058823528,136,1.0,-0.031577610961764715,-0.03562189465,0.03267062696803666,-0.1006465327,0.0359886304,-0.07412664451911766,-0.06819539165,-0.1575843545,51.1764705882353,6960,4,0
supplemental_2023_09_legacy,ng_r1_auction_reclaim,140,63,0.45,140,1.0,-0.009878974617142858,-0.0046995097999999996,0.03204073813960375,-0.0998250932,0.048981217,-0.049077032755,-0.042695458049999996,-0.1349046658,33.1,4634,0,0
supplemental_2023_09_legacy,ng_r3_volume_quality,130,24,0.18461538461538463,130,1.0,-0.030918902848461535,-0.030562125500000002,0.03671094441100406,-0.1225994393,0.0334390016,-0.06754733865384614,-0.06098757095,-0.1503034332,49.19230769230769,6395,7,0
supplemental_2023_09_legacy,s0_distance_only,133,7,0.05263157894736842,133,1.0,-0.06309769409097744,-0.0548589332,0.04674515709935188,-0.1654246531,0.0463976309,-0.07277247412556391,-0.0660104048,-0.1391433877,49.11278195488722,6532,0,0
supplemental_2023_09_legacy,s0_strong_no_ma,127,19,0.14960629921259844,127,1.0,-0.04341834102755905,-0.0407479958,0.04190011828350814,-0.1679849908,0.0908552118,-0.08648273028110236,-0.0861535506,-0.1785092734,48.77952755905512,6195,721,0
supplemental_2023_09_legacy,s1_break_reclaim_stable3,138,42,0.30434782608695654,138,1.0,-0.024421437977536233,-0.0245314093,0.03956794445212527,-0.1153628602,0.0752456231,-0.06435836207971016,-0.0592506146,-0.1377117875,50.630434782608695,6987,16,0
supplemental_2023_09_legacy,s1_near_reversal,130,15,0.11538461538461539,130,1.0,-0.030807535209999997,-0.0333911654,0.029273429232742027,-0.0969997702,0.0499776689,-0.06317210743461538,-0.06209982995,-0.1236673181,47.52307692307692,6178,5,0
supplemental_2023_09_legacy,s1_touch_immediate,138,19,0.13768115942028986,138,1.0,-0.048431569831884055,-0.0480245617,0.0363410521379283,-0.1248592176,0.0465419034,-0.0691071595521739,-0.0698032515,-0.1410802335,51.39855072463768,7093,5,0
supplemental_2023_09_legacy,s1_touch_reclaim,122,21,0.1721311475409836,122,1.0,-0.03559155301393442,-0.0334601998,0.03687391601467786,-0.1200554733,0.0396697379,-0.0654666316557377,-0.06756493225,-0.1248302002,48.81147540983606,5955,4,0
supplemental_2023_09_legacy,s2_first_touch_reclaim,139,27,0.19424460431654678,139,1.0,-0.04054263124028778,-0.0465733027,0.04089490092234617,-0.1483455769,0.0514206799,-0.07278351798273382,-0.0725594492,-0.1506989719,51.12230215827338,7106,8,0
supplemental_2023_09_legacy,s2_reclaim_acceleration,133,33,0.24812030075187969,133,1.0,-0.029390535879699246,-0.0220774962,0.04282319980534816,-0.1218815186,0.0675906586,-0.05949851653383459,-0.0534044145,-0.1077281562,49.81203007518797,6625,10,0
supplemental_2023_09_legacy,s2_reclaim_bull_stack,130,55,0.4230769230769231,130,1.0,-0.007703980806923075,-0.0101008491,0.03817817474649824,-0.0681817228,0.0716975378,-0.05705919265384616,-0.0557251703,-0.1200951911,48.60769230769231,6319,0,0
supplemental_2023_09_legacy,s2_reclaim_daily_trend,127,23,0.18110236220472442,127,1.0,-0.035510236722047235,-0.0419445853,0.04066381077773041,-0.1097413624,0.0806692331,-0.06680187964173229,-0.0644343202,-0.1273776731,49.70866141732284,6313,19,0
supplemental_2023_09_legacy,s2_reclaim_positive_slope,136,37,0.27205882352941174,136,1.0,-0.02247675609264706,-0.02928285085,0.04202039297247381,-0.1231590596,0.0793825809,-0.0627822333235294,-0.0616704767,-0.12674628,50.56617647058823,6877,6,0
supplemental_2023_09_legacy,s2_reclaim_recent_high,111,25,0.22522522522522523,111,1.0,-0.03764293068828828,-0.0383744528,0.06063043306825007,-0.1916232644,0.1188073237,-0.08703322668918917,-0.0849325429,-0.2131095135,49.54054054054054,5499,1,0
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,138,27,0.1956521739130435,138,1.0,-0.03815487721086957,-0.04077906195,0.04775940190815065,-0.1515590103,0.0863933271,-0.0721402690289855,-0.06403633215,-0.1609192952,51.594202898550726,7120,6,0
supplemental_2023_09_legacy,s4_reclaim_amount_acceleration,134,22,0.16417910447761194,134,1.0,-0.028242468632089554,-0.0276583236,0.0363210798005568,-0.10910139,0.0469999806,-0.06077588453358209,-0.058294200399999996,-0.1263542813,50.62686567164179,6784,12,0
supplemental_2023_09_legacy,s4_reclaim_volume_normal,138,10,0.07246376811594203,138,1.0,-0.03429055980362319,-0.0326400782,0.025339710373397356,-0.091178458,0.0461649168,-0.06817052630942029,-0.06341114084999999,-0.1457440218,50.72463768115942,7000,3,0
supplemental_2023_09_legacy,s4_reclaim_volume_proxy,138,35,0.2536231884057971,138,1.0,-0.021414902221014494,-0.018297569450000002,0.032500015878484285,-0.1054752319,0.0892011245,-0.05502760637391304,-0.05333366315,-0.112440009,50.03623188405797,6905,488,0
supplemental_2023_09_legacy,s4_reclaim_vwap_support,134,41,0.30597014925373134,134,1.0,-0.020936445653731345,-0.0271074322,0.03861477312570204,-0.1029587352,0.0666839571,-0.05818506066119403,-0.059545347299999996,-0.1077281562,50.440298507462686,6759,2,0
