selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,s0_distance_only,next_open_5d,-0.1699427523,-0.3533987247,True,-0.0402491097,-0.0773908032,True,True,-0.1296936426
flow_quality,0,s0_distance_only,protect_3pct_target6pct_3d,-0.2066757843,-0.3658222177,False,-0.0436620064,-0.0595019928,True,True,-0.1630137779
flow_quality,0,s0_strong_no_ma,fast_failure_2pct_target4pct_2d,-0.5000096655,-0.5080281836,False,-0.0138042994,-0.0581030053,False,True,-0.48620536610000004
flow_quality,0,s0_strong_no_ma,momentum_trail_4pct_5d,-0.3829707448,-0.4558608719,False,-0.034014893,-0.0526209032,True,True,-0.3489558518
flow_quality,0,s0_strong_no_ma,next_open_1d,-0.5139631437,-0.5217578851,False,-0.0429892938,-0.0555147404,True,True,-0.47097384989999996
flow_quality,0,s0_strong_no_ma,next_open_2d,-0.4386234816,-0.4876237799,False,-0.0352514679,-0.0593883246,True,True,-0.4033720137
flow_quality,0,s0_strong_no_ma,next_open_3d,-0.4337571515,-0.4790449682,False,-0.0847972079,-0.1136229552,True,True,-0.3489599436
flow_quality,0,s0_strong_no_ma,next_open_5d,-0.0567473979,-0.3050473587,False,-0.0514234275,-0.0840574925,True,True,-0.005323970400000003
flow_quality,0,s0_strong_no_ma,protect_3pct_target6pct_3d,-0.3153438079,-0.4283190121,False,-0.0815831231,-0.0986938183,True,True,-0.2337606848
flow_quality,0,s1_break_reclaim_stable3,fast_failure_2pct_target4pct_2d,-0.4700910329,-0.492061834,False,0.0496699432,-0.025639412,True,False,-0.5197609760999999
flow_quality,0,s1_break_reclaim_stable3,momentum_trail_4pct_5d,-0.1503894948,-0.2779284161,True,-0.0255759537,-0.0472932179,True,True,-0.1248135411
flow_quality,0,s1_break_reclaim_stable3,next_open_1d,-0.4530042214,-0.4763857354,False,0.0012844421,-0.0571982286,True,False,-0.4542886635
flow_quality,0,s1_break_reclaim_stable3,next_open_2d,-0.2286008894,-0.3172199854,False,0.0101707984,-0.0288181012,True,False,-0.23877168780000002
flow_quality,0,s1_break_reclaim_stable3,next_open_3d,-0.2054912491,-0.2932270194,True,0.0017771698,-0.033198033,True,False,-0.2072684189
flow_quality,0,s1_break_reclaim_stable3,next_open_5d,-0.1333504854,-0.2465970818,True,0.0181888229,-0.0350661416,True,False,-0.1515393083
flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,-0.3161849596,-0.3355619485,False,-0.0224669466,-0.0519913986,True,True,-0.293718013
flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,-0.3242043932,-0.3762755303,False,-0.0510870122,-0.0740665902,True,True,-0.273117381
flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,-0.4838544436,-0.491236379,True,-0.0285909697,-0.0741016364,True,True,-0.4552634739
flow_quality,0,s1_near_reversal,next_open_1d,-0.4114988959,-0.4532128601,False,-0.0463237308,-0.0621449682,True,True,-0.3651751651
