sample_group,trade_date,outcome_path,outcome_rows,schema_match,normalized_complete,event_rows,path_rows,reference_rows,path_id_unique,event_orphan_path_count,reference_orphan_path_count,normalized_row_parity
primary_development_2022_2023_partial,2022-02-21,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-21\outcomes.parquet,446624,True,True,446624,159352,446624,1,0,0,True
primary_development_2022_2023_partial,2022-02-22,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-22\outcomes.parquet,402403,True,True,402403,156164,402403,1,0,0,True
primary_development_2022_2023_partial,2022-02-23,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-23\outcomes.parquet,458303,True,True,458303,155078,458303,1,0,0,True
primary_development_2022_2023_partial,2022-02-24,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-24\outcomes.parquet,403111,True,True,403111,155159,403111,1,0,0,True
primary_development_2022_2023_partial,2022-02-25,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-25\outcomes.parquet,450764,True,True,450764,150621,450764,1,0,0,True
primary_development_2022_2023_partial,2022-02-28,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-02-28\outcomes.parquet,390877,True,True,390877,149355,390877,1,0,0,True
primary_development_2022_2023_partial,2022-03-01,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-01\outcomes.parquet,477756,True,True,477756,164825,477756,1,0,0,True
primary_development_2022_2023_partial,2022-03-02,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-02\outcomes.parquet,433449,True,True,433449,159471,433449,1,0,0,True
primary_development_2022_2023_partial,2022-03-03,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-03\outcomes.parquet,353418,True,True,353418,143635,353418,1,0,0,True
primary_development_2022_2023_partial,2022-03-04,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-04\outcomes.parquet,361373,True,True,361373,147471,361373,1,0,0,True
primary_development_2022_2023_partial,2022-03-07,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-07\outcomes.parquet,322659,True,True,322659,134215,322659,1,0,0,True
primary_development_2022_2023_partial,2022-03-08,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-08\outcomes.parquet,279267,True,True,279267,122665,279267,1,0,0,True
primary_development_2022_2023_partial,2022-03-09,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-09\outcomes.parquet,234671,True,True,234671,112141,234671,1,0,0,True
primary_development_2022_2023_partial,2022-03-10,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-10\outcomes.parquet,341286,True,True,341286,136811,341286,1,0,0,True
primary_development_2022_2023_partial,2022-03-11,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-11\outcomes.parquet,402823,True,True,402823,153824,402823,1,0,0,True
primary_development_2022_2023_partial,2022-03-14,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-14\outcomes.parquet,316860,True,True,316860,137615,316860,1,0,0,True
primary_development_2022_2023_partial,2022-03-15,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-15\outcomes.parquet,187768,True,True,187768,100458,187768,1,0,0,True
primary_development_2022_2023_partial,2022-03-16,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-16\outcomes.parquet,279638,True,True,279638,120706,279638,1,0,0,True
primary_development_2022_2023_partial,2022-03-17,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-17\outcomes.parquet,359949,True,True,359949,137939,359949,1,0,0,True
primary_development_2022_2023_partial,2022-03-18,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-18\outcomes.parquet,407809,True,True,407809,153960,407809,1,0,0,True
primary_development_2022_2023_partial,2022-03-21,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-21\outcomes.parquet,382440,True,True,382440,151630,382440,1,0,0,True
primary_development_2022_2023_partial,2022-03-22,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-22\outcomes.parquet,383506,True,True,383506,153750,383506,1,0,0,True
primary_development_2022_2023_partial,2022-03-23,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-23\outcomes.parquet,427021,True,True,427021,163307,427021,1,0,0,True
primary_development_2022_2023_partial,2022-03-24,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-24\outcomes.parquet,360482,True,True,360482,146936,360482,1,0,0,True
primary_development_2022_2023_partial,2022-03-25,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-25\outcomes.parquet,443528,True,True,443528,156383,443528,1,0,0,True
primary_development_2022_2023_partial,2022-03-28,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-28\outcomes.parquet,406900,True,True,406900,151651,406900,1,0,0,True
primary_development_2022_2023_partial,2022-03-29,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-29\outcomes.parquet,367551,True,True,367551,144086,367551,1,0,0,True
primary_development_2022_2023_partial,2022-03-30,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-30\outcomes.parquet,445524,True,True,445524,157243,445524,1,0,0,True
primary_development_2022_2023_partial,2022-03-31,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-03-31\outcomes.parquet,404899,True,True,404899,155815,404899,1,0,0,True
primary_development_2022_2023_partial,2022-04-01,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-01\outcomes.parquet,393275,True,True,393275,150202,393275,1,0,0,True
primary_development_2022_2023_partial,2022-04-06,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-06\outcomes.parquet,399741,True,True,399741,145288,399741,1,0,0,True
primary_development_2022_2023_partial,2022-04-07,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-07\outcomes.parquet,359375,True,True,359375,146245,359375,1,0,0,True
primary_development_2022_2023_partial,2022-04-08,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-08\outcomes.parquet,324015,True,True,324015,131350,324015,1,0,0,True
primary_development_2022_2023_partial,2022-04-11,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-11\outcomes.parquet,265146,True,True,265146,119803,265146,1,0,0,True
primary_development_2022_2023_partial,2022-04-12,H:\quant_project\runs\minute_ma_development_2022_2024\outcomes\date=2022-04-12\outcomes.parquet,389225,True,True,389225,142400,389225,1,0,0,True
