sample_group,sample_variant,selection_ranker,strategy_id,policy_id,signal_year,observed_seed_count,positive_seed_count,positive_seed_fraction,net_return_mean,net_return_median,net_return_standard_deviation,net_return_minimum,net_return_q25,net_return_q75,net_return_maximum
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_5d,2022,5,5,1.0,0.7169650145369841,0.7169650145369841,0.0,0.7169650145369841,0.7169650145369841,0.7169650145369841,0.7169650145369841
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_5d,2023,5,0,0.0,-0.07926993660862536,-0.07926993660862536,0.0,-0.07926993660862536,-0.07926993660862536,-0.07926993660862536,-0.07926993660862536
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_3d,2022,5,5,1.0,0.3239396400740231,0.3239396400740231,0.0,0.3239396400740231,0.3239396400740231,0.3239396400740231,0.3239396400740231
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_3d,2023,5,5,1.0,0.15497177197433576,0.15497177197433576,0.0,0.15497177197433576,0.15497177197433576,0.15497177197433576,0.15497177197433576
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_3d,2022,5,5,1.0,0.3218716772913952,0.3218716772913952,0.0,0.3218716772913952,0.3218716772913952,0.3218716772913952,0.3218716772913952
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_3d,2023,5,5,1.0,0.10772062802242921,0.10772062802242921,0.0,0.10772062802242921,0.10772062802242921,0.10772062802242921,0.10772062802242921
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,next_open_5d,2022,5,5,1.0,0.5920164282177418,0.5920164282177418,0.0,0.5920164282177418,0.5920164282177418,0.5920164282177418,0.5920164282177418
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,next_open_5d,2023,5,0,0.0,-0.08250337647295392,-0.08250337647295392,0.0,-0.08250337647295392,-0.08250337647295392,-0.08250337647295392,-0.08250337647295392
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_5d,2022,5,5,1.0,0.2978326963191329,0.2978326963191329,0.0,0.2978326963191329,0.2978326963191329,0.2978326963191329,0.2978326963191329
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,next_open_5d,2023,5,5,1.0,0.10262224541769815,0.10262224541769815,0.0,0.10262224541769815,0.10262224541769815,0.10262224541769815,0.10262224541769815
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_3d,2022,5,5,1.0,0.11067448454723317,0.11067448454723317,0.0,0.11067448454723317,0.11067448454723317,0.11067448454723317,0.11067448454723317
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,next_open_3d,2023,5,5,1.0,0.2514506232456215,0.2514506232456215,0.0,0.2514506232456215,0.2514506232456215,0.2514506232456215,0.2514506232456215
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_5d,2022,5,5,1.0,0.21936274529590505,0.21936274529590505,0.0,0.21936274529590505,0.21936274529590505,0.21936274529590505,0.21936274529590505
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_5d,2023,5,5,1.0,0.05818247496597451,0.05818247496597451,0.0,0.05818247496597451,0.05818247496597451,0.05818247496597451,0.05818247496597451
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_3d,2022,5,5,1.0,0.16198093689313797,0.16198093689313797,0.0,0.16198093689313797,0.16198093689313797,0.16198093689313797,0.16198093689313797
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_positive_slope,next_open_3d,2023,5,5,1.0,0.0941132018999542,0.0941132018999542,0.0,0.0941132018999542,0.0941132018999542,0.0941132018999542,0.0941132018999542
