sample_group,strategy_id,ma_period,recent_high_breakout_true_fraction,prior_acceleration_true_fraction,breakout_recent_true_fraction,daily_trend_positive_true_fraction,market_supportive_true_fraction,sector_strong_true_fraction,leader_sync_true_fraction,auction_confirmed_true_fraction,volume_normal_true_fraction,not_repeated_cross_true_fraction,sector_strength_rank_mean,sector_breadth_mean,leader_relative_return_mean,vwap_deviation_mean,volume_acceleration_5_20_mean,amount_curve_surprise_mean
primary_development_2022_2023_partial,cs_r3_leader_confirmation,10,0.2472035110453673,0.47083705179769925,0.1566156065477573,0.3722845022555288,0.3559517842516412,1.0,1.0,0.6665362657245198,0.3355847871000868,0.7818983117153021,0.8165339235257351,0.7011992900089761,0.009138713414638578,0.008718061101091742,1.3314117167404982,2.5722642195130523
primary_development_2022_2023_partial,cs_r3_leader_confirmation,20,0.27983955048668097,0.4591514321870001,0.12451550773197928,0.3435975391374247,0.39201095131598845,1.0,1.0,0.694596767133318,0.35761299513717,0.8116071215389146,0.8214246308021886,0.7174643431497352,0.011193612224707904,0.009613747187710901,1.392852837612874,2.3684751226177916
primary_development_2022_2023_partial,cs_r3_leader_confirmation,40,0.29255704555841666,0.47436712035581713,0.06770781081050954,0.2911859456687735,0.4080749980492481,1.0,1.0,0.7065065935413393,0.3596517629223378,0.8245549498935447,0.8252329393845231,0.7258133412683947,0.012934857393448511,0.0102696314109651,1.533564388753248,2.399234259511626
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,0.2975088288632242,0.5052973179345233,0.044873805205961355,0.2115654699409591,0.40937291209315646,1.0,1.0,0.7081498247862665,0.3633401055372994,0.8326538403850612,0.8265371476344496,0.7275739501933305,0.013844270500227596,0.010498240167366507,1.5774234261135491,2.542610892772067
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,0.30114540560718284,0.5680858170101574,0.023340340674669443,0.07807619010196663,0.41900626731369967,1.0,1.0,0.7076563390243423,0.3643686516434508,0.8404683785536061,0.8290208744308356,0.7320080107683292,0.015337847538193552,0.010955901974258175,1.6753078905374903,3.1777815439950485
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,0.3068989764825377,0.5315779878636352,0.09057999322863765,0.3013516680990702,0.4076620569315311,1.0,1.0,0.708440763601323,0.36737245097273225,0.8350391957705029,0.8303673255080792,0.7360950221966377,0.015173395319094521,0.01095008332166709,1.7781757786895336,3.9174423626519403
primary_development_2022_2023_partial,fu_r3_core_pullback,10,0.20633659261306705,0.49530110907646063,0.13892823826141035,0.31176795770998167,1.0,1.0,1.0,0.6498635248592061,0.27986041529903605,1.0,0.8060189743953817,0.8081994045416192,0.01054616098780531,0.0092728493100472,1.244036095896366,3.245634527540244
primary_development_2022_2023_partial,fu_r3_core_pullback,20,0.26721231569113285,0.48939843210528455,0.11009789187213129,0.283053738982087,1.0,1.0,1.0,0.6969616962508631,0.3295625330029652,1.0,0.8131954567861555,0.8172367803829946,0.012988318612033556,0.010493856147947718,1.378889157026468,2.8576632861741387
primary_development_2022_2023_partial,fu_r3_core_pullback,40,0.2831764801605598,0.5006102356865829,0.062379647961812806,0.23997179355048684,1.0,1.0,1.0,0.7167963982533698,0.3404843915272165,1.0,0.8167038081721155,0.8214631741532965,0.014904161920112268,0.011318111525896131,1.5423153951442272,2.8226074290640817
primary_development_2022_2023_partial,fu_r3_core_pullback,60,0.2916392796108847,0.5250427238070199,0.044399894833705794,0.16235046667543052,1.0,1.0,1.0,0.7224924411726041,0.3463257525962929,1.0,0.8194226615918113,0.8231440510480071,0.0158858186129427,0.011650128075489225,1.5428544200908167,2.997609912977947
