sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,ht_r3_core_pullback,fast_failure_2pct_target4pct_2d,2022,-0.4589723688,-0.4759498328
primary_development_2022_2023_partial,current_contract,random_hash,0,ht_r3_core_pullback,fast_failure_2pct_target4pct_2d,2023,-0.2526602852,-0.6106036958
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_1d,2022,-0.0912890297,-0.1717160995
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_1d,2023,-0.0661346335,-0.2276038563
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_2d,2022,-0.2589900311,-0.276690074
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_2d,2023,-0.0294219767,-0.3184604754
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_3d,2022,0.1038011371,-0.1465690527
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_3d,2023,-0.0194239439,-0.08522889
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_5d,2022,-0.1006229187,-0.1917835444
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,next_open_5d,2023,0.0421685229,-0.1359479972
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2022,-0.1134685389,-0.2168638712
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,2023,0.0266363117,-0.1701516928
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2022,-0.1254279806,-0.2389306477
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,momentum_trail_4pct_5d,2023,0.0056318523,-0.2463983455
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,2022,-0.0276742422,-0.1337076291
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r1_auction_reclaim,fast_failure_2pct_target4pct_2d,2023,-0.0531711486,-0.1568087956
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_1d,2022,-0.5891788613,-0.6199770177
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_1d,2023,-0.1904978827,-0.6954030456
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_2d,2022,-0.4195750096,-0.4293132628
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_2d,2023,0.0096737662,-0.4291742089
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_3d,2022,-0.178822812,-0.3061012573
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_3d,2023,0.1771793679,-0.1853161829
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_5d,2022,-0.2981589365,-0.3577607811
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,next_open_5d,2023,0.0692425463,-0.3573795022
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,2022,-0.3842717096,-0.4271689361
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,protect_3pct_target6pct_3d,2023,-0.1237687398,-0.4990481976
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,momentum_trail_4pct_5d,2022,-0.0967500983,-0.3518474938
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,momentum_trail_4pct_5d,2023,-0.0221937075,-0.1621600912
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,2022,-0.4464281535,-0.4814375856
primary_development_2022_2023_partial,current_contract,random_hash,0,ng_r3_volume_quality,fast_failure_2pct_target4pct_2d,2023,-0.1652697883,-0.5700932071
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_1d,2022,-0.4454941909,-0.4591912704
primary_development_2022_2023_partial,current_contract,random_hash,0,s0_distance_only,next_open_1d,2023,0.2203709745,-0.4482975675
