success_group,is_st_label,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
failure,ST,206,142,180,206,0,-0.012110228204675996,-0.010258838383838342,0.3300970873786408,0.20388349514563106,0.038834951456310676,0.028620373407334542,0.8495145631067961,0.0052650703506689125,0.558252427184466,204,2,-0.011492924795427293,-0.008591445427728661,0.3872549019607843,0.3480392156862745,0.19607843137254902,0.01105110847412784,0.6274509803921569,-0.01766780153568889,0.28921568627450983,204,2,-0.010136976462058267,-0.013113674318254942,0.4117647058823529,0.3480392156862745,0.23039215686274508,0.013663813312049284,0.5686274509803921,-0.01321152939048262,0.37745098039215685,204,2,-0.00917981356389795,-0.015480580431971702,0.39705882352941174,0.3431372549019608,0.2549019607843137,0.01447659124050761,0.5441176470588235,-0.009830097773319241,0.4068627450980392,206,0,0.0,206,1.0
failure,ordinary,2458,1616,1075,2458,0,-0.025531428868235468,-0.02953303316059236,0.30919446704637915,0.24613506916192027,0.15215622457282343,0.05098958722446808,0.8083807973962571,0.004868856027687181,0.5032546786004882,2458,0,-0.03872018956803903,-0.04255319148936171,0.26973148901545974,0.22945484133441824,0.16069975589910496,0.0016651709785519954,0.4902359641985354,-0.04614284159326883,0.18592351505288854,2458,0,-0.046497583270346365,-0.055262500347039056,0.2729861676159479,0.24450772986167615,0.16842961757526445,-0.009520739424841053,0.41090317331163545,-0.050128059868135406,0.21358828315703823,2457,1,-0.0490912290275542,-0.062385321100917435,0.26577126577126575,0.23768823768823769,0.1855921855921856,-0.017730498757990945,0.37281237281237284,-0.05202132547179926,0.2454212454212454,2458,0,0.0,2458,1.0
success,ST,84,72,76,84,0,0.05017625442410959,0.05025141499898933,1.0,1.0,1.0,0.05017625442410959,1.0,0.021408744097953257,0.8095238095238095,83,1,0.0640347924022698,0.0717488789237668,0.9036144578313253,0.8674698795180723,0.7469879518072289,0.0953816338020859,0.9879518072289156,0.07592350739919308,0.963855421686747,83,1,0.07169980619647696,0.065359477124183,0.8554216867469879,0.8072289156626506,0.7469879518072289,0.10188295855849117,0.963855421686747,0.0795495871359968,0.8554216867469879,82,2,0.08099643382506522,0.07722039473684206,0.8048780487804879,0.7682926829268293,0.7073170731707317,0.11125326588157916,0.8536585365853658,0.07977328327400018,0.7926829268292683,84,84,1.0,84,1.0
success,ordinary,966,786,662,966,0,0.10005272838660406,0.10000000000000009,1.0,1.0,1.0,0.10005272838660406,1.0,0.05201581425774488,0.8416149068322981,964,2,0.11863182611114788,0.13412506002365798,0.8236514522821576,0.7946058091286307,0.7385892116182573,0.1806581132710005,0.9968879668049793,0.13539991202783896,0.979253112033195,963,3,0.11736034165649936,0.0899328859060402,0.7414330218068536,0.7279335410176532,0.6874350986500519,0.17211700849498127,0.8431983385254413,0.11565089561969949,0.7217030114226376,963,3,0.10286609767223932,0.04622871046228694,0.5991692627206646,0.5752855659397715,0.5368639667705088,0.14862451885977826,0.6947040498442367,0.09818507823458932,0.592938733125649,966,966,1.0,966,1.0
unobserved,ST,3,3,3,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,0,,3,1.0
unobserved,ordinary,8,8,8,0,8,,,,,,,,,,1,7,0.05031446540880502,0.05031446540880502,1.0,1.0,1.0,0.05031446540880502,1.0,-0.05031446540880502,0.0,3,5,0.09218289030408415,0.09989373007438895,1.0,1.0,1.0,0.10122243832668303,1.0,0.10122243832668303,1.0,3,5,0.027761219712759726,-0.06355932203389825,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06965228403308248,0.6666666666666666,0.013132594077091367,0.3333333333333333,0,0,,8,1.0
