pattern,is_st_label,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
A,ST,293,178,242,290,3,0.005931373660213622,0.0037954080603808116,0.5241379310344828,0.43448275862068964,0.31724137931034485,0.03486414583977973,0.8931034482758621,0.009941168953330587,0.6310344827586207,287,6,0.010349585753035627,0.009615384615384581,0.5365853658536586,0.49825783972125437,0.3554006968641115,0.035439378865140106,0.7317073170731707,0.00939867456743029,0.4843205574912892,287,6,0.013530107024556454,0.0078125,0.5400696864111498,0.4808362369337979,0.3797909407665505,0.03917666716380773,0.6829268292682927,0.013614856225189131,0.5156794425087108,286,7,0.01667491470846212,0.004277368995583286,0.513986013986014,0.46503496503496505,0.38461538461538464,0.04222374970403163,0.6328671328671329,0.015860382107380732,0.5174825174825175,290,84,0.2896551724137931,293,1.0
A,ordinary,3432,1957,1227,3424,8,0.009899148207750215,0.0008293935848305845,0.5040887850467289,0.45882009345794394,0.39135514018691586,0.06483158324158939,0.8624415887850467,0.018170246696564443,0.5987149532710281,3423,9,0.0056199733795838265,-0.010204081632653073,0.4259421560035057,0.38884019865614955,0.3236926672509495,0.05208814663275901,0.6330704060765411,0.004982791730404089,0.4092900964066608,3424,8,-0.00029103446039434387,-0.029309523809523785,0.4053738317757009,0.38113317757009346,0.3151285046728972,0.04166190683101276,0.5330023364485982,-0.0033701201399317076,0.35718457943925236,3423,9,-0.006273390009697904,-0.04113991857724453,0.35962605901256206,0.3327490505404616,0.28454572012854223,0.029147102852959968,0.4636283961437336,-0.009706330283981886,0.34326614081215306,3424,966,0.2821261682242991,3432,1.0
B,ST,74,67,70,73,1,0.008009990800523215,0.011506276150627492,0.547945205479452,0.5205479452054794,0.4383561643835616,0.030291902340553966,0.863013698630137,0.004178437838341729,0.4931506849315068,73,1,0.004571556793533891,-0.0019455252918287869,0.4657534246575342,0.4246575342465753,0.3561643835616438,0.031869528455140045,0.684931506849315,0.00806966367383487,0.4931506849315068,73,1,0.0005501138587893773,-0.007194244604316502,0.4520547945205479,0.4383561643835616,0.3287671232876712,0.024713240103606437,0.589041095890411,0.0015106690695753937,0.4931506849315068,71,3,0.004591226606776137,0.0,0.43661971830985913,0.4084507042253521,0.323943661971831,0.023888136686533824,0.5633802816901409,-0.00010590218596255019,0.4084507042253521,0,0,,74,1.0
B,ordinary,445,402,349,445,0,-0.0075070612769649065,-0.029090909090909167,0.449438202247191,0.4202247191011236,0.3595505617977528,0.03705255092881684,0.6337078651685393,-0.013623444132155249,0.34831460674157305,445,0,-0.01808622863445419,-0.03758949880668272,0.3550561797752809,0.35280898876404493,0.29213483146067415,0.02713138238245993,0.5101123595505618,-0.02108805076814353,0.36629213483146067,445,0,-0.025259837954655875,-0.06378600823045277,0.35280898876404493,0.3415730337078652,0.3146067415730337,0.016089969741685858,0.4314606741573034,-0.027802005907415245,0.3258426966292135,445,0,-0.03798535503210742,-0.07938092860708934,0.31910112359550563,0.2966292134831461,0.25617977528089886,-0.0031546261650457295,0.37303370786516854,-0.04493200694599396,0.2808988764044944,0,0,,445,1.0
A,all,3725,2047,1262,3714,11,0.009589332747657157,0.0012292825295349141,0.505654281098546,0.4569197630586968,0.38556812062466345,0.06249163794096343,0.8648357565966612,0.017527696199650653,0.6012385568120625,3710,15,0.005985849053756513,-0.009910197921706831,0.43450134770889487,0.39730458221024256,0.3261455525606469,0.05080022308847151,0.640700808625337,0.005324397761192909,0.41509433962264153,3711,14,0.0007778600710475536,-0.024216524216524205,0.41579089194287255,0.38884397736459175,0.32012934518997577,0.04146970424828901,0.5445971436270547,-0.0020565420701958727,0.3694421988682296,3709,16,-0.004503852358203224,-0.035573122529644174,0.3715287139390671,0.34294958209760046,0.29226206524669723,0.030155439601249664,0.4766783499595578,-0.007734887915707497,0.3566999191156646,3714,1050,0.2827140549273021,3725,1.0
B,all,519,459,399,518,1,-0.00532029525060075,-0.016891009662179823,0.46332046332046334,0.4343629343629344,0.37065637065637064,0.03609979543278752,0.666023166023166,-0.011114684703880578,0.3687258687258687,518,1,-0.014893143043251239,-0.027528417371028846,0.37065637065637064,0.36293436293436293,0.30115830115830117,0.0277991133927025,0.5347490347490348,-0.01697895201473731,0.3841698841698842,518,1,-0.02162252814310857,-0.05412492912492911,0.3667953667953668,0.3552123552123552,0.3166023166023166,0.017305218267593587,0.45366795366795365,-0.023671069086333554,0.34942084942084944,516,3,-0.03212694941900522,-0.06555265879904915,0.33527131782945735,0.312015503875969,0.2655038759689923,0.0005663741498033944,0.3992248062015504,-0.038764073926687306,0.29844961240310075,0,0,,519,1.0
