is_st_label,shrink_run_bucket,reexpansion_scope,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
ST,1,immediate,37,35,37,36,1,-0.0008357353885828675,-0.005119745845552359,0.4722222222222222,0.4444444444444444,0.3333333333333333,0.02496905442063874,0.8611111111111112,-0.001142779336701347,0.4166666666666667,36,1,-0.0029451749345272096,-0.00647492893001872,0.5,0.4166666666666667,0.2777777777777778,0.018202241504644404,0.6111111111111112,-0.0058862005241560504,0.3333333333333333,37,0,-0.005447090253029045,-0.007194244604316502,0.4594594594594595,0.43243243243243246,0.2702702702702703,0.018778790225076215,0.5945945945945946,-0.004823932222346312,0.4594594594594595,37,0,-0.0056825857287555615,-0.021505376344086002,0.40540540540540543,0.3783783783783784,0.24324324324324326,0.017574948247793723,0.5135135135135135,-0.0016290733153866061,0.3783783783783784,0,0,,37,1.0
ST,1,within_5_days,4,4,4,4,0,-0.03512152362552537,-0.035300606729178174,0.0,0.0,0.0,0.006835216071867739,0.5,-0.01672879082976661,0.25,4,0,-0.04263528964301905,-0.049250171122772746,0.0,0.0,0.0,-0.014174098213677239,0.0,-0.037743403889111626,0.0,4,0,-0.08197851578456775,-0.07844682748750287,0.0,0.0,0.0,-0.03623645039937112,0.25,-0.056254910916680445,0.25,4,0,-0.09208921750857946,-0.08688113771986161,0.25,0.0,0.0,-0.0718851358759264,0.25,-0.12466673919365509,0.0,0,0,,4,1.0
ST,2,immediate,18,18,17,18,0,0.025890438674010346,0.0488898546144122,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.04274428050854225,1.0,0.010940470023678242,0.6111111111111112,18,0,0.030875428814987196,0.04420226678291195,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.06110191178355838,0.8333333333333334,0.03278132720262014,0.7777777777777778,17,1,0.05118954159501256,0.06486486486486487,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.06455843495855777,0.7647058823529411,0.03775158791684196,0.7058823529411765,15,3,0.09463826432025707,0.07027027027027022,0.8,0.8,0.7333333333333333,0.1066156492594678,0.9333333333333333,0.08243146856854881,0.7333333333333333,0,0,,18,1.0
ST,2,within_5_days,1,1,1,1,0,-0.008695652173913104,-0.008695652173913104,0.0,0.0,0.0,0.01739130434782621,1.0,-0.01304347826086949,0.0,1,0,0.039130434782608914,0.039130434782608914,1.0,1.0,1.0,0.039130434782608914,1.0,0.039130434782608914,1.0,1,0,-0.004347826086956386,-0.004347826086956386,0.0,0.0,0.0,0.052173913043478404,1.0,0.04347826086956519,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.013043478260869712,1.0,0.013043478260869712,1.0,0,0,,1,1.0
ST,3+,immediate,12,12,10,12,0,0.01653714910403481,0.026030191758465993,0.6666666666666666,0.5833333333333334,0.5,0.03323081918381659,0.75,0.013070520732900992,0.5833333333333334,12,0,-0.0024810907454150635,-0.009014224842975815,0.25,0.25,0.25,0.037326342464872354,0.8333333333333334,0.017248930880797958,0.5833333333333334,12,0,-0.020013886670937498,-0.033191999657372906,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0044142070507820945,0.4166666666666667,-0.014044249474877516,0.3333333333333333,12,0,-0.04500991814094948,-0.045030423066825254,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.027605137590336865,0.3333333333333333,-0.0556648079766859,0.16666666666666666,0,0,,12,1.0
ST,3+,within_5_days,2,2,2,2,0,0.049761931861294295,0.049761931861294295,1.0,1.0,1.0,0.049761931861294295,1.0,0.03617497533955516,1.0,2,0,0.02258801881781608,0.02258801881781608,0.5,0.5,0.5,0.07050515972380289,1.0,0.057890393808331386,1.0,2,0,-0.028046513392518457,-0.028046513392518457,0.0,0.0,0.0,0.02577964944229455,0.5,-0.0014701418924046306,0.5,2,0,0.012567341983458435,0.012567341983458435,0.5,0.5,0.5,0.026154298505197626,0.5,-0.015057098414143766,0.5,0,0,,2,1.0
ordinary,1,immediate,304,285,252,304,0,-0.010658350128733106,-0.031683324924662915,0.4243421052631579,0.3980263157894737,0.3157894736842105,0.03589853708208325,0.6282894736842105,-0.012808024411981705,0.34868421052631576,304,0,-0.016955753936234854,-0.039256492070512405,0.3519736842105263,0.34868421052631576,0.27960526315789475,0.024285887127520035,0.506578947368421,-0.022926460003310115,0.33881578947368424,304,0,-0.02019291737987399,-0.05925071022727285,0.34868421052631576,0.34210526315789475,0.3059210526315789,0.016971214237168894,0.41776315789473684,-0.024299438359675952,0.3190789473684211,304,0,-0.028764032793078136,-0.06405280113145273,0.3256578947368421,0.3026315789473684,0.2565789473684211,0.00467073500173851,0.39473684210526316,-0.03682398783178025,0.2993421052631579,0,0,,304,1.0
ordinary,1,within_5_days,25,25,25,25,0,0.022246948324054015,0.0652173913043479,0.56,0.56,0.56,0.05432923103655288,0.72,-0.0022495309242513083,0.4,25,0,0.029532193903329697,-0.009841029523088629,0.44,0.44,0.36,0.07078253290114764,0.6,0.022754176501108253,0.52,25,0,0.026990455145107877,-0.047970479704797064,0.44,0.44,0.44,0.07844500499355299,0.56,0.030130953176749367,0.48,25,0,0.0009001715441966463,-0.08045052292839905,0.4,0.4,0.4,0.05736471006532934,0.44,0.007481404059312533,0.36,0,0,,25,1.0
ordinary,2,immediate,72,70,66,72,0,-0.00857158704752649,-0.026000963451090986,0.4722222222222222,0.4305555555555556,0.4027777777777778,0.03284531639244669,0.625,-0.019725614244652346,0.3194444444444444,72,0,-0.029153904977724823,-0.03003258978420631,0.3611111111111111,0.3611111111111111,0.3194444444444444,0.023871654089073505,0.4861111111111111,-0.030580608090187693,0.3888888888888889,72,0,-0.05309836008651578,-0.09523109147700753,0.3333333333333333,0.2916666666666667,0.2777777777777778,0.0016838698179166803,0.4444444444444444,-0.0449881991180473,0.3055555555555556,72,0,-0.08285831947892112,-0.11789674923264337,0.2777777777777778,0.2361111111111111,0.18055555555555555,-0.04817186654518657,0.2916666666666667,-0.08788136526648077,0.18055555555555555,0,0,,72,1.0
ordinary,2,within_5_days,5,5,5,5,0,-0.007994487204431567,-0.060142711518858305,0.4,0.4,0.4,0.059188960084187926,0.8,-0.019232285850903242,0.4,5,0,-0.036113288099889604,-0.05606523955147813,0.2,0.2,0.2,0.038958569189480194,0.6,0.004033446537806839,0.4,5,0,-0.07293629163048301,-0.13149847094801237,0.2,0.2,0.2,-0.009764559957091135,0.4,-0.07050063901304789,0.2,5,0,-0.10760472490506232,-0.18410852713178294,0.2,0.2,0.2,-0.08172287795224438,0.2,-0.12259301133909636,0.2,0,0,,5,1.0
