year,marked_st_count,unmarked_st_candidate_count
2011,245,38
2012,196,361
2013,40,175
2014,23,94
2015,207,323
2016,61,160
2017,116,163
2018,406,278
2019,582,361
2020,615,558
2021,674,463
2022,683,344
2023,822,236
2024,1480,570
2025,832,274
