period,bucket,rows,mean_gross_return_1,positive_rate_1,mean_mfe_1,mean_mae_1,mean_gross_return_3,positive_rate_3,mean_mfe_3,mean_mae_3,mean_gross_return_5,positive_rate_5,mean_mfe_5,mean_mae_5,mean_gross_return_10,positive_rate_10,mean_mfe_10,mean_mae_10,mean_gross_return_20,positive_rate_20,mean_mfe_20,mean_mae_20
development_2012_2020,>1.5pct,8765,,,,-0.022510925073934356,0.0013340075217792083,0.47027952082144897,0.0358736053326103,-0.043210009930041184,0.002644027312528988,0.4905875641756988,0.05426518244491471,-0.05589262713085593,0.006472276594270049,0.5147746719908728,0.08790480850604186,-0.07959299953091618,0.006717294134399509,0.5103251568739304,0.13720979014936857,-0.11483014470894891
development_2012_2020,0.5-1.5pct,4047,,,,-0.01565166446889086,0.0015776310084169522,0.46281195947615517,0.023164152075201727,-0.02769235141448883,0.004025693853896182,0.4981467753891772,0.036671038388461474,-0.03510382650693303,0.006888516827178253,0.5226093402520385,0.06165718324114487,-0.05239865251389659,0.015641758727258363,0.5324932048430937,0.10107849099503245,-0.07733993315936553
development_2012_2020,above_level,203,,,,-0.03338864640873947,0.00884064708013368,0.4630541871921182,0.0573927385437383,-0.05941741836359888,0.01772830932992257,0.4827586206896552,0.09176055465905975,-0.07265926495209873,0.020785765972016805,0.4975369458128079,0.13683546567680513,-0.09426278921606604,0.010658048679090499,0.46798029556650245,0.18302703497273246,-0.137777195838524
development_2012_2020,0-0.5pct,272,,,,-0.01879126005028866,-0.0030185396122001692,0.5,0.024031158078345705,-0.035354035079938846,-0.005898053782427309,0.45588235294117646,0.03650002922660582,-0.04528584047824916,-0.009885529712034574,0.4963235294117647,0.05856683944852952,-0.07075185858257213,-0.003094507374782371,0.5,0.09549539452053074,-0.09363549971272199
validation_2021_2022,0.5-1.5pct,1055,,,,-0.014185014950608636,-0.0020533824765512202,0.43507109004739336,0.020443290901223356,-0.026179327856747373,-0.0030962167053998897,0.4218009478672986,0.030463026563396937,-0.03452635489393208,-0.0008096427057746699,0.46729857819905213,0.051999537493286195,-0.04942219737567294,0.006427900460075161,0.5165876777251185,0.08507148503878079,-0.0666659490135209
validation_2021_2022,>1.5pct,2029,,,,-0.02424757222228559,-0.0033031743611141085,0.4248398225726959,0.0330082877319015,-0.04302114972885689,-0.003267593705738174,0.44553967471660916,0.0499861416653708,-0.056208083932640596,-0.0063163722640029885,0.43863972400197143,0.0782110423100858,-0.07979362665535016,-0.0028254869857467706,0.44701823558403153,0.12045703552665357,-0.10729377783715267
validation_2021_2022,above_level,76,,,,-0.04315271707042772,-0.007257691912744281,0.39473684210526316,0.0402254884270033,-0.0672721564534921,-0.0025429670542329087,0.4473684210526316,0.07201130269852347,-0.08437597876360092,0.0060370025819822554,0.4473684210526316,0.1280778939472753,-0.11241945884407165,0.012418201293199616,0.39473684210526316,0.18925486820987059,-0.14313969489902523
validation_2021_2022,0-0.5pct,71,,,,-0.02060529247605122,-0.0010233324869431647,0.4647887323943662,0.02642652030051785,-0.03351203370688021,-0.00026079850701442135,0.4084507042253521,0.04032200106451347,-0.04220422253503064,0.0013942402533850676,0.43661971830985913,0.06479526633319208,-0.057619563033970846,0.016209801507470353,0.4788732394366197,0.11332126998437773,-0.07837204521919185
oos_2023_2025,above_level,135,,,,-0.03352691924165276,-0.006354457007863449,0.4666666666666667,0.06368835250168235,-0.05592115409242174,-0.008736021687582413,0.4,0.08499378301679851,-0.07301002522977458,-0.0038026130881096518,0.37777777777777777,0.1188864099454293,-0.09559101382378911,-0.002117443916489708,0.4148148148148148,0.15950807075771223,-0.12384459332786638
oos_2023_2025,>1.5pct,3394,,,,-0.018072184093921067,-0.00033644645839815863,0.44401885680612846,0.028092857082802947,-0.03138617581970128,-0.001979558531436691,0.4378314672952269,0.04041068524259693,-0.04062056739105738,0.0019794887022056094,0.45816146140247493,0.06553288373745508,-0.05581696271348698,-0.005510855782411528,0.427224513847967,0.09741636635541993,-0.08449065323471232
oos_2023_2025,0.5-1.5pct,4120,,,,-0.011849582797319447,0.0009577096062392404,0.4742718446601942,0.018707679888832502,-0.02029102288164343,0.0014902939050029855,0.48398058252427184,0.02807195684743836,-0.02655714088324366,0.004635803106063577,0.4987864077669903,0.04610358943870208,-0.037667852518628524,-0.0017746129055180877,0.45048543689320386,0.07124078271990347,-0.05889205138820529
oos_2023_2025,0-0.5pct,403,,,,-0.011398855515911474,0.005172492772789099,0.543424317617866,0.02365962076159295,-0.019227638001818335,0.005545452608240608,0.5359801488833746,0.03480478067571336,-0.02577680639280931,0.008516581114392062,0.5210918114143921,0.05757999786072415,-0.03863059039417702,0.0014988357502325198,0.4317617866004963,0.08491569911098958,-0.0604094441131149
