model_id,top_k,slot_count,policy_name,policy_kind,fixed_day,cost_scenario,year,starting_equity_cny,ending_equity_cny,net_return,maximum_drawdown,annualized_volatility,sharpe_zero_rate,mean_position_count,mean_capital_utilization,trading_session_count
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2020,1000000.0,781996.1900934933,-0.2180038099065067,-0.4182990070676996,0.4820876019232852,-0.28992547319635975,0.5020576131687243,0.5017532804513685,243
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2021,781996.1900934933,643308.810817279,-0.17735045391926163,-0.389472980094386,0.5417240107738834,-0.10735061217921898,0.49794238683127573,0.49714432315087687,243
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2022,643308.810817279,295614.1221803907,-0.5404786671507988,-0.5688852560077005,0.44359817125927725,-1.6028455927424754,0.5,0.49945479728956077,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2023,295614.1221803907,502891.13492539374,0.7011742579013791,-0.2164365556929686,0.4902252512643724,1.3778813625485566,0.5041322314049587,0.503842272201975,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2024,502891.13492539374,962372.929253206,0.9136804417838436,-0.44348489795886725,0.6393046576512416,1.3735522846859864,0.5,0.4997724633254048,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,2025,962372.929253206,1460697.8591624217,0.5178085488085289,-0.2643520314439035,0.4503729348685775,1.1831691159510578,0.5020576131687243,0.5019059726173489,243
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2020,1000000.0,660312.4377917454,-0.3396875622082546,-0.48452646745568184,0.4816273095649589,-0.6541885612321491,0.5020576131687243,0.5017481650483558,243
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2021,660312.4377917454,459060.045674875,-0.3047835851614581,-0.4358704150783408,0.5409608840831303,-0.43034149602161015,0.49794238683127573,0.4968929311614515,243
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2022,459060.045674875,178702.33452862006,-0.6107212199966008,-0.6305263965893126,0.4428941525540073,-1.994589805422612,0.5,0.4989645862256261,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2023,178702.33452862006,256915.29212636768,0.4376717170710571,-0.2557749668529433,0.48954707769378997,1.0206327344901147,0.5041322314049587,0.5035494760267616,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2024,256915.29212636768,415773.80795364024,0.6183303240242142,-0.4529304330342754,0.6381045602963469,1.100957364826916,0.5,0.4994478705024699,242
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,2025,415773.80795364024,532664.6789737802,0.28114053551245743,-0.3267403673042044,0.44982910725516245,0.7928816674533741,0.5020576131687243,0.5016964495634002,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2020,1000000.0,796342.4444918927,-0.20365755550810727,-0.40964810607538316,0.4274968437070332,-0.3389361624928476,0.6666666666666666,0.6663450448411393,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2021,796342.4444918927,908685.8564017138,0.14107424850561867,-0.42644443634301066,0.5675462206557611,0.5206686972833243,0.6666666666666666,0.6658099006676059,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2022,908685.8564017138,291409.8721751482,-0.6793062529562239,-0.6793062529562239,0.468581984956178,-2.2887493749368892,0.6652892561983471,0.6644431927687041,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2023,291409.8721751482,472095.66403903434,0.6200400505144423,-0.27420283833646963,0.5114712119185261,1.2422230854991927,0.6694214876033058,0.6688932935557539,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2024,472095.66403903434,1093799.0372785677,1.3169012566659135,-0.45108969406488253,0.6615393145346818,1.65057338885452,0.6652892561983471,0.6649718237558491,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,2025,1093799.0372785677,1797849.1643373591,0.64367411477204,-0.29499914239536373,0.46305524365096445,1.34180242742817,0.6666666666666666,0.6664885597543533,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2020,1000000.0,711487.5452072725,-0.28851245479272747,-0.43194475870674176,0.4268253086181168,-0.6134742150448201,0.6666666666666666,0.6663145768202748,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2021,711487.5452072725,723586.104355324,0.01700459724073844,-0.43469294323025465,0.5670235659713312,0.3101944459252756,0.6666666666666666,0.6653814867694197,243
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2022,723586.104355324,207222.2512711705,-0.713617702131256,-0.713617702131256,0.4682004166200471,-2.5413232501310197,0.6652892561983471,0.6643235892187068,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2023,207222.2512711705,300168.4446561057,0.4485338462195647,-0.2832577385100796,0.5112201210194645,1.0143697504255953,0.6694214876033058,0.668723084129454,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2024,300168.4446561057,621929.469324958,1.0719348765573429,-0.456899509603671,0.6606747179441952,1.4753209611283065,0.6652892561983471,0.6646832754661964,242
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,2025,621929.469324958,913848.5308578056,0.46937647423219286,-0.32300454316589666,0.46309695990259925,1.090358244230997,0.6666666666666666,0.6663592648654318,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2020,1000000.0,1008118.8328146943,0.008118832814694166,-0.35894057407763746,0.492025966449064,0.26025980710234836,0.7489711934156379,0.7486180543318672,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2021,1008118.8328146943,770787.7314709437,-0.23541976760925687,-0.4239791083818495,0.5221617120901005,-0.273737816103714,0.7489711934156379,0.7475101363451123,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2022,770787.7314709437,190640.68414472355,-0.7526677237312642,-0.7526677237312642,0.46638770318978623,-2.8774028305585713,0.7520661157024794,0.7505628191416117,242
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2023,190640.68414472355,513539.68603144796,1.6937570452779003,-0.25149072217224566,0.48764203881252544,2.3667170494540795,0.7520661157024794,0.7513953624180666,242
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2024,513539.68603144796,1794720.8694442497,2.4948046241831157,-0.47260513837454143,0.6565162716747122,2.3140736978450156,0.7479338842975206,0.7475933410469521,242
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,2025,1794720.8694442497,2819855.2607334107,0.5711943337498508,-0.3277130304310557,0.48881275766041926,1.2000203906625502,0.7489711934156379,0.7488668123936537,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,double_slippage,2020,1000000.0,926261.2617895772,-0.07373873821042276,-0.36695323221059084,0.4914868034673902,0.08140039827204167,0.7489711934156379,0.7486749948969633,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,double_slippage,2021,926261.2617895772,650340.961538318,-0.29788604104868766,-0.44015199609494915,0.521919906091628,-0.44315326986296194,0.7489711934156379,0.7475454629767001,243
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,double_slippage,2022,650340.961538318,148004.19289441334,-0.7724206198786496,-0.7724206198786496,0.4659001077750598,-3.0657032235434434,0.7520661157024794,0.7500195029754271,242
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,double_slippage,2023,148004.19289441334,366545.70925254305,1.4765900349460903,-0.25461240836835874,0.4878249982054552,2.185948597347932,0.7520661157024794,0.7513385912708902,242
