model_id,top_k,slot_count,policy_name,policy_kind,fixed_day,cost_scenario,schema_version,profile,policy,policy_spec,starting_cash_cny,signal_period_ending_equity_cny,signal_period_total_return,signal_period_cagr_trading_days,signal_period_maximum_drawdown,signal_period_annualized_volatility,signal_period_sharpe_zero_rate,liquidated_ending_equity_cny,liquidated_total_return,liquidation_tail_return_effect,full_path_maximum_drawdown,mean_signal_position_count,maximum_position_count,mean_signal_capital_utilization,mean_slot_fill_ratio,closed_trade_count,winning_trade_rate,mean_occupied_sessions,median_occupied_sessions,signal_session_count,daily_selection_count,equity_path_session_count,portfolio_contract,allow_pyramiding,buy_count,sell_count,failed_entry_count,skipped_duplicate_signal_count,skipped_no_slot_signal_count,skipped_duplicate_pending_count,terminal_recovery_count,deferred_exit_count,stop_take_profit_count,stop_loss_count,stop_time_exit_count,stop_ambiguous_count,rolling_forecast_observation_count,rolling_missing_forecast_count,rolling_acceleration_count,rolling_nonpositive_exit_request_count,fees_and_slippage_cny,turnover_notional_cny,turnover_to_starting_cash,payoff_ratio,profit_factor,mean_trade_expectancy,annualized_log_growth,worst_calendar_year_return,net_pnl_per_deployed_capital_session
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,base,1,structured_joint_turnover_180x35_v2_top1,fixed_d2,"{'name': 'fixed_d2', 'kind': 'fixed', 'fixed_day': 2, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,1460697.8591624217,0.46069785916242156,0.06782769738099807,-0.7424038594519158,0.5125159917455739,0.38257929742503205,1468636.2498086242,0.46863624980862406,0.0054346561791733805,-0.7424038594519158,0.5010309278350515,1,0.5006447394935127,0.5010309278350515,724,0.47790055248618785,2.0082872928176796,2.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,724,724,2,286,443,0,0,6,0,0,0,0,0,0,0,0,1562906.5811294748,1129765342.7778876,1129.7653427778876,1.1982297270377502,1.0493303544815922,0.0016484330279307523,0.06562639548232561,-0.5404786671507988,0.00041346662903250385
structured_joint_turnover_180x35_v2,1,1,fixed_d2,fixed,2.0,double_slippage,1,structured_joint_turnover_180x35_v2_top1,fixed_d2,"{'name': 'fixed_d2', 'kind': 'fixed', 'fixed_day': 2, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,532664.6789737802,-0.4673353210262198,-0.10335001935694124,-0.8607845016010996,0.5117689133468971,0.04120292387593915,534807.4865875785,-0.4651925134124214,0.004022807778294224,-0.8607845016010996,0.5010309278350515,1,0.5003826882127593,0.5010309278350515,724,0.4654696132596685,2.0082872928176796,2.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,724,724,2,286,443,0,0,6,0,0,0,0,0,0,0,0,1429916.349876111,674535310.9503051,674.5353109503051,1.164357898881868,0.9236933121025572,0.00024710477816474396,-0.10908970417577218,-0.6107212199966008,-0.000686711263655827
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,base,1,structured_joint_turnover_180x35_v2_top1,fixed_d3,"{'name': 'fixed_d3', 'kind': 'fixed', 'fixed_day': 3, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,1797849.1643373591,0.7978491643373591,0.10693523771036549,-0.7569918430671126,0.5233777764991372,0.4544178950352224,1806388.8383164478,0.8063888383164477,0.004749939065236353,-0.7569918430671126,0.6666666666666666,1,0.6661587510779156,0.6666666666666666,483,0.4906832298136646,3.008281573498965,3.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,483,483,2,358,612,0,0,4,0,0,0,0,0,0,0,0,1082707.9850897682,783996849.616669,783.996849616669,1.195570730599568,1.100210747022217,0.003240294589831932,0.10159514949516563,-0.6793062529562239,0.0006845900517081506
structured_joint_turnover_180x35_v2,1,1,fixed_d3,fixed,3.0,double_slippage,1,structured_joint_turnover_180x35_v2_top1,fixed_d3,"{'name': 'fixed_d3', 'kind': 'fixed', 'fixed_day': 3, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,913848.5308578056,-0.0861514691421944,-0.015482192417370833,-0.8390611120050783,0.5229205250525174,0.23032371044427394,917545.8176671226,-0.08245418233287738,0.004045842045449666,-0.8390611120050783,0.6666666666666666,1,0.6659643246925568,0.6666666666666666,483,0.474120082815735,3.008281573498965,3.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,483,483,2,358,612,0,0,4,0,0,0,0,0,0,0,0,1148708.4096969406,545625298.1672357,545.6252981672358,1.2016272751395147,0.9861303450459518,0.0018367392906313625,-0.015603293120752846,-0.713617702131256,-0.00010049695389349925
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,base,1,structured_joint_turnover_180x35_v2_top1,fixed_d4,"{'name': 'fixed_d4', 'kind': 'fixed', 'fixed_day': 4, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,2819855.2607334107,1.8198552607334109,0.19667833393779474,-0.8354840010473642,0.5251629859059391,0.6034604766374756,2830567.5463351714,1.8305675463351716,0.0037988778186348604,-0.8354840010473642,0.7498281786941581,1,0.7490895217986039,0.7498281786941581,363,0.48760330578512395,4.011019283746556,4.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,363,363,1,360,731,0,0,3,0,0,0,0,0,0,0,0,1096559.5037069842,813975887.4295273,813.9758874295272,1.304127764575085,1.1988884307469099,0.005793592460930091,0.1795496635932909,-0.7526677237312642,0.0011256931476329001
structured_joint_turnover_180x35_v2,1,1,fixed_d4,fixed,4.0,double_slippage,1,structured_joint_turnover_180x35_v2_top1,fixed_d4,"{'name': 'fixed_d4', 'kind': 'fixed', 'fixed_day': 4, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,1697564.0423293023,0.6975640423293024,0.09598584331481107,-0.8653988183894356,0.5248882398398036,0.4360507019034873,1702820.804906786,0.7028208049067859,0.0030966505218092966,-0.8653988183894356,0.7498281786941581,1,0.7489850276716152,0.7498281786941581,363,0.47107438016528924,4.011019283746556,4.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,363,363,1,360,731,0,0,3,0,0,0,0,0,0,0,0,1224332.6521149275,592570676.2424864,592.5706762424863,1.3219461621167508,1.0992612497222198,0.004386465041693312,0.09165427175883617,-0.7724206198786496,0.000592942167728035
structured_joint_turnover_180x35_v2,1,1,fixed_d5,fixed,5.0,base,1,structured_joint_turnover_180x35_v2_top1,fixed_d5,"{'name': 'fixed_d5', 'kind': 'fixed', 'fixed_day': 5, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,12422699.885819536,11.422699885819537,0.5470832988395975,-0.5754317481871067,0.5322269733208655,1.085317180960113,12770363.53282446,11.77036353282446,0.027986158419699203,-0.5754317481871067,0.8,1,0.7996579509443268,0.8,291,0.5189003436426117,5.013745704467354,5.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,291,291,0,353,811,0,0,3,0,0,0,0,0,0,0,0,2842429.82298619,2175530909.9392557,2175.5309099392557,1.3971014958965686,1.4733826218667156,0.012354607675884026,0.43637141554506487,-0.4435809218865766,0.0021699249369391896
structured_joint_turnover_180x35_v2,1,1,fixed_d5,fixed,5.0,double_slippage,1,structured_joint_turnover_180x35_v2_top1,fixed_d5,"{'name': 'fixed_d5', 'kind': 'fixed', 'fixed_day': 5, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,8272171.64443459,7.272171644434589,0.44187602255708647,-0.6109187642944262,0.532173689754483,0.9528965437136789,8491792.50988637,7.49179250988637,0.0265493603000293,-0.6109187642944262,0.8,1,0.7995915810973054,0.8,291,0.5120274914089347,5.013745704467354,5.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,291,291,0,353,811,0,0,3,0,0,0,0,0,0,0,0,3210830.1444920306,1594221239.6981912,1594.221239698191,1.3696654596734845,1.3958726114539088,0.010938301251654375,0.36594505913129854,-0.47998981454859835,0.001883420452032191
structured_joint_turnover_180x35_v2,1,1,fixed_d6,fixed,6.0,base,1,structured_joint_turnover_180x35_v2_top1,fixed_d6,"{'name': 'fixed_d6', 'kind': 'fixed', 'fixed_day': 6, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,2967118.8412127164,1.9671188412127165,0.20727571337341139,-0.6732306595080985,0.5254597195084858,0.6199404740944114,3110446.7029782967,2.1104467029782965,0.048305399761810586,-0.6732306595080985,0.8336769759450172,1,0.8329983251098972,0.8336769759450172,242,0.512396694214876,6.012396694214876,6.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,242,242,0,344,869,0,0,3,0,0,0,0,0,0,0,0,714299.1133538072,530350527.9299265,530.3505279299266,1.2449717935540299,1.301413726733925,0.008889795099138655,0.1883663446736298,-0.3413295980827675,0.00132833583966195
structured_joint_turnover_180x35_v2,1,1,fixed_d6,fixed,6.0,double_slippage,1,structured_joint_turnover_180x35_v2_top1,fixed_d6,"{'name': 'fixed_d6', 'kind': 'fixed', 'fixed_day': 6, 'stop_mode': None, 'take_profit': None, 'stop_loss': None}",1000000.0,2109130.8702633893,1.1091308702633893,0.13797676443322873,-0.7267739880980685,0.5251576007633673,0.5074215720066926,2209444.5748809725,1.2094445748809726,0.04756163120643908,-0.7267739880980685,0.8336769759450172,1,0.8328757817160335,0.8336769759450172,242,0.5082644628099173,6.012396694214876,6.0,1455,1,1535,continuous_1m_daily_top1_equal_slot_target_no_pyramiding_no_top2_next_open_entry_close_exit_entries_before_same_day_exits,False,242,242,0,344,869,0,0,3,0,0,0,0,0,0,0,0,875369.5673998463,425346266.4451264,425.3462664451264,1.2128884930325137,1.2044428805545664,0.007478336024122419,0.12925191759870402,-0.37766617918909573,0.0009481890178524622
