event,period,horizon,rows,dates,symbols,mean_gross_return,median_gross_return,mean_net_return,positive_rate,net_positive_rate,mean_mfe,median_mfe,mean_mae,median_mae,hac_se_gross_date_mean,hac_lcb_gross_date_mean,hac_se_net_date_mean,hac_lcb_net_date_mean,cost_bps_round_trip
participation_shock,development_2012_2020,1,0,0,3071,,,,,,,,,,,,,,60.0
participation_shock,development_2012_2020,3,661681,2187,3071,0.003645156323530845,-0.0006172839506171091,-0.0023548436764691573,0.48502526141751084,0.4320284245731705,0.03807973932697576,0.025641025641025772,-0.03849737377972827,-0.02796052631578949,0.0010923588715339011,0.00023689040845334408,0.0010923588715339011,-0.005763109591546656,60.0
participation_shock,development_2012_2020,5,661552,2187,3071,0.003560105331225191,-0.0018674136321196189,-0.002439894668774812,0.479799018066607,0.43883625172322055,0.0549988816804937,0.03734439834024883,-0.0498475250873971,-0.03647416413373861,0.0018926168530555318,-0.002634471505674127,0.0018926168530555318,-0.008634471505674127,60.0
participation_shock,development_2012_2020,10,661233,2187,3071,0.0061526344011011026,-0.0020029133284777956,0.00015263440110109907,0.48491681449655416,0.45592552095857286,0.08484221652719413,0.05778191985088532,-0.06913407804172605,-0.05193236714975846,0.003654235296506969,-0.005845678001175264,0.003654235296506969,-0.011845678001175267,60.0
participation_shock,development_2012_2020,20,660350,2187,3071,0.007874086026085305,-0.006040637012630357,0.0018740860260852987,0.4756795638676459,0.4568910426289089,0.12643795065091476,0.0858369098712446,-0.09640310059661136,-0.0737077887120019,0.0060531614696321175,-0.010859678848470314,0.0060531614696321175,-0.016859678848470318,60.0
participation_shock,validation_2021_2022,1,0,0,3220,,,,,,,,,,,,,,60.0
participation_shock,validation_2021_2022,3,184187,485,3220,0.002044880165828894,-0.0031152647975076775,-0.00395511983417111,0.46470706401646156,0.4183248546314344,0.041291288405439955,0.0272020725388602,-0.04233598006798396,-0.03194888178913746,0.0015691044385886246,-0.0010591215035480298,0.0015691044385886246,-0.007059121503548031,60.0
participation_shock,validation_2021_2022,5,184174,485,3220,0.00217487227463539,-0.00468896575984995,-0.003825127725364615,0.4597554486518184,0.422111698719689,0.060055850760433384,0.03960396039603964,-0.05387433066687773,-0.04091763844134427,0.0026272133991502296,-0.00330413722812661,0.0026272133991502296,-0.00930413722812661,60.0
participation_shock,validation_2021_2022,10,184127,485,3220,0.003566400526609948,-0.006460875807609456,-0.0024335994733900553,0.46224073601372967,0.4352430659273219,0.09248907085607487,0.061208267090619994,-0.0735637880202912,-0.057432432432432456,0.00471785507716733,-0.006120287219340173,0.00471785507716733,-0.012120287219340175,60.0
participation_shock,validation_2021_2022,20,183991,485,3220,0.004514391607779998,-0.013363028953229494,-0.001485608392220008,0.4490328331277073,0.43080911566326613,0.1358131202538537,0.09031413612565453,-0.0989824566881953,-0.08108108108108114,0.007194056187210946,-0.009174111418060606,0.007194056187210946,-0.015174111418060608,60.0
participation_shock,oos_2023_2025,1,0,0,3283,,,,,,,,,,,,,,60.0
participation_shock,oos_2023_2025,3,274189,722,3283,0.0010393855418318059,-0.004705882352941115,-0.004960614458168197,0.4485190871989759,0.4005193497915671,0.03911373787531323,0.023611111111111027,-0.04111451629102474,-0.029982363315696592,0.0015209518185335558,-0.0025512837459760592,0.0015209518185335558,-0.00855128374597606,60.0
participation_shock,oos_2023_2025,5,273342,720,3283,-1.052081232005902e-05,-0.007223942208462342,-0.006010520812320063,0.43895925251150575,0.4003885242663037,0.05722790759693249,0.034037248999715164,-0.05217593968298796,-0.038548752834467126,0.0026061517785061637,-0.005702552837082992,0.0026061517785061637,-0.011702552837082993,60.0
participation_shock,oos_2023_2025,10,271546,715,3283,0.0006106528694272447,-0.008667454688731258,-0.00538934713057276,0.4473569855567749,0.4179623341901556,0.08641683700103198,0.05242359858299395,-0.07048393370839116,-0.0535191246654767,0.0049404386002322755,-0.011383835150580215,0.0049404386002322755,-0.01738383515058022,60.0
participation_shock,oos_2023_2025,20,268030,705,3283,0.008307691112163812,-0.00987654320987652,0.002307691112163809,0.45853449240756633,0.4381748311756147,0.12934849180102784,0.08036634530194131,-0.094199998132854,-0.0734942615411861,0.008117542536092917,-0.016772142494254703,0.008117542536092917,-0.022772142494254702,60.0
positive_participation_shock,development_2012_2020,1,0,0,3053,,,,,,,,,,,,,,60.0
positive_participation_shock,development_2012_2020,3,223165,2187,3053,0.0008782858070797163,-0.0024896265560166997,-0.005121714192920287,0.47051284923711156,0.42199717697667644,0.03887116104824164,0.026761332605133914,-0.042924420554180574,-0.031192660550458662,0.0010746515533480963,-0.002277868603172941,0.0010746515533480963,-0.008277868603172943,60.0
positive_participation_shock,development_2012_2020,5,223118,2187,3053,-0.0004153395278981661,-0.0044696304858122815,-0.00641533952789817,0.46139710825661756,0.4225432282469366,0.05600618358313085,0.0390625,-0.05517902700163105,-0.040659340659340626,0.0019258687970121937,-0.008006147248993562,0.0019258687970121937,-0.014006147248993562,60.0
positive_participation_shock,development_2012_2020,10,223009,2187,3053,0.0017701701927053315,-0.004882017900732172,-0.004229829807294674,0.4714204359465313,0.44530489800860057,0.086573846195642,0.060842433697347875,-0.07569859096507423,-0.057665260196905765,0.003718571282536631,-0.01262676755716742,0.0037185712825366308,-0.018626767557167422,60.0
positive_participation_shock,development_2012_2020,20,222732,2187,3053,0.004362514157578688,-0.007893253426689506,-0.0016374858424213165,0.471943860783363,0.45451484295027206,0.12939775478335094,0.0905892666827105,-0.10379250439741435,-0.07977528089887653,0.006053238788673758,-0.019595907691402563,0.006053238788673758,-0.025595907691402565,60.0
positive_participation_shock,validation_2021_2022,1,0,0,3212,,,,,,,,,,,,,,60.0
positive_participation_shock,validation_2021_2022,3,63677,485,3212,-0.001048275459537843,-0.006472491909385147,-0.007048275459537846,0.4409441399563422,0.39880961728724657,0.04243209678724147,0.027397260273972712,-0.04842480603001468,-0.036619718309859106,0.0017051119393188062,-0.004588212404840801,0.0017051119393188066,-0.010588212404840803,60.0
positive_participation_shock,validation_2021_2022,5,63673,485,3212,-0.0025123220190782503,-0.009615384615384581,-0.008512322019078256,0.42966406483124714,0.3960234322240196,0.06207465555993308,0.04035874439461873,-0.061226888980684006,-0.04654895666131631,0.002801584379270874,-0.008647950758565188,0.0028015843792708744,-0.01464795075856519,60.0
positive_participation_shock,validation_2021_2022,10,63657,485,3212,-0.0022265057668854637,-0.012779552715655007,-0.008226505766885467,0.43539595017044475,0.41173790784988296,0.09540011409256761,0.06296296296296289,-0.08254915461867028,-0.06504065040650409,0.0049953474657208055,-0.01306801780619017,0.0049953474657208055,-0.019068017806190173,60.0
