rank,symbol,name,day,open_return,high_return,low_return,close_return
1,603360.SH,百傲化学,1,0.0,0.2612610161304474,-5.206220521358773e-05,0.2588740587234497
1,603360.SH,百傲化学,2,0.28371062874794,0.3220826089382171,0.2311517894268036,0.3214606642723083
1,603360.SH,百傲化学,3,0.1111387982964515,0.3381393551826477,0.1102012246847152,0.3306762278079986
1,603360.SH,百傲化学,4,0.3659930229187011,0.3727677166461944,0.3446018099784851,0.3722020983695984
1,603360.SH,百傲化学,5,0.3810698091983795,0.3963338136672973,0.3549857437610626,0.3883053064346313
1,603360.SH,百傲化学,6,0.4061771035194397,0.4187586307525635,0.3807815313339233,0.4150431454181671
1,603360.SH,百傲化学,7,0.4231022000312805,0.4353533685207367,0.3915188014507293,0.4339922666549682
1,603360.SH,百傲化学,8,0.4593355059623718,0.4640935659408569,0.4191979765892029,0.4582448005676269
1,603360.SH,百傲化学,9,0.4485115706920624,0.4828688502311706,0.4379155933856964,0.4795543551445007
1,603360.SH,百傲化学,10,0.4746749699115753,0.4891903698444366,0.4449253678321838,0.4861918985843658
1,603360.SH,百傲化学,11,0.4883591532707214,0.50553297996521,0.4453216195106506,0.502167820930481
1,603360.SH,百傲化学,12,0.5207644701004028,0.5244888067245483,0.4872903525829315,0.5144952535629272
1,603360.SH,百傲化学,13,0.5246079564094543,0.5344738364219666,0.5044255256652832,0.525239109992981
1,603360.SH,百傲化学,14,0.5336918234825134,0.544025719165802,0.4991778135299682,0.5283015966415405
1,603360.SH,百傲化学,15,0.5323528051376343,0.5446063280105591,0.4932914078235626,0.5312951803207397
1,603360.SH,百傲化学,16,0.5327211618423462,0.5454349517822266,0.5005142688751221,0.5346518158912659
1,603360.SH,百傲化学,17,0.538414716720581,0.5501237511634827,0.5058866143226624,0.5353544354438782
1,603360.SH,百傲化学,18,0.5424392223358154,0.5596033334732056,0.5070285201072693,0.5360923409461975
1,603360.SH,百傲化学,19,0.5398058891296387,0.558978259563446,0.5065515637397766,0.53701251745224
1,603360.SH,百傲化学,20,0.5296609401702881,0.553327202796936,0.4981381893157959,0.5367019176483154
1,603360.SH,百傲化学,21,0.5332823991775513,0.5498389005661011,0.5020747184753418,0.5351991057395935
1,603360.SH,百傲化学,22,0.5302616953849792,0.5534819960594177,0.5013081431388855,0.5346224904060364
1,603360.SH,百傲化学,23,0.5333321690559387,0.5536792278289795,0.5027815699577332,0.5341805219650269
1,603360.SH,百傲化学,24,0.5287157297134399,0.5524682998657227,0.4982571005821228,0.5334463119506836
1,603360.SH,百傲化学,25,0.5269268751144409,0.5494059324264526,0.497516006231308,0.5320346355438232
1,603360.SH,百傲化学,26,0.5257015228271484,0.5482667684555054,0.4954646825790405,0.530352771282196
1,603360.SH,百傲化学,27,0.5271512269973755,0.5481727123260498,0.4964522123336792,0.5291332006454468
1,603360.SH,百傲化学,28,0.5258556604385376,0.5480954647064209,0.4961494207382202,0.5284509062767029
1,603360.SH,百傲化学,29,0.5223067402839661,0.5464416146278381,0.4929848909378052,0.5272825956344604
1,603360.SH,百傲化学,30,0.525143027305603,0.5439475774765015,0.4937133491039276,0.5251691937446594
1,603360.SH,百傲化学,31,0.512566089630127,0.5410470366477966,0.482321947813034,0.5217780470848083
1,603360.SH,百傲化学,32,0.5364468097686768,0.5555416345596313,0.4892448782920837,0.5211521983146667
1,603360.SH,百傲化学,33,0.5180277824401855,0.5408649444580078,0.4911001324653625,0.5206909775733948
1,603360.SH,百傲化学,34,0.5142776370048523,0.538672924041748,0.4832923710346222,0.5177358388900757
1,603360.SH,百傲化学,35,0.518170177936554,0.5366538763046265,0.4845726490020752,0.515138566493988
1,603360.SH,百傲化学,36,0.5089443325996399,0.5337679386138916,0.4804960191249847,0.5135387182235718
