candidate_id,trade_date,date_idx,symbol_idx,symbol,name,compact_symbol_idx,variant,score,predicted_exit_day,predicted_best_exit_close_return,predicted_pre_exit_max_drawdown,predicted_max_return,predicted_min_return,predicted_final_return,predicted_peak_day,predicted_trough_day,predicted_drawdown_after_peak,predicted_next_open_vs_signal_close,predicted_close_return_d2,predicted_high_return_d2,predicted_low_return_d2,predicted_close_return_d3,predicted_high_return_d3,predicted_low_return_d3,predicted_close_return_d5,predicted_high_return_d5,predicted_low_return_d5,predicted_close_return_d7,predicted_high_return_d7,predicted_low_return_d7,predicted_close_return_d10,predicted_high_return_d10,predicted_low_return_d10,predicted_close_return_d14,predicted_high_return_d14,predicted_low_return_d14,predicted_close_return_d16,predicted_high_return_d16,predicted_low_return_d16,predicted_close_return_d20,predicted_high_return_d20,predicted_low_return_d20,predicted_close_return_d30,predicted_high_return_d30,predicted_low_return_d30,predicted_close_return_d40,predicted_high_return_d40,predicted_low_return_d40,predicted_close_return_d50,predicted_high_return_d50,predicted_low_return_d50,predicted_close_return_d60,predicted_high_return_d60,predicted_low_return_d60,log_turnover_pct,relative_turnover_20,turnover_valid,rank,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_amount,signal_raw_close_change_1d
2604,2026-07-21,189,2623,603360.SH,百傲化学,2628,qdp_strict_carry_forward,0.5124720335006714,19,0.53701251745224,5.206220521358773e-05,0.5596033334732056,-5.206220521358773e-05,0.41724228858947754,18,1,-0.2069811373949051,-0.20488525927066803,0.32146066427230835,0.32208260893821716,0.2311517894268036,0.33067622780799866,0.3381393551826477,0.11020122468471527,0.38830530643463135,0.39633381366729736,0.3549857437610626,0.43399226665496826,0.4353533685207367,0.39151880145072937,0.48619189858436584,0.48919036984443665,0.44492536783218384,0.5283015966415405,0.544025719165802,0.49917781352996826,0.5346518158912659,0.5454349517822266,0.5005142688751221,0.5367019176483154,0.553327202796936,0.4981381893157959,0.5251691937446594,0.5439475774765015,0.4937133491039276,0.501116931438446,0.5232552289962769,0.43549907207489014,0.4859447777271271,0.5052991509437561,0.4563383460044861,0.41724228858947754,0.44182509183883667,0.2367948591709137,1.305454969406128,0.1733473539352417,True,1,11.7,12.29,11.18,12.26,18992947.0,224746976.45,0.05236051502145922
2426,2026-07-21,189,2440,603121.SH,华培动力,2445,qdp_strict_carry_forward,0.5097880363464355,20,0.534903347492218,3.5495682823238894e-05,0.5549638867378235,-3.5495682823238894e-05,0.39802613854408264,19,1,-0.22622133791446686,-0.2090928852558136,0.3209846317768097,0.32347968220710754,0.23866218328475952,0.32342731952667236,0.32715290784835815,0.07949092239141464,0.38004183769226074,0.3958793878555298,0.3432157635688782,0.41901054978370667,0.4205480217933655,0.35536789894104004,0.4790322780609131,0.48083314299583435,0.44956961274147034,0.5225973129272461,0.5358633399009705,0.4913865029811859,0.5310053825378418,0.541068434715271,0.4950167238712311,0.534903347492218,0.5524053573608398,0.4962223172187805,0.5238043069839478,0.5427066087722778,0.4914856255054474,0.4974961280822754,0.5231865644454956,0.4058699607849121,0.4887182414531708,0.5096098184585571,0.4584176242351532,0.39802613854408264,0.41303783655166626,0.20319786667823792,1.316749930381775,0.0430527925491333,True,2,10.28,10.35,9.5,10.22,9246286.0,92374379.68,0.0
1957,2026-07-21,189,1966,600791.SH,京能置业,1971,qdp_strict_carry_forward,0.5059628486633301,19,0.5304896235466003,2.921833765867632e-05,0.5520535111427307,-2.921833765867632e-05,0.39272719621658325,18,1,-0.22599127888679504,-0.20900015532970428,0.3254408836364746,0.3329322338104248,0.25565773248672485,0.32841670513153076,0.3315463364124298,0.08497227728366852,0.38363975286483765,0.40702977776527405,0.34349414706230164,0.42071035504341125,0.42219090461730957,0.35791948437690735,0.48049691319465637,0.48335906863212585,0.4275985360145569,0.522382378578186,0.5337295532226562,0.4947243630886078,0.5261995196342468,0.5362310409545898,0.4895123839378357,0.5302503108978271,0.5478635430335999,0.49338477849960327,0.5160281658172607,0.5347289443016052,0.48342493176460266,0.4898429214954376,0.5142090320587158,0.40517985820770264,0.47881755232810974,0.4993882179260254,0.44882509112358093,0.39272719621658325,0.40927621722221375,0.20130294561386108,1.878204584121704,0.02037358283996582,True,3,6.1,6.4,5.62,6.36,25066090.0,150750850.4,0.019230769230769162
2402,2026-07-21,189,2416,603095.SH,越剑智能,2421,qdp_strict_carry_forward,0.5047712326049805,19,0.5293110013008118,5.084729491500184e-05,0.5534704923629761,-5.084729491500184e-05,0.4000445306301117,19,1,-0.22073571383953094,-0.20581525564193726,0.3134540915489197,0.3305489122867584,0.2396681010723114,0.3157111704349518,0.32060232758522034,0.07453106343746185,0.37462911009788513,0.38587456941604614,0.32463669776916504,0.41662561893463135,0.41779887676239014,0.36506348848342896,0.47606000304222107,0.47801777720451355,0.4424165189266205,0.5198366641998291,0.5328736901283264,0.49248674511909485,0.5249728560447693,0.535150408744812,0.49205732345581055,0.5288445949554443,0.5473195910453796,0.49021345376968384,0.5163606405258179,0.5347878336906433,0.4836810529232025,0.491681843996048,0.5145525932312012,0.41578519344329834,0.47825905680656433,0.49813032150268555,0.44854286313056946,0.4000445306301117,0.41979342699050903,0.21056407690048218,1.3288320302963257,0.3560745120048523,True,4,11.4,11.64,10.63,11.59,7171180.0,80428241.8,0.009581881533101022
2486,2026-07-21,189,2500,603200.SH,上海洗霸,2505,qdp_strict_carry_forward,0.5034900307655334,19,0.5280320048332214,5.456107828649692e-05,0.5489122271537781,-5.456107828649692e-05,0.41321611404418945,19,1,-0.20245632529258728,-0.2049775868654251,0.31959107518196106,0.3234449625015259,0.24105304479599,0.3249405324459076,0.3307754099369049,0.08509575575590134,0.3810097277164459,0.3994167149066925,0.34625717997550964,0.42118632793426514,0.4222213625907898,0.3768851161003113,0.4749014675617218,0.48682108521461487,0.44864463806152344,0.5177751779556274,0.5324748158454895,0.48900654911994934,0.5247834920883179,0.5347675085067749,0.4904136061668396,0.5286089181900024,0.5458118319511414,0.49019962549209595,0.5186499953269958,0.5374181270599365,0.48718512058258057,0.4946926534175873,0.5166547298431396,0.42956650257110596,0.4794616401195526,0.49852967262268066,0.4500890374183655,0.41321611404418945,0.43873727321624756,0.2353251427412033,1.302381992340088,0.17636871337890625,True,5,32.45,33.2,30.85,33.07,4699440.0,151302865.8,0.018478595626732375
1345,2026-07-21,189,1354,002988.SZ,豪美新材,1359,qdp_strict_carry_forward,0.49373534321784973,16,0.5164366960525513,7.573061884613708e-05,0.5408253073692322,-7.573061884613708e-05,0.39445167779922485,19,1,-0.2147258073091507,-0.2054615169763565,0.321664959192276,0.32220974564552307,0.22399233281612396,0.3287685513496399,0.3341659903526306,0.10007013380527496,0.38312822580337524,0.4058101773262024,0.34722259640693665,0.42335936427116394,0.4287059009075165,0.38485217094421387,0.4747717082500458,0.4775249660015106,0.43708333373069763,0.5112108588218689,0.5268908143043518,0.48210272192955017,0.5164366960525513,0.5285398960113525,0.48239174485206604,0.5179758667945862,0.5362852215766907,0.48075640201568604,0.505900502204895,0.5245110988616943,0.47464388608932495,0.48158103227615356,0.5035529732704163,0.4131353199481964,0.4667392373085022,0.48604556918144226,0.4374634623527527,0.39445167779922485,0.41599032282829285,0.2099703550338745,1.0535075664520264,0.044130921363830566,True,6,18.86,19.25,18.18,19.05,4665579.0,87903142.41,-0.0031397174254316207
2786,2026-07-21,189,2808,603778.SH,国晟科技,2815,qdp_strict_carry_forward,0.48937252163887024,19,0.5139048099517822,3.839596683974378e-05,0.53606778383255,-3.839596683974378e-05,0.38111284375190735,18,1,-0.2250705510377884,-0.2094569057226181,0.3180559575557709,0.3205942213535309,0.22751539945602417,0.32600292563438416,0.3315789997577667,0.10775329917669296,0.378130704164505,0.3968011736869812,0.3510122001171112,0.4149598777294159,0.4162718951702118,0.36681222915649414,0.4661090075969696,0.4694061279296875,0.40006935596466064,0.5053337216377258,0.5179315805435181,0.47649359703063965,0.510513424873352,0.521086573600769,0.47450852394104004,0.5135295391082764,0.5299966931343079,0.4775126576423645,0.500054657459259,0.5185238718986511,0.46751177310943604,0.47417137026786804,0.498504102230072,0.38788342475891113,0.46413716673851013,0.48448309302330017,0.4346001148223877,0.38111284375190735,0.3974931836128235,0.1903441697359085,2.7175450325012207,0.2872195243835449,True,7,8.42,8.6,7.56,8.57,90919928.0,738513805.57,0.020238095238095166
846,2026-07-21,189,855,002394.SZ,联发股份,860,qdp_strict_carry_forward,0.4829733967781067,16,0.5056542158126831,4.1526076529407874e-05,0.5280979871749878,-4.1526076529407874e-05,0.3774518072605133,19,1,-0.2212725430727005,-0.2069666087627411,0.32303789258003235,0.3326697051525116,0.24635890126228333,0.32659611105918884,0.32993414998054504,0.09528237581253052,0.37344858050346375,0.4062175452709198,0.32539060711860657,0.41313591599464417,0.41428375244140625,0.3765697777271271,0.4653564691543579,0.4673849642276764,0.4392843246459961,0.5003336668014526,0.512779951095581,0.47102001309394836,0.5056542158126831,0.5174229145050049,0.47530779242515564,0.5071824789047241,0.5254981517791748,0.4709193706512451,0.4948047697544098,0.5146772861480713,0.46410930156707764,0.4695505201816559,0.4935847520828247,0.3883272409439087,0.458088755607605,0.4782082140445709,0.42862147092819214,0.3774518072605133,0.39596524834632874,0.18997186422348022,1.3173365592956543,0.15357637405395508,True,8,7.99,8.1,7.6,7.97,8832405.0,69251673.9,-0.01726263871763256
2988,2026-07-21,189,3010,605365.SH,立达信,3017,qdp_strict_carry_forward,0.4826773405075073,16,0.5053514838218689,3.0379402232938446e-05,0.5280668139457703,-3.0379402232938446e-05,0.3716204762458801,18,1,-0.2283468395471573,-0.2068580687046051,0.31734955310821533,0.31884509325027466,0.25431546568870544,0.31840503215789795,0.3234208822250366,0.0868687629699707,0.3643980026245117,0.3832716643810272,0.3229603171348572,0.4075443148612976,0.4086831510066986,0.358205646276474,0.4579094350337982,0.4629649519920349,0.42834100127220154,0.49812230467796326,0.5110213160514832,0.46735870838165283,0.5053514838218689,0.5160503387451172,0.47579091787338257,0.5071094632148743,0.5239120125770569,0.47003716230392456,0.49548640847206116,0.5142115354537964,0.463889479637146,0.46993255615234375,0.4948737919330597,0.3835503160953522,0.4602045714855194,0.48064568638801575,0.43064212799072266,0.3716204762458801,0.3855927884578705,0.17913758754730225,0.8231233358383179,0.21883416175842285,True,9,12.25,12.39,11.58,12.33,6413729.0,77433905.28,0.0065306122448980375
316,2026-07-21,189,316,000890.SZ,法尔胜,316,qdp_strict_carry_forward,0.4818287193775177,19,0.506352961063385,2.4982420654851012e-05,0.5268682241439819,-2.4982420654851012e-05,0.3684810698032379,18,1,-0.2278720587491989,-0.2102791666984558,0.32302001118659973,0.33219027519226074,0.2589092552661896,0.3243742287158966,0.3277982175350189,0.08669345080852509,0.3719409704208374,0.3967021703720093,0.3199799656867981,0.40788450837135315,0.40906426310539246,0.35964757204055786,0.4602307379245758,0.4628327786922455,0.4303286373615265,0.49814850091934204,0.5121480822563171,0.4702550768852234,0.5031108260154724,0.5128408670425415,0.46513962745666504,0.5064391493797302,0.5236165523529053,0.4706082046031952,0.49321281909942627,0.5116665959358215,0.46152734756469727,0.4663790762424469,0.4920485019683838,0.37162962555885315,0.4592635929584503,0.47994181513786316,0.4295097291469574,0.3684810698032379,0.38180479407310486,0.1789376139640808,1.9323856830596924,0.14688527584075928,True,10,6.13,6.27,5.56,6.22,24775000.0,147250478.9,0.006472491909385036
