year,predicted_exit_day,candidate_count,candidate_share
2023,2,342932,0.48748770377614903
2023,3,4448,0.006322959964063753
2023,4,376,0.0005344948171061086
2023,10,78,0.00011087924397413955
2023,11,222,0.00031557938669562796
2023,13,5,7.107643844496125e-06
2023,20,6145,0.008735294284885738
2023,21,540,0.0007676255352055815
2023,22,6,8.52917261339535e-06
2023,41,717,0.0010192361273007444
2023,42,14264,0.020276686359578546
2023,43,13,1.8479873995689925e-05
2023,44,18,2.558751784018605e-05
2023,48,48025,0.06826891912638527
2023,49,463,0.0006581678200003411
2023,58,176,0.0002501890633262636
2023,60,285040,0.4051925602870351
2024,2,529154,0.7391678470353887
2024,3,6558,0.00916077879191706
2024,4,2751,0.003842833555438217
2024,5,338,0.00047214748881792707
2024,7,15,2.0953290923872504e-05
2024,10,14168,0.019791081720628375
2024,12,207,0.00028915541474944055
2024,13,167,0.00023327997228578053
2024,20,1860,0.0025982080745601903
2024,22,4240,0.005922796901147961
2024,25,4,5.587544246366001e-06
2024,26,2,2.7937721231830007e-06
2024,40,19604,0.02738455435143977
2024,58,136092,0.19010501789411044
2024,60,718,0.0010029641922226972
2025,2,350163,0.483567063697566
2025,3,7813,0.010789573623338511
2025,4,383,0.000528914206801312
2025,5,19,2.6238563783877092e-05
2025,6,9,1.2428793371310202e-05
2025,10,759,0.0010481615743138271
2025,11,4401,0.006077679958570689
2025,12,1361,0.0018795097531503538
2025,13,231,0.00031900569653029516
2025,15,114,0.00015743138270326256
2025,20,144,0.00019886069394096324
2025,21,1043,0.0014403590540307267
2025,22,2991,0.004130502330398757
2025,23,121,0.00016709822199205938
2025,24,154,0.0002126704643535301
2025,28,11669,0.016114621094424304
2025,29,24,3.314344899016054e-05
2025,51,19971,0.027579492490937337
2025,54,1175,0.0016226480234766097
2025,55,16702,0.02306507854306922
2025,58,197342,0.27252477127567754
2025,60,107536,0.14850474710857933
