year,dimension,bucket,candidate_count,candidate_share,signal_date_count,mean_score,median_score,mean_daily_rank,median_daily_rank,entry_fill_rate,coverage_rate,terminal_recovery_rate,mean_resolved_day_filled,mean_gross_return_all_candidates,median_gross_return_all_candidates,gross_win_rate_all_candidates,mean_annualized_realized_capital_speed,median_annualized_realized_capital_speed,positive_realized_capital_speed_rate,mean_annualized_oracle_capital_speed,mean_annualized_exit_regret
2023,daily_score_rank_band,1,242,0.00034400996207361245,242,0.055521597826446285,0.055187894,1.0,1.0,0.7520661157024794,1.0,0.0,2.087912087912088,-0.004920969590082645,0.0,0.3181818181818182,-0.8819781768,0.0,0.30991735537190085,5.323071559877851,6.205049712491218
2023,daily_score_rank_band,2-3,484,0.0006880199241472249,242,0.04731950788842976,0.045977732,2.5,2.5,0.8429752066115702,1.0,0.0,2.051470588235294,-0.0077122584841528945,0.0,0.39462809917355374,-1.2282440224299174,0.0,0.38636363636363635,4.420147607083264,5.64839162091426
2023,daily_score_rank_band,4-10,1694,0.0024080697345152872,242,0.03812720193270366,0.0367185075,7.0,7.0,0.935655253837072,1.0,0.0,2.0227129337539433,-0.0011061523148524197,0.0,0.4256198347107438,-0.5873666044063388,-0.3806197164,0.4090909090909091,3.7119687756439537,4.2993353825768255
2023,daily_score_rank_band,11-32,5324,0.007568219165619474,242,0.02890154767787378,0.028206874,21.5,21.5,0.980465815176559,1.0,0.0,2.0124521072796937,0.0010146198098215627,-0.00143576745,0.45060105184072125,-0.3067398343516429,-0.528202332,0.42674680691209615,3.4217376099813337,3.7284774469313007
2023,daily_score_rank_band,33-100,16456,0.023392677421005648,242,0.021215797768716578,0.0208171515,66.5,66.5,0.995563928050559,1.0,0.0,2.0092168711469207,0.0010899794626984078,-0.0023801853,0.4552139037433155,-0.29311833410123606,-0.6585034806,0.42343218279047157,2.95625472198036,3.249595130456354
2023,daily_score_rank_band,101-256,37752,0.053665554083483544,242,0.015231842931807585,0.0149359835,178.5,178.5,0.9967948717948718,1.0,0.0,2.0071483617230474,0.00038755601870091647,-0.0025839768,0.4497774952320407,-0.3767338290102544,-0.6811912296,0.416163382072473,2.7630182537290557,3.1397882346622414
2023,daily_score_rank_band,257-512,61952,0.08806655029084479,242,0.010215991174857955,0.0100473075,384.5,384.5,0.9980791580578512,1.0,0.0,2.0056927530606634,0.0009202224517996187,-0.0020848287,0.45699896694214875,-0.31230044237587684,-0.6246334835999999,0.42264979338842973,2.6524598677892857,2.9646968480066853
2023,daily_score_rank_band,513-1024,123904,0.17613310058168957,242,0.004966947164395588,0.0047978918,768.5,768.5,0.9983939178719008,1.0,0.0,3.084062891556526,-0.00026161474082354906,-0.0022675176,0.4531814953512397,-0.3442704970528994,-0.5846511636,0.41753292871900827,2.4296018778040507,2.77355036758188
2023,daily_score_rank_band,1025+,455660,0.6477337988366209,242,-0.0009288799765483312,-0.0015276377,1966.0792630470087,1966.0,0.9994798753456524,1.0,3.950313830487644e-05,44.51853331957323,-0.01722094376212755,-0.014141353,0.40031821972523374,-0.17190557482729524,-0.1711965528,0.3861695123557038,1.810697536830107,1.9807249244934608
2024,daily_score_rank_band,1,242,0.00033804642690514307,242,0.0728391567644628,0.06982822,1.0,1.0,0.8429752066115702,1.0,0.0,2.073529411764706,0.001842199027272726,0.0,0.4380165289256198,0.08996064904561989,0.0,0.43388429752066116,6.686815443567506,6.613510325426389
