model_group,model_count,positive_gain_count,median_gain_share,minimum_gain_share,maximum_gain_share,median_gain_rank,best_gain_rank,worst_gain_rank
direct_return_15,15,15,0.03093952296217174,0.006598959933067941,0.06704349280586892,1.0,1,39
original_path_24,24,24,0.033641106978515356,0.0051644195079005905,0.11333250521175756,9.5,1,42
policy_target_18,18,18,0.08597627067444148,0.046709518472223654,0.14650138143555322,1.0,1,4
t1_direct_6,6,6,0.009425165880386182,0.006278641877019646,0.015597527160185533,21.0,4,47
