year,count,date_count,fixed_8pct_hit_rate,fixed_8pct_daily_equal_hit_rate,volatility_scaled_k1_hit_rate,volatility_scaled_k1_daily_equal_hit_rate,endpoint_mean,endpoint_mean_log_return,endpoint_es05
2011,195063,244,0.36407212028934244,0.36650547568663827,0.24481321419233787,0.24684122315065501,-0.024201218463979882,-0.03092916877527116,-0.23678726152804683
2012,216440,243,0.44407688042875626,0.44415242668721366,0.3119848456847163,0.311614780367683,0.00755954745219251,0.002151915680907351,-0.18595869854613079
2013,223930,238,0.48002947349618186,0.4800242092720391,0.3188809002813379,0.3192122282942779,0.007434043143721111,0.0010708919488911172,-0.20748402330399923
2014,207666,245,0.5144559051553937,0.5175707472817282,0.41678464457349784,0.42006868398675035,0.03529268496500693,0.02904270392125289,-0.15682118433816086
2015,167718,244,0.7099118758869054,0.7080068048569146,0.3814259650126999,0.3723786001448047,0.028905069014075562,0.003241678339856664,-0.43763081681080146
2016,190987,244,0.420662139307911,0.42727134389070515,0.2803436883138643,0.27611697970057825,0.007695454912151072,0.0030240011949264132,-0.18157577838885222
2017,235508,244,0.35139358323284137,0.3510863285278202,0.3295344531820575,0.33073790302769424,0.0008858287604777972,-0.0035601780212366173,-0.18757111011148916
2018,274491,243,0.35084210411270317,0.34969314404671364,0.2224590241574405,0.22224084737103778,-0.023725490416218235,-0.029833871556933723,-0.23323506947097883
2019,335675,244,0.4857674834289119,0.49122775567552807,0.3923020779027333,0.39664671011752783,0.02154845678563377,0.013919738814825139,-0.2034908756649244
2020,356981,243,0.5032760847215958,0.5042993360222661,0.3459819990419658,0.3474723945417184,0.016128027662632213,0.007439115863150073,-0.21026342597996153
2021,387240,243,0.5071635161656853,0.5067273769673415,0.3565876459043487,0.35626658489495583,0.015157425638645484,0.006394895298640317,-0.2215378108814277
2022,392842,242,0.4533883851523004,0.453371331416716,0.28255889136090334,0.2824955536506592,-0.0025182717388510015,-0.01047244641967745,-0.23456716977918196
2023,409707,242,0.32575962822211973,0.32632398419492076,0.2926188715350238,0.2934730921142816,-0.009035148841834241,-0.013549132650066315,-0.18167550984981365
2024,412237,242,0.46038807773198426,0.4609503085140139,0.31660670924735046,0.3172444512838574,0.011319151343867658,0.002121041950235804,-0.23415656160659382
2025,378577,223,0.4619773520314229,0.46213548790443215,0.3696949365650845,0.3703388080387435,0.02441428437503734,0.017634629527756324,-0.1803440644914371
