model_id,window_years,epochs,development_year,best_epoch,completed_epochs,top1_selected_base,top1_universe_base,top1_base_alpha,top1_stress_alpha,top1_selected_stress,top1_universe_stress,top1_opportunity_alpha,top1_opportunity_alpha_day_coverage,top1_selected_opportunity_label_coverage,top3_selected_base,top3_universe_base,top3_base_alpha,top3_stress_alpha,top3_selected_stress,top3_universe_stress,top3_opportunity_alpha,top3_opportunity_alpha_day_coverage,top3_selected_opportunity_label_coverage,top5_selected_base,top5_universe_base,top5_base_alpha,top5_stress_alpha,top5_selected_stress,top5_universe_stress,top5_opportunity_alpha,top5_opportunity_alpha_day_coverage,top5_selected_opportunity_label_coverage,top10_selected_base,top10_universe_base,top10_base_alpha,top10_stress_alpha,top10_selected_stress,top10_universe_stress,top10_opportunity_alpha,top10_opportunity_alpha_day_coverage,top10_selected_opportunity_label_coverage,top3_entry_fill_rate,top3_execution_return_coverage,top3_average_exit_day,top3_exit_day_observation_day_coverage,top3_terminal_recovery_rate,top3_unresolved_exit_rate,top3_opportunity_execution_gap,rank_ic,candidate_score_coverage,path_mae,path_open_mae,path_high_mae,path_low_mae,path_close_mae,rank_ic_positive_day_rate,exit_regret,close_cumulative_path_mae,top3_legal_exit_max_day_share,top3_exit_deferral_rate,ohlc_geometry_violation_count,development_price_total_loss
expanding,,3,2023,1,3,0.0618053325826078,-0.0013264792720718,0.0631318118546797,0.0630407230057332,0.060320370367658,-0.0027203526380751,0.1213725617170826,1.0,1.0,0.0456576157418242,-0.001321310711362,0.0469789264531863,0.0469186808776405,0.044205901062364,-0.0027127798152764,0.1120151314299461,1.0,1.0,0.0392810634737445,-0.0013167286221554,0.0405977920958999,0.040537067908982,0.0378309046884116,-0.0027061632205704,0.1123389444306246,1.0,1.0,0.0287237618577987,-0.0013039388685966,0.0300277007263954,0.0299844440801061,0.0272972666170494,-0.0026871774630566,0.1009104643094022,1.0,1.0,0.9958677685950412,1.0,19.33264462809917,1.0,0.0,0.0,0.0650362049767598,0.0964711904735949,1.0,0.0822043414277574,0.0821158309195864,0.0838711165048278,0.0811585263562802,0.0816718919303352,0.8140495867768595,0.0922528319741224,0.0816718917538775,0.6033057851239669,0.0055325034578146,0,0.1119049912030961
window8y,8.0,1,2023,1,1,0.0295339232177878,-0.0141987799378314,0.0437327031556192,0.0436722637955507,0.0280973083901527,-0.0155749554053979,0.0847189784865857,1.0,1.0,0.0271860666798344,-0.0141517574757922,0.0413378241556266,0.0412799505700911,0.0257543896915728,-0.0155255608785182,0.0803145398270369,1.0,1.0,0.0237897038186815,-0.0141087865575479,0.0378984903762295,0.0378426580571939,0.0223615559330495,-0.0154811021241443,0.0782701063069922,1.0,1.0,0.0197360956537089,-0.0139934705439486,0.0337295661976576,0.0336718135528057,0.0183122128762856,-0.01535960067652,0.0712965724774258,1.0,1.0,0.9972451790633609,1.0,57.65702479338843,1.0,0.0,0.0,0.0389767156714103,0.0651263712583155,1.0,0.0887335885551084,0.0891413662125926,0.0920224350515604,0.0854645902347848,0.0883059627214959,0.8842975206611571,0.1434645081893358,0.088305962339653,0.6666666666666666,0.0096685082872928,0,0.1115848980515516
expanding,,3,2024,1,3,0.0625664173179145,0.003519655455726,0.0590467618621885,0.0589657025701798,0.0610896623812966,0.0021239598111168,0.2033672800022625,0.987603305785124,0.987603305785124,0.055914155631942,0.0035196108025604,0.0523945448293815,0.0523036367281097,0.0544293293015535,0.0021256925734437,0.1629749812755333,1.0,0.9944903581267216,0.0463869210508255,0.0035190469269511,0.0428678741238744,0.0428029394400981,0.0449303663557866,0.0021274269156885,0.1488241767972584,1.0,0.9942148760330578,0.0368863934418737,0.0035189059411243,0.0333674875007493,0.0333169153991449,0.0354489668842961,0.0021320514851511,0.1278081329208452,1.0,0.997107438016529,0.9972451790633609,1.0,20.52617079889807,1.0,0.0,0.0,0.1105804364461517,0.1087655502308492,1.0,0.1252451317945138,0.1253043942848752,0.1286748454446329,0.1223995200040067,0.1246017674445404,0.731404958677686,0.1861546883841969,0.1246017669442408,0.2672176308539944,0.037292817679558,0,0.1211432960682624
window8y,8.0,1,2024,1,1,0.0495389942104342,0.0022225523186863,0.0473164418917478,0.0472428336764359,0.0480715796679866,0.0008287459915506,0.1931904618201466,0.9917355371900828,0.9917355371900828,0.0392503159927811,0.00222357086225,0.037026745130531,0.036967178189614,0.0377987954854778,0.0008316172958638,0.1694466418428885,1.0,0.9944903581267216,0.0324279287457314,0.002224185837377,0.0302037429083543,0.0301522725525193,0.0309865318231807,0.0008342592706614,0.1542566275254877,1.0,0.996694214876033,0.0279326840087291,0.0022268619199267,0.0257058220888024,0.0256611599159125,0.0265029207434095,0.000841760827497,0.1453928351036681,1.0,0.9954545454545456,1.0,1.0,11.398071625344354,1.0,0.0,0.0,0.1324198967123574,0.1218781551726195,1.0,0.127180015060151,0.1267148197016223,0.1302674659810292,0.1251961933712221,0.1265415811867306,0.7644628099173554,0.1823827514289651,0.1265415819059113,0.4903581267217631,0.0303030303030303,0,0.1203836511066343
expanding,,3,2025,1,3,0.0393968706055411,0.002286396869402,0.0371104737361391,0.0370623752205652,0.0379519171346475,0.0008895419140822,0.1289782047256398,1.0,1.0,0.0383673924935102,0.0022837633587331,0.0360836291347771,0.0360384059766653,0.0369275810857935,0.0008891751091282,0.0879987947213551,1.0,1.0,0.039572419504319,0.0022816306688107,0.0372907888355082,0.0372410362556934,0.0381306321511174,0.000889595895424,0.088573972721404,1.0,1.0,0.0360931737535077,0.0022761357024733,0.0338170380510343,0.0337618443042893,0.0346519495840072,0.0008901052797178,0.0842875186890486,1.0,1.0,0.9931412894375856,1.0,13.396433470507544,1.0,0.0,0.0,0.051915165586578,0.1136300147077047,1.0,0.1102198503043624,0.1087928962937569,0.1139827850846918,0.1092091920038335,0.1088945278351674,0.9753086419753086,0.1736229007022441,0.1088945282286849,0.2825788751714678,0.0151933701657458,0,0.1216780333619559
window12y,12.0,1,2025,1,1,0.0571630932063519,0.0604540500633508,-0.0032909568569988,-0.0032815322541221,0.0556946408355471,0.0589761730896692,0.0332490839753989,1.0,1.0,0.1087911242084967,0.0603705566205607,0.048420567587936,0.0483453232502662,0.107238584969194,0.0588932617189277,0.0832582305764219,1.0,1.0,0.1096479820208775,0.0602838073816541,0.0493641746392233,0.0493132211536749,0.1081262113462179,0.058812990192543,0.0758072833680076,1.0,1.0,0.1134547145704535,0.0600758298067838,0.0533788847636695,0.0533102639533657,0.1119223994869075,0.0586121355335418,0.0728870264327329,1.0,1.0,0.9958847736625516,1.0,55.0925925925926,1.0,0.0,0.0,0.0348376629884859,0.1537048807859486,1.0,0.0926464211333629,0.092163973994089,0.0966541617730178,0.0896150693316196,0.0921524794347254,0.9547325102880658,0.1655580155472213,0.0921524792801292,0.9670781893004116,0.012396694214876,0,0.1156422771104297
window3y,3.0,1,2025,1,1,0.0169407504141278,0.0016263190972182,0.0153144313169095,0.015293313761886,0.0155237227901313,0.0002304090282452,0.1662267878528975,1.0,1.0,0.0155598841019548,0.0016243683387566,0.0139355157631981,0.0139129239332214,0.0141436058735856,0.0002306819403641,0.1272213820659329,1.0,1.0,0.0161031489329902,0.0016230616849145,0.0144800872480756,0.0144567134129242,0.0146885528030083,0.000231839390084,0.1181146022959501,1.0,1.0,0.0149869350337961,0.0016193270234321,0.0133676080103639,0.0133469529162952,0.0135811134570552,0.00023416054076,0.1092615321033285,1.0,1.0,0.9958847736625516,1.0,5.599451303155006,1.0,0.0,0.0,0.1132858663027347,0.0769614882679882,1.0,0.0993588313293051,0.0985102266739387,0.1034956204529973,0.0966250817284151,0.0988043964618693,0.5967078189300411,0.1736383789452161,0.098804396276354,0.3251028806584362,0.012396694214876,0,0.1207953449116639
window5y,5.0,1,2025,1,1,0.0966037712941924,0.0712734656067845,0.0253303056874078,0.0252873941483968,0.0950678028946069,0.06978040874621,0.034068389423958,1.0,1.0,0.1458248854074879,0.0711725261730823,0.0746523592344056,0.074541571444628,0.1442216494647325,0.0696800780201044,0.0938704686982886,1.0,1.0,0.1501013265789574,0.0710683917149558,0.0790329348640016,0.078937741911021,0.1485201644643645,0.0695824225533434,0.0991049041442665,1.0,1.0,0.1262821705286443,0.0708188316824203,0.0554633388462238,0.0553936158398891,0.1247342522890602,0.0693406364491709,0.0705803285808965,1.0,1.0,0.9958847736625516,1.0,58.02743484224966,1.0,0.0,0.0,0.019218109463883,0.1588560527914511,1.0,0.1000143639857563,0.0999258378528842,0.1057047385218614,0.0941961635177089,0.1002307160505706,0.9547325102880658,0.1695995617325051,0.1002307161236524,1.0,0.0151515151515151,0,0.1154337744623567
window8y,8.0,1,2025,1,1,0.018682408767722,0.0018903159161496,0.0167920928515724,0.0167614454764985,0.0172554601341377,0.0004940146576391,0.1443957610232104,1.0,1.0,0.0237211072892404,0.0018879493839982,0.0218331579052422,0.0217918838358581,0.0222856818350264,0.0004937979991683,0.1553641025574854,1.0,0.9972565157750344,0.0218561832272439,0.0018860426506371,0.0199701405766068,0.0199386482868629,0.0204332081366641,0.0004945598498012,0.1403102908789375,1.0,0.9983539094650206,0.0187287489697764,0.0018810721927555,0.0168476767770208,0.0168152682523044,0.0173108237914353,0.0004955555391309,0.1119713861142656,1.0,0.9987654320987652,0.9958847736625516,1.0,6.12002743484225,1.0,0.0,0.0,0.1335309446522432,0.1236916530510802,1.0,0.1023273517050914,0.1012046788783236,0.1056091136148754,0.1009134446916741,0.1015821696354923,0.97119341563786,0.1754895475320634,0.1015821698266293,0.3635116598079561,0.0179063360881542,0,0.1182517403271959
