scope,year,top_k,policy_name,policy_kind,fixed_day,cost_scenario,annualized_unit_time_alpha,median_daily_unit_time_alpha,positive_day_rate,signal_date_count,selected_return,universe_return,selected_day,universe_day,selected_fill,universe_fill,selected_terminal,universe_terminal,selected_cost,universe_cost,selected_utilization,universe_utilization
2020-2025,,1,fixed_d10,fixed,10.0,base,0.31713581502752997,-0.09235260297404871,0.48344827586206895,1450,0.022273834540459645,0.0027465056309176755,10.02344827586207,10.011849511396814,0.9965635738831615,0.9970352438338204,0.0,4.858528110826142e-06,2849.461014171702,2816.695513516515,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d11,fixed,11.0,base,0.3217601751524364,-0.004165044782451676,0.4986206896551724,1450,0.024762594239562813,0.00322941814604236,11.020689655172413,11.012059923683893,0.9965635738831615,0.9970352438338204,0.0,5.398422320877694e-06,2853.607161398844,2817.185472128856,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d12,fixed,12.0,base,0.31756700678588057,-0.0027164333040431985,0.4993103448275862,1450,0.0268144364373065,0.0037187574430144386,12.026206896551724,12.012196585115047,0.9965635738831615,0.9970352438338204,0.0,5.93810580614398e-06,2857.0086423503067,2817.6920377972215,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d13,fixed,13.0,base,0.32882536038612076,-0.010556186314925654,0.4986206896551724,1450,0.029689100743500802,0.0042135404881981685,13.031724137931034,13.012320229759506,0.9965635738831615,0.9970352438338204,0.0,6.477682223533364e-06,2861.8147054474757,2818.2030129318787,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d14,fixed,14.0,base,0.3107268210856041,-0.011740959492223759,0.49724137931034484,1450,0.031001746899407646,0.004707508679819026,14.03103448275862,14.012423974198883,0.9965635738831615,0.9970352438338204,0.0,7.017258640922746e-06,2863.8174543779155,2818.717754744461,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d15,fixed,15.0,base,0.27982207400231673,0.003463614767401247,0.5006896551724138,1450,0.03135964357416652,0.005204953802154056,15.028275862068966,15.012524356273925,0.9965635738831615,0.9970352438338204,0.0,7.556623335027331e-06,2863.9829014216266,2819.235699962889,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d16,fixed,16.0,base,0.272418501501517,-0.028538567255661014,0.49517241379310345,1450,0.03314206685982414,0.005729160890721652,16.025517241379312,16.012634673147044,0.9965635738831615,0.9970352438338204,0.0,8.096093766133486e-06,2866.7431038904774,2819.805221938434,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d17,fixed,17.0,base,0.2643424029847729,0.0047392221880111825,0.5013793103448276,1450,0.03471483286050559,0.006309101448487093,17.03103448275862,17.012198150278937,0.9965635738831615,0.9970352438338204,0.0,8.63545829414816e-06,2868.9083511643594,2820.491111619107,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d18,fixed,18.0,base,0.26523996951671647,0.03433373215432998,0.5117241379310344,1450,0.0367425531256967,0.006886275972925092,18.028275862068966,18.01228363232122,0.9965635738831615,0.9970352438338204,0.0,9.174822822162831e-06,2871.950429289809,2821.1715456702677,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d19,fixed,19.0,base,0.261910895367488,0.049594834081705355,0.5062068965517241,1450,0.038722208277783894,0.007462278442552537,19.024827586206897,19.012359958713894,0.9965635738831615,0.9970352438338204,0.0,9.714081613175933e-06,2874.823035806688,2821.8426928548242,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d2,fixed,2.0,base,0.3324090681165328,-0.21752591405263386,0.48482758620689653,1450,0.002010257020092233,-0.001289791748559286,2.0089655172413794,2.006768127166697,0.9965635738831615,0.9970352438338204,0.0,5.40318571829951e-07,2817.538584739752,2812.4898178554777,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d20,fixed,20.0,base,0.2680097840060696,0.068028256966252,0.5186206896551724,1450,0.04170873095154632,0.007996697480741619,20.04344827586207,20.012471004574337,0.9965635738831615,0.9970352438338204,0.0,1.0253340404189033e-05,2879.45705474986,2822.4458472960464,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d21,fixed,21.0,base,0.2665607109211125,0.0671381365734689,0.5151724137931034,1450,0.043660470568943545,0.008518030766304842,21.073103448275862,21.012561820192992,0.9965635738831615,0.9970352438338204,0.0,1.0792810752201356e-05,2882.4286502924724,2823.029927594487,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d22,fixed,22.0,base,0.26691083369991964,0.06190467424873336,0.5193103448275862,1450,0.045825368458699216,0.009042848773970475,22.100689655172413,22.012619824295047,0.9965635738831615,0.9970352438338204,0.0,1.1332175280216029e-05,2885.9855856488853,2823.6076539051955,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d23,fixed,23.0,base,0.2526612643880297,0.05191894078111461,0.5131034482758621,1450,0.04640140680499305,0.00957339323849634,23.100689655172413,23.012672943124862,0.9965635738831615,0.9970352438338204,0.0,1.187154030650074e-05,2886.5735353042182,2824.1969217060077,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d24,fixed,24.0,base,0.23785804253111273,0.06572656580306274,0.5193103448275862,1450,0.04707338336502297,0.010082278170080875,24.11310344827586,24.012737408274432,0.9965635738831615,0.9970352438338204,0.0,1.2410905000605324e-05,2887.4864643613555,2824.7477249857748,0.9959487604679118,0.9961995331381387
2020-2025,,1,fixed_d25,fixed,25.0,base,0.22325675582020132,0.04957662517018545,0.5124137931034483,1450,0.04732619881065371,0.010584687031907186,25.106896551724137,25.012804086791274,0.9965635738831615,0.9970352438338204,0.0,1.2950375431711477e-05,2887.5566102883595,2825.2852651664803,0.9959487604679118,0.9961995331381387
